prod_id,prod_nm,item_features,wholesale_price
0,sony turntable pslx350h,sony turntable pslx350h belt drive system 33-1/3 and 45 rpm speeds servo speed control supplied moving magnet phono cartridge bonded diamond stylus static balance tonearm pitch control,
1,bose acoustimass 5 series iii speaker system am53bk,bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish,399.0
2,sony switcher sbv40s,sony switcher sbv40s eliminates disconnecting and reconnecting cables compact design 4 a/v inputs with s-video jacks 1 a/v output with s-video ( y/c ) jack 2 audio output,49.0
3,sony 5 disc cd player cdpce375,sony 5 disc cd player - cdpce375 5 disc changer variable line output cd-r/rw playback capability 20 track music calendar digital servo control remote commander remote control,
4,bose 27028 161 bookshelf pair speakers in white 161wh,bose 161 bookshelf speakers in white 161wh articulated array speaker design high-excursion twiddler drivers magnetically shielded priced per pair white finish,158.0
5,denon stereo tuner tu1500rd,denon stereo tuner tu1500rd rds radio data system am-fm 40 station random memory rotary tuning knob dot matrix fl display optional remote,375.0
6,kitchenaid pasta roller and cutter kpra,kitchenaid pasta roller and cutter kpra one pasta roller two pasta cutters cleaning brush chrome finish,
7,panasonic yeast pro automatic breadmaker sdyd250,panasonic yeast pro automatic breadmaker sdyd250 patented yeast dispenser 2.5 lb to 1.5 lb loaf choice of bread and baking modes 13 hour countdown digital timer nonstick coating for easy cleanup,
8,sony vertical-in-the-ear stereo headphones mdrj10,sony vertical-in-the-ear stereo headphones mdrj10 clip on style 13.5 mm driver unit blue finish,
9,panasonic 2-line integrated telephone kxtsc14w,panasonic 2-line integrated telephone kxtsc14w call waiting 50-station caller id voice mail message-waiting indicator speakerphone 3-line lcd display white finish,
10,panasonic integrated telephone system kxts108w,panasonic integrated telephone system kxts108w 16 digit lcd with clock hands free speakerphone built-in data port 10-station one-touch dialing 3-step ringer volume white finish,44.0
11,panasonic 2-line integrated telephone system kxts208w,panasonic 2-line integrated telephone system kxts208w 3-way conference one-touch/speed dialer speakerphone white finish,
12,sony 300 disc cd changer cdpcx355,sony 300 disc cd changer cdpcx355 megastorage control cd-r/cd-rw playback 32 step program play control a1 ii custom file memo cd text keyboard input 2 jog dials remote control black finish,
13,sony 400 disc megastorage cd changer cdpcx455,sony 400 disc megastorage cd changer cdpcx455 mp3 playback capability cd-r/cd-rw playback twin jog dial for easy disc access megachanger control optical digital output keyboard input remote commander ® remote control,
14,panasonic hands-free headset kxtca86,panasonic hands-free headset kxtca86 comfort fit and fold design noise cancelling microphone standard 2.5 mm connection,14.95
15,panasonic hands free headset kxtca92,panasonic hands free headset kxtca92 comfort fit with fold design noise cancelling microphone volume control mute standard 2.5 mm connection,25.0
16,cuisinart convection-oven-toaster-broiler with exact heat sensor tob165wh,cuisinart convection-oven-toaster-broiler with exact heat sensor tob165wh 0.5 cubic foot oven capacity led indicators individual or combination settings always even shade control 4 hour automatic shut off slide-out crumb tray includes broiling pan white finish,149.0
17,frigidaire 24 ' white built-in dishwasher fdb130wh,frigidaire 24 ' fdb130rgs white built-in dishwasher fdb130wh convection drying system quietsound sound insulation package 2 wash levels adjustable rinse aid dispenser self cleaning filter white finish,229.0
