paper_id,creator_names,conf_abbrev,article_title,publication_yr
0,"m rusinkiewicz , w klas , t tesch , j wфsch , p muth",vldb,towards a cooperative transaction model - the cooperative activity model,1995
1,"a eisenberg , j melton",sigmod record,sql/xml is making good progress,2002
2,"p ammann , s jajodia , i ray",vldb,using formal methods to reason about semantics-based decompositions of transactions,1995
3,l liu,sigmod record,editor 's notes,2002
4,,,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),2002
5,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,schema and database evolution in the o2 object database system,1995
6,"k subieta , y kambayashi , j leszczylowski",vldb,procedures in object-oriented query languages,1995
7,"r barga , d lomet",sigmod record,phoenix project : fault-tolerant applications,2002
8,,,mining the world wide web : an information search approach - book review,2002
9,"f moser , a kraiss , w klas",vldb,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,1995
10,,,report on the nsf workshop on building an infrastructure for mobile and wireless systems,2002
11,"s chaudhuri , s ghandeharizadeh , c shahabi",vldb,retrieval of composite multimedia objects,1995
12,h kosch,sigmod record,mpeg-7 and multimedia database systems,2002
13,"h lu , k tan , s dao",vldb,the fittest survives : an adaptive approach to query optimization,1995
14,,,reminiscences on influential papers,2002
15,"m tresch , n palmer , a luniewski",vldb,type classification of semi-structured documents,1995
16,j geller,sigmod record,data mining : practical machine learning tools and techniques - book review,2002
17,"m mehta , d dewitt",vldb,managing intra-operator parallelism in parallel database systems,1995
18,"a caplinskas , j eder , o vasilecas",sigmod record,advances in databases and information systems ( adbis ),2002
19,"r srikant , r agrawal",vldb,mining generalized association rules,1995
20,"p haas , j naughton , s seshadri , l stokes",vldb,sampling-based estimation of the number of distinct values of an attribute,1995
21,k aberer,sigmod record,book review column,2002
22,"s flodin , t risch",vldb,processing object-oriented queries with invertible late bound functions,1995
23,a kemper,sigmod record,databases and transaction processing : an application-oriented approach - book review,2002
24,"s hvasshovd , и torbjјrnsen , s bratsberg , p holager",vldb,"the clustra telecom database : high availability , high throughput , and real-time response",1995
25,h kim,sigmod record,conceptual modeling and specification generation for b2b business process based on ebxml,2002
26,"h lu , r setiono , h liu",vldb,neurorule : a connectionist approach to data mining,1995
27,"r erdur , o dikenelli",sigmod record,a multi-agent system infrastructure for software component market-place : an ontological perspective,2002
28,"r gallersdіrfer , m nicola",vldb,improving performance in replicated databases through relaxed coherency,1995
29,"m cilia , a buchmann",sigmod record,an active functionality service for e-business applications,2002
30,"w hќmmer , w lehner , h wedekind",sigmod record,contracting in the days of ebusiness,2002
31,"d lomet , m tuttle",vldb,redo recovery after system crashes,1995
32,y wang,vldb,db2 query parallelism : staging and implementation,1995
33,m winslett,ecord,david dewitt speaks out,2002
34,"k sumiya , k yasutake , h tanaka , n sanada , y imai",vldb,a product specification database for visual prototyping,1995
35,r camps,sigmod record,from ternary relationship to relational tables : a case against common beliefs,2002
36,"t didriksen , c galindo-legaria , e dahle",vldb,database de-centralization - a practical approach,1995
37,"m halkidi , y batistakis , m vazirgiannis",sigmod record,cluster validity methods : part i,2002
38,"e pourabbas , m rafanelli",sigmod record,a pictorial query language for querying geographic databases using positional and olap operators,2002
39,"e hoel , h samet",vldb,benchmarking spatial join operations with spatial output,1995
40,"g slivinskas , c jensen , r snodgrass",sigmod record,bringing order to query optimization,2002
41,"p brown , m stonebraker",vldb,bigsur : a system for the management of earth science data,1995
42,l liu,sigmod record,editor 's notes,2002
43,"h leslie , r jain , d birdsall , h yaghmai",vldb,efficient search of multi-dimensional b-trees,1995
44,"i cruz , a khokhar , b liu , a sistla , o wolfson , c yu",sigmod record,research activities in database management and information retrieval at the university of illinois at chicago,2002
45,"j orenstein , d kamber",vldb,accessing a relational database through an object-oriented database interface,1995
46,,,interviewing during a tight job market,2002
47,b lindsay,vldb,"db2 common server : technology , progress , & directions",1995
48,n wiegand,sigmod record,investigating xquery for querying across database object types,2002
49,"d konopnicki , o shmueli",vldb,w3qs : a query system for the world-wide web,1995
50,"r orlandic , j lukaszuk , c swietlik",sigmod record,the design of a retrieval technique for high-dimensional data on tertiary storage,2002
51,"j wiener , j naughton",vldb,oodb bulk loading revisited : the partitioned-list approach,1995
52,,,chair 's message,2002
53,h korth,vldb,the double life of the transaction abstraction : fundamental principle and evolving system concept,1995
54,r fagin,sigmod record,combining fuzzy information : an overview,2002
55,"a reuter , s ceri , j gray , b salzberg , g weikum",vldb,databases and workflow management : what is it all about ? ( panel ),1995
56,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,index concurrency control in firm real-time database systems,1995
57,"a laender , b ribeiro-neto , a silva , j teixeira",sigmod record,a brief survey of web data extraction tools,2002
58,"a bestavros , s braoudakis",vldb,value-cognizant speculative concurrency control,1995
59,f goethals,sigmod record,data warehousing and business intelligence for e-commerce - book review,2002
60,"f galiano , n marэn",sigmod record,data mining : concepts and techniques - book review,2002
61,"k wu , p yu , j chung , j teng",vldb,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,1995
62,"k mogi , m kitsuregawa",vldb,hot block clustering for disk arrays with dynamic striping,1995
63,k aberer,sigmod record,book review column,2002
64,r snodgrass,sigmod record,tods perceptions and misconceptions,2002
65,"d jonscher , k dittrich",vldb,an approach for building secure database federations,1994
66,"y yao , j gehrke",sigmod record,the cougar approach to in-network query processing in sensor networks,2002
67,"h jagadish , d lieuwen , r rastogi , a silberschatz , s sudarshan",vldb,dalэ : a high performance main memory storage manager,1994
68,,,introduction to constraint databases - book review,2002
