ref_id,publication_yr,pub_venue,authors_list,paper_name
523,2002,sigmod conference,"w li , d gao , r snodgrass",skew handling techniques in sort-merge join
524,1997,sigmod record,"n ashish , c knoblock",wrapper generation for semi-structured internet sources
525,1996,sigmod record,"j haritsa , s seshadri",real-time index concurrency control
526,2002,sigmod conference,"i tatarinov , s viglas , k beyer , j shanmugasundaram , e shekita , c zhang",storing and querying ordered xml using a relational database system
527,2002,sigmod conference,"y papakonstantinou , m petropoulos , v vassalos",qursed : querying and reporting semistructured data
528,1997,,,foreword : management of semistructured data
529,1997,sigmod record,"s jajodia , d barbarс , a brodsky , l kerschberg , a motro , e sibley , x wang",information systems research at george mason university
530,2002,sigmod conference,"t dasu , t johnson , s muthukrishnan , v shkapenyuk","mining database structure ; or , how to build a data quality browser"
531,1997,sigmod record,"j gray , g graefe","the five-minute rule ten years later , and other computer storage rules of thumb"
532,2002,sigmod conference,"m gillmann , g weikum , w wonner",workflow management with service quality guarantees
533,2002,sigmod conference,"s guha , h jagadish , n koudas , d srivastava , t yu",approximate xml joins
534,1997,sigmod record,m franklin,editor 's notes
535,1997,sigmod record,"p dadam , w klas",the database and information system research group at the university of ulm
536,2002,sigmod conference,"v raman , j hellerstein",partial results for online query processing
537,2002,sigmod conference,"y tao , d papadias",time-parameterized queries in spatio-temporal databases
538,1997,,,research issues in federated database systems : report of efdbs '97 workshop
539,2002,sigmod conference,"n bruno , n koudas , d srivastava",holistic twig joins : optimal xml pattern matching
540,1997,,,workshop on workflow management in scientific and engineering applications - report
541,2002,sigmod conference,"n polyzotis , m garofalakis",statistical synopses for graph-structured xml databases
542,1997,sigmod record,l seligman,industry perspectives
543,1997,sigmod record,"a gupta , v harinarayan , a rajaraman",virtual database technology
544,2002,sigmod conference,"k chang , s hwang",minimal probing : supporting expensive predicates for top-k queries
545,1997,,,chair 's message
546,2002,sigmod conference,"j yang , w wang , p yu , j han",mining long sequential patterns in a noisy environment
547,1997,sigmod record,"d barbarс , m sullivan",quasi-cubes : exploiting approximations in multidimensional databases
548,2002,sigmod conference,"y choi , c chung",selectivity estimation for spatio-temporal queries to moving objects
549,1997,sigmod record,"g clement , c larouche , d gouin , p morin , h kucera",ogdi : toward interoperability among geospatial databases
550,2002,sigmod conference,"m garofalakis , p gibbons",wavelet synopses with error guarantees
551,2002,sigmod conference,"v josifovski , p schwarz , l haas , e lin",garlic : a new flavor of federated query processing for db2
552,1997,,,report on dart ' 96 : databases : active and real-time ( concepts meet practice )
553,2002,sigmod conference,"k kanth , s ravada , d abugov",quadtree and r-tree indexes in oracle spatial : a comparison using gis data
554,1997,sigmod record,"m fernandez , d florescu , a levy , d suciu",a query language for a web-site management system
555,1997,sigmod record,"t hadzilacos , n tryfona",an extended entity-relationship model for geographic applications
556,2002,sigmod conference,"a szalay , j gray , a thakar , p kunszt , t malik , j raddick , c stoughton , j vandenberg",the sdss skyserver : public access to the sloan digital sky server data
557,2002,sigmod conference,"m pіss , b smith , l kollсr , p larson","tpc-ds , taking decision support benchmarking to the next level"
558,1997,sigmod record,"n jukic , s vrbsky",asserting beliefs in mls relational models
559,1997,sigmod record,"a silberschatz , s zdonik",database systems - breaking out of the box
560,2002,sigmod conference,t team,mid-tier caching : the timesten approach
561,2002,sigmod conference,"j anton , l jacobs , x liu , j parker , z zeng , t zhong",web caching for database applications with oracle web cache
562,1997,sigmod record,j fong,converting relational to object-oriented databases
563,1997,sigmod record,"s ramanathan , j hodges",extraction of object-oriented structures from existing relational databases
