unique_id,pub_title,publication_venue,authors_list,year_published
1569,directv and oracle rdb : the challenges of vldb transaction processing,sigmod conference,w gettys,1995
1570,"enterprise objects framework , a second generation object-relational enabler",sigmod conference,c kleissner,1995
1571,low-cost compensation-based query processing,vldb,"и grјvlen , s hvasshovd , и torbjјrnsen",1998
1572,an overview of db2 parallel edition,sigmod conference,"c baru , g fecteau , a goyal , h hsiao , a jhingran , s padmanabhan , w wilson",1995
1573,a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces,vldb,"r weber , h schek , s blott",1998
1574,data extraction and transformation for the data warehouse,sigmod conference,c squire,1995
1575,reducing the braking distance of an sql query engine,vldb,"m carey , d kossmann",1998
1576,cover your assets,sigmod conference,m olson,1995
1577,querying continuous time sequences,vldb,"l lin , t risch",1998
1578,recovery protocols for shared memory database systems,sigmod conference,"l molesky , k ramamritham",1995
1579,edgar f. codd : a tribute and personal memoir,sigmod record,c date,2003
1580,nd-sql : a multi-dimensional language for interoperability and olap,vldb,"f gingras , l lakshmanan",1998
1581,the lyric language : querying constraint objects,sigmod conference,"a brodsky , y kornatzky",1995
1582,the heterogeneity problem and middleware technology : experiences with and performance of database gateways,vldb,"f rezende , k hergula",1998
1583,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,vldb,"r braumandl , j clauпen , a kemper",1998
1584,datamine - interactive rule discovery system,sigmod conference,"t imielinski , a virmani",1995
1585,using schema matching to simplify heterogeneous data translation,vldb,"t milo , s zohar",1998
1586,efendi : federated database system of cadlab,sigmod conference,"e radeke , r bіttger , b burkert , y engel , g kachel , s kolmschlag , d nolte",1995
1587,nearest neighbor queries,sigmod conference,"n roussopoulos , s kelley , f vincent",1995
1588,on optimal node splitting for r-trees,vldb,"y garcэa , m lopez , s leutenegger",1998
1589,r-tree based indexing of now-relative bitemporal data,vldb,"r bliujute , c jensen , s saltenis , g slivinskas",1998
1590,topological relations in the world of minimum bounding rectangles : a study with r-trees,sigmod conference,"d papadias , y theodoridis , t sellis , m egenhofer",1995
1591,towards an effective calculus for object query languages,sigmod conference,"l fegaras , d maier",1995
1592,optimal histograms with quality guarantees,vldb,"h jagadish , n koudas , s muthukrishnan , v poosala , k sevcik , t suel",1998
1593,ofl : a functional execution model for object query languages,sigmod conference,"g gardarin , f machuca , p pucheral",1995
1594,incremental clustering for mining in a data warehousing environment,vldb,"m ester , h kriegel , j sander , m wimmer , x xu",1998
1595,inferring function semantics to optimize queries,vldb,"m cherniack , s zdonik",1998
1596,oodb indexing by class-division,sigmod conference,"s ramaswamy , p kanellakis",1995
1597,the handwritten trie : indexing electronic ink,sigmod conference,"w aref , d barbarс , p vallabhaneni",1995
1598,"topaz : a cost-based , rule-driven , multi-phase parallelizer",vldb,"c nippl , b mitschang",1998
1599,improving adaptable similarity query processing by using approximations,vldb,"m ankerst , b braunmќller , h kriegel , t seidl",1998
1600,parallel evaluation of multi-join queries,sigmod conference,"a wilschut , j flokstra , p apers",1995
1601,mindreader : querying databases through multiple examples,vldb,"y ishikawa , r subramanya , c faloutsos",1998
1602,the merge/purge problem for large databases,sigmod conference,"m hernсndez , s stolfo",1995
1603,semantic assumptions and query evaluation in temporal databases,sigmod conference,"c bettini , x wang , e bertino , s jajodia",1995
1604,"what do those weird xml types want , anyway ?",vldb,s derose,1999
1605,online dynamic reordering for interactive data processing,vldb,"v raman , b raman , j hellerstein",1999
1606,implementing crash recovery in quickstore : a performance study,sigmod conference,"s white , d dewitt",1995
1607,hyper-programming in java,vldb,"e zirintsis , g kirby , r morrison",1999
1608,reducing multidatabase query response time by tree balancing,sigmod conference,"w du , m shan , u dayal",1995
1609,"industrial panel on data warehousing technologies : experiences , challenges , and directions",vldb,u dayal,1999
1610,temporal conditions and integrity constraints in active database systems,sigmod conference,"a sistla , o wolfson",1995
1611,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance",vldb,"a hosking , j chen",1999
1612,view maintenance in a warehousing environment,sigmod conference,"y zhuge , h garcia-molina , j hammer , j widom",1995
1613,implementation of sql3 structured types with inheritance and value substitutability,vldb,"y fuh , s deпloch , w chen , n mattos , b tran , b lindsay , l demichel , s rielau , d mannhaupt",1999
1614,hypergraph based reorderings of outer join queries with complex predicates,sigmod conference,"g bhargava , p goel , b iyer",1995
1615,the spiffi scalable video-on-demand system,sigmod conference,"c freedman , d dewitt",1995
1616,implementation of two semantic query optimization techniques in db2 universal database,vldb,"q cheng , j gryz , f koo , t leung , l liu , x qian , k schiefer",1999
1617,optimization of run-time management of data intensive web-sites,vldb,"d florescu , a levy , d suciu , k yagoub",1999
1618,incremental maintenance of views with duplicates,sigmod conference,"t griffin , l libkin",1995
1619,join queries with external text sources : execution and optimization techniques,sigmod conference,"s chaudhuri , u dayal , t yan",1995
1620,determining text databases to search in the internet,vldb,"w meng , k liu , c yu , x wang , y chang , n rishe",1998
1621,an online video placement policy based on bandwith to space ratio ( bsr ),sigmod conference,"a dan , d sitaram",1995
1622,atomicity versus anonymity : distributed transactions for electronic commerce,vldb,j tygar,1998
1623,diag-join : an opportunistic join algorithm for 1 : n relationships,vldb,"s helmer , t westmann , g moerkotte",1998
1624,upsizing from file server to clent server architectures,sigmod conference,t team,1995
1625,"object-oriented , rapid application development in a pc database environment",sigmod conference,f team,1995
1626,hash joins and hash teams in microsoft sql server,vldb,"g graefe , r bunker , s cooper",1998
1627,the data that you wo n't find in databases : tutorial panel on data exchange formats,sigmod conference,"p buneman , d maier",1995
1628,spatio-temporal retrieval with rasdaman,vldb,"p baumann , a dehmel , p furtado , r ritsch , n widmann",1999
1629,using the calanda time series management system,sigmod conference,"w dreyer , a dittrich , d schmidt",1995
1630,xml repository and active views demonstration,vldb,"s abiteboul , v aguilera , s ailleret , b amann , s cluet , b hills , f hubert , j mamou , a marian , l mignet , t milo , c santos , b tessier , a vercoustre",1999
1631,the lotus notes storage system,sigmod conference,k moore,1995
1632,the mirror mmdbms architecture,vldb,"a vries , m doorn , h blanken , p apers",1999
1633,keynote address,,,1995
1634,miro web : integrating multiple data sources through semistructured data types,vldb,"l bouganim , t chan-sine-ying , t dang-ngoc , j darroux , g gardarin , f sha",1999
1635,parallel database systems 101,sigmod conference,j gray,1995
1636,clustering categorical data : an approach based on dynamical systems,vldb,"d gibson , j kleinberg , p raghavan",1998
1637,keynote address,,,1995
1638,things every update replication customer should know,sigmod conference,r golding,1995
1639,fast high-dimensional data search in incomplete databases,vldb,"b ooi , c goh , k tan",1998
1640,algorithms for mining association rules for binary segmentations of huge categorical databases,vldb,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",1998
1641,versant replication : supporting fault-tolerant object databases,sigmod conference,"y shyy , h au-yeung , c chou",1995
1642,research and products : are they relevant to each other ? ( panel ),sigmod conference,h edelstein,1995
1643,algorithms for mining distance-based outliers in large datasets,vldb,"e knorr , r ng",1998
1644,real world requirements for decision support - implications for rdbms,sigmod conference,s bansal,1995
1645,design and analysis of parametric query optimization algorithms,vldb,s ganguly,1998
1646,filtering with approximate predicates,vldb,"n shivakumar , h garcia-molina , c chekuri",1998
1647,`` one size fits all '' database architectures do not work for dds,sigmod conference,c french,1995
1648,binding propagation in disjunctive databases,vldb,s greco,1998
1649,leveraging the information asset,sigmod conference,j perna,1995
1650,use of a component architecture in integrating relational and non-relational storage systems,sigmod conference,r atkinson,1995
1651,computing iceberg queries efficiently,vldb,"m fang , n shivakumar , h garcia-molina , r motwani , j ullman",1998
1652,bulk-loading techniques for object databases and an application to relational data,vldb,"s amer-yahia , s cluet , c delobel",1998
1653,informix online xps,sigmod conference,r gerber,1995
1654,order-of-magnitude advantage of tpc-c though massive parallelism,sigmod conference,c levine,1995
1655,algorithms for querying by spatial structure,vldb,"d papadias , n mamoulis , v delis",1998
1656,a raster approximation for processing of spatial joins,vldb,"g zimbrao , j souza",1998
1657,objects and sql : strange relations ? panel,sigmod conference,d deutsch,1995
1658,bank of america case study : the information currency advantage,vldb,"f cariёo , m jahnke",1998
1659,indexing multimedia databases ( tutorial ),,,1995
