pub_id,creator_list,venue_name,capt_title,published_yr
2092,"j zhou , j sander",vldb,data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces,2003
2093,"y shi , y song , a zhang",vldb,a shrinking-based approach for multi-dimensional data analysis,2003
2094,"a hinneburg , w lehner , d habich",vldb,combi-operator : database support for data mining applications,2003
2095,"r hankins , j patel",vldb,"data morphing : an adaptive , cache-conscious storage technique",2003
2096,"n tatbul , u чetintemel , s zdonik , m cherniack , m stonebraker",vldb,load shedding in a data stream manager,2003
2097,"m hammad , m franklin , w aref , a elmagarmid",vldb,scheduling for shared window joins over data streams,2003
2098,"s viglas , j naughton , j burger",vldb,maximizing the output rate of multi-way join queries over streaming information sources,2003
2099,"h jiang , w wang , h lu , j yu",vldb,holistic twig joins on indexed xml documents,2003
2100,"h he , w meng , c yu , z wu",vldb,wise-integrator : an automatic integrator of web search interfaces for e-commerce,2003
2101,"a lerner , d shasha",vldb,"aquery : query language for ordered data , optimization techniques , and experiments",2003
2102,"f tian , d dewitt",vldb,tuple routing strategies for distributed eddies,2003
2103,"r huebsch , j hellerstein , n lanham , b loo , s shenker , i stoica",vldb,querying the internet with pier,2003
2104,"y velegrakis , r miller , l popa",vldb,mapping adaptation under evolving schemas,2003
2105,"g luo , j naughton , c ellmann , m watzke",vldb,locking protocols for materialized aggregate join views,2003
2106,"s papadimitriou , a brockwell , c faloutsos",vldb,"adaptive , hands-off stream mining",2003
2107,"j madhavan , a halevy",vldb,composing mappings among data sources,2003
2108,"d gao , r snodgrass",vldb,temporal slicing in the evaluation of xml queries,2003
2109,"a tsois , t sellis",vldb,the generalized pre-grouping transformation : aggregate-query optimization in the presence of dependencies,2003
2110,"m lee , w hsu , c jensen , b cui , k teo",vldb,supporting frequent updates in r-trees : a bottom-up approach,2003
2111,"g qian , q zhu , q xue , s pramanik",vldb,the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces,2003
2112,"t kraft , h schwarz , r rantzau , b mitschang",vldb,coarse-grained optimization : techniques for rewriting sql statement sequences,2003
2113,"l golab , m жzsu",vldb,processing sliding window multi-joins in continuous queries over data streams,2003
2114,"g cormode , f korn , s muthukrishnan , d srivastava",vldb,finding hierarchical heavy hitters in data streams,2003
2115,"d xin , j han , x li , b wah",vldb,star-cubing : computing iceberg cubes by top-down and bottom-up integration,2003
2116,"f korn , s muthukrishnan , y zhu",vldb,checks and balances : monitoring data quality problems in network traffic databases,2003
2117,"d lќbbers , u grimmer , m jarke",vldb,systematic development of data mining-based data quality tools,2003
2118,"g iwerks , h samet , k smith",vldb,continuous k-nearest neighbor queries for continuously moving points with updates,2003
2119,"t grust , m keulen , j teubner",vldb,staircase join : teach a relational dbms to watch its ( axis ) steps,2003
2120,"s blott , h korth",vldb,an almost-serial protocol for transaction execution in main-memory database systems,2002
2121,"l daynшs , g czajkowski",vldb,lightweight flexible isolation for language-based extensible systems,2002
2122,"n karayannidis , a tsois , t sellis , r pieringer , v markl , f ramsak , r fenk , k elhardt , r bayer",vldb,processing star queries on hierarchically-clustered fact tables,2002
2123,"h kang , c chung",vldb,exploiting versions for on-line data warehouse maintenance in molap servers,2002
2124,"a nierman , h jagadish",vldb,protdb : probabilistic data in xml,2002
2125,"v hristidis , y papakonstantinou",vldb,discover : keyword search in relational databases,2002
2126,"s rizvi , j haritsa",vldb,maintaining data privacy in association rule mining,2002
2127,"p senkul , m kifer , i toroslu",vldb,a logical framework for scheduling workflows under resource allocation constraints,2002
2128,"t palpanas , r sidle , r cochrane , h pirahesh",vldb,incremental maintenance for non-distributive aggregate functions,2002
2129,"f korn , s muthukrishnan , d srivastava",vldb,reverse nearest neighbor aggregates over data streams,2002
2130,"c chan , w fan , p felber , m garofalakis , r rastogi",vldb,tree pattern aggregation for scalable xml data dissemination,2002
2131,"m benedikt , c chan , w fan , r rastogi , s zheng , a zhou",vldb,dtd-directed publishing with attribute translation grammars,2002
2132,"u rіhm , k bіhm , h schek , h schuldt",vldb,fas - a freshness-sensitive coordination middleware for a cluster of olap components,2002
2133,"l lakshmanan , r ng , c wang , x zhou , t johnson",vldb,the generalized mdl approach for summarization,2002
2134,"l lakshmanan , j pei , j han",vldb,quotient cube : how to summarize the semantics of a data cube,2002
2135,"y lee , k whang , y moon , i song",vldb,a one-pass aggregation algorithm with the optimal buffer size in multidimensional olap,2002
2136,"b zeller , a kemper",vldb,experience report : exploiting advanced database optimization features for large-scale sap r/3 installations,2002
2137,r vingralek,vldb,"gnatdb : a small-footprint , secure database system",2002
2138,"k goto , y kambayashi",vldb,a new passenger support system for public transport using mobile database access,2002
2139,p selinger,vldb,information integration and xml in ibm 's db2,2002
2140,a fox,vldb,toward recovery-oriented computing,2002
2141,"a seifert , m scholl",vldb,a multi-version cache replacement and prefetching policy for hybrid data delivery environments,2002
2142,"m sayal , f casati , u dayal , m shan",vldb,business process cockpit,2002
2143,"g lohman , s lightstone",vldb,smart : making db2 ( more ) autonomic,2002
2144,"a schmidt , f waas , m kersten , m carey , i manolescu , r busse",vldb,xmark : a benchmark for xml data management,2002
2145,"b dageville , m zaяt",vldb,sql memory management in oracle9i,2002
2146,"w kieпling , g kіstler",vldb,"preference sql - design , implementation , experiences",2002
2147,"a pan , j raposo , m сlvarez , p montoto , v orjales , j hidalgo , l ardao , a molano , с viёa",vldb,the denodo data integration platform,2002
2148,"a laud , s bhowmick , p cruz , d singh , g rajesh",vldb,"the grna : a highly programmable infrastructure for prototyping , developing and deploying genomics-centric applications",2002
2149,"i alexandrov , a amorim , e badescu , m barczyk , d burckhart-chromek , m caprini , m dobson , j flammer , r hart , r jones , a kazarov , s kolos , v kotov , d liko , l lucio , l mapelli , m mineev , l moneta , i papadopoulos , m nassiakou , n parrington , l pedro , a ribeiro ,",vldb,obk - an online high energy physics ' meta-data repository,2002
2150,"i ilyas , w aref , a elmagarmid",vldb,joining ranked inputs in practice,2002
2151,c mohan,vldb,an efficient method for performing record deletions and updates using index scans,2002
2152,"m keidl , s seltzsam , k stocker , a kemper",vldb,serviceglobe : distributing e-services across the internet,2002
2153,"q sheng , b benatallah , m dumas , e mak",vldb,self-serv : a platform for rapid composition of web services in a peer-to-peer environment,2002
2154,"c aggarwal , p yu",vldb,an automated system for web portal personalization,2002
2155,"g shegalov , g weikum , r barga , d lomet",vldb,eos : exactly-once e-service middleware,2002
2156,"y ohura , k takahashi , i pramudiono , m kitsuregawa",vldb,experiments on query expansion for internet yellow page services using web log mining,2002
2157,"w li , w hsiung , d kalashnikov , r sion , o po , d agrawal , k candan",vldb,issues and evaluations of caching solutions for web application acceleration,2002
2158,r king,vldb,the rubicon of smart data,2002
2159,s sripada,vldb,information management challenges from the aerospace industry,2002
2160,"w mahnke , c mathis , h steiert",vldb,extending an ordbms : the statemachine module,2002
2161,"b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan",vldb,banks : browsing and keyword searching in relational databases,2002
2162,"m cilia , p hasselmayer , a buchmann",vldb,profiling and internet connectivity in automotive environments,2002
2163,"s santini , a gupta",vldb,gembase : a geometric mediator for brain analysis with surface ensembles,2002
2164,"k lam , a kwan , k ramamritham",vldb,rtmonitor : real-time data monitoring using mobile agent technologies,2002
2165,"s heymann , k tham , a kilian , g wegner , p rieger , d merkel , j freytag",vldb,viator - a tool family for graphical networking and data view creation,2002
2166,"r agrawal , r srikant , y xu",vldb,database technologies for electronic commerce,2002
2167,"w hsu , m lee , b ooi , p mohanty , k teo , c xia",vldb,advanced database technologies in a diabetic healthcare system,2002
2168,c mohan,vldb,caching technologies for web applications,2001
2169,"m garofalakis , p gibbons",vldb,approximate query processing : taming the terabytes,2001
2170,"h liu , h jacobsen",vldb,a-topss - a publish/subscribe system supporting approximate matching,2002
2171,"s sarawagi , a bhamidipaty , a kirpal , c mouli",vldb,alias : an active learning led interactive deduplication system,2002
2172,"r rantzau , c constantinescu , u heinkel , h meinecke",vldb,champagne : data change propagation for heterogeneous information systems,2002
2173,"a herlekar , a deopujari , k ramamritham , s gopale , s shukla",vldb,entrans : a system for flexible consistency maintenance in directory applications,2002
2174,"p bohannon , j freire , j haritsa , m ramanath , p roy , j simщon",vldb,legodb : customizing relational storage for xml documents,2002
2175,"s abiteboul , o benjelloun , i manolescu , t milo , r weber",vldb,active xml : peer-to-peer data and web services integration,2002
2176,"s raghavan , h garcia-molina",vldb,crawling the hidden web,2001
2177,"i stanoi , m riedewald , d agrawal , a abbadi",vldb,discovery of influence sets in frequently updated databases,2001
