pub_id,publication_venue,pub_year,subject_title,written_by
0,"san diego ,",,11578 sorrento valley road,qd inc
1,"phil . mag ,",,initiation of crazes in polystyrene,"as argon , jg hannoosh"
2,"the histochemical journal ,",1992.0,immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase n in,"gh hansen , ll wetterberg , h sjã ¶ strã ¶ m , o norã © n"
3,see,,the burden of infectious disease among inmates and releasees from correctional facilities,"tm hammett , p harmon , w rhodes"
4,"new directions for teaching and learning ,",1995.0,the role of faculty advising in science and engineering,jr cogdell
5,to,,the zero multiplicity of linear recurrence sequences,wm schmidt
6,,2002.0,predicitve validity of kindergarten screeners for young children with reading difficulties,ra haats
7,"san diego : academic ,",,the photosynthetic reaction center,"jr norris , j deisenhofer"
8,"res . rep. ceria , u. paris ,",,"f. , diene , aw , ndiaye , y. hachage linã © aire scalable et distribuã © lh * lh sous windows nt",f bennour
9,,1987.0,multidimensional similarity structure analysis,"i borg , jc lingoes"
10,"san diego ,",,linear algebra and its applications harcourt brace jovanovich,g strang
11,proceedings of the 25 theuropean transport,,"ded. , d. roncagliolo y u. velarde ( 1997 ) interactions and independence in stated preference",j ortãºzar
12,"hargittai ,",,stereochemical applications of gas-phase electron diffraction,"k kuchitsu , m nakata , s yamamoto , i hargittai , m"
13,"proceedings of the international conference on very large & hellip ; ,",1996.0,obtaining complete answers from incomplete databases,ay levy
14,proceedings of the very large data bases conference ( vldb ;,,"li. , c. , and vitter . j. 2001 . supporting incremental join queries on ranked inputs","a natsev , y chang , j smith"
15,,1995.0,classical topology and combinatorial group theory,j stillwell
16,,,a database index to large biological sequences,"e hunt , mp atkinson , rw irving"
17,"seattle , washington dc ,",,progress through ich toward harmonization of genetic toxicology testing practices for,gs probst
18,"proceedings of the 2 nd meeting on measurements in wound & hellip ; ,",1998.0,pain and leg ulceration associated with reduced abpi and atropie blanche,d hofman
19,"pc magazine ( 10 ) ,",,recognita plus : ocr with strength in hardware,b simon
20,,,the family transition program : implementation and interim impacts of floridaâ ?? s initial time -,"d bloom , m farrell , jj kemple , n verma"
21,"new york ,",,world population prospects : the 1996 revision,u nations
22,"artificial intelligence review ,",1997.0,the racing algorithm : model selection for lazy learners,"o maron , aw moore"
23,"new directions for higher education ,",1998.0,survival skills for graduate school and beyond,"ba fischer , mj zigmond"
24,"economic geography ,",1998.0,consequences of migration and remittances for mexican transnational communities .,"d conway , jh cohen"
25,"sigmod record ,",2002.0,too much middleware,m stonebraker
26,,1999.0,a correctness proof for a practical byzantine-fault-tolerant replication algorithm . technical memo,"m castro , b liskov"
27,"proc . 28th allerton conf . on communication , control , and & hellip ; ,",,on a stochastic optimization algorithm using ipa which updates after every customer,"ekp chong , pj ramadge"
28,,,flight to objectivity : essays on cartesianism and culture,s bordo
29,,,capturing design rationale in concurrent engineering teams,m klein
30,"lancet i ,",,chromosome banding in x-linked mental retardation,c fonatsch
31,"computerworld ,",,wanted : true believers,f hayes
32,"proceedings of the ieee ,",1997.0,multirate analog-digital systems for signal processing and conversion,"j franca , a petraglia , sk mitra"
33,"electronic markets ,",2001.0,an empirical review of price behaviour on the internet,h riquelme
34,"information and software technology ,",1992.0,"psm : software tool for simulating , prototyping , and monitoring of multiprocessor systems","a stafylopatis , i papakonstantinou , s kaxiras"
35,"journal of emergency medicine ,",2000.0,electrocardiographic manifestations : patterns that confound the ekg diagnosis of acute myocardial,"wj brady , tc chan , m pollack"
36,"technical university of berlin ,",,learning with kernels [ ph. d. thesis ],aj smola
37,"& hellip ; for comparison of supplemental technology demonstration & hellip ; ,",,caldwell,"p consultants , b pc"
38,"conference on management of data , seattle , wa , june ,",,data in your face '' : push technology in perspective ( invited paper ) acm sigmod intl,"m franklin , s zdonik"
39,"md ,",,"service specification and protocol construction for a layered architecture , university of maryland",sl murphy
40,"md ,",,foot orthoses . . williams & wilkins : baltimore,kk wu
41,,1993.0,tools for statistical inference,ma tanner
42,"proceedings of the 23rd annual meeting of the american wood - & hellip ; ,",,temperatures necessary to kill fungi in wood,s chidester
43,,2000.0,modeling and analysis of a traveling wave tube under multitone excitation,jg wohlbier
44,"proceedings of sigmodâ ?? 86 . washington . may ,",,lohman . gm r * optimizer validation and performance evaluation for local queries,lf mackert
45,,,load balancing in dynamic structured p2p systems,ssy patel
46,"electronic markets ,",2000.0,virtual communities of transaction : the role of personalization in electronic commerce,p schubert
47,proc . of the 27-28th symp . of funct . anal . and real anal . (,,unitary representations realized in l 2-sections of vector bundles over semi-simple symmetric spaces,t kobayashi
48,"proceedings of the institution of mechanical engineers d , & hellip ; ,",2003.0,dimethyl ether ( dme ) spray characteristics in a common-rail fuel injection system .,j yu
49,"mit laboratory for computer science ( october 1986 ) , unpublished",,"crypt breakerâ ?? s workbench users manual , ''",rw baldwin
50,"cochrane database syst rev ,",2000.0,nasal continuous positive airways pressure immediately after extubation for preventing morbidity in,"pg davis , dj henderson-smart"
51,"new directions for teaching and learning ,",1994.0,"mentoring undergraduate minority students : an overview , survey , and model program","mc terrell , rk hassell"
52,"technical report , statistics department , stanford university ,",,optimally sparse representations in general dictionaries by l 1 minimization,"d donoho , m elad"
53,proc .,,tunning red for web traffic,"m christiansen , k jeffay , d ott , fd smith"
54,"discussiones mathematicae graph theory ,",2001.0,a sigma ~ 3 type condition for heavy cycles in weighted graphs,"s zhang , x li , h broersma"
55,"california at santa barbara ,",,"qualitative â ?? â ?? versusâ ?? â ?? quantitative methods in social research , dept of sociology , u",t wilson
56,"new directions for teaching and learning ,",1990.0,the art of deliberalizing : a handbook for the true professional .,wc booth
57,acm,,"ã cents â ? ¬ å?conflict detection tradeoffs for replicated data , ã cents â ? ¬ â ?","jm carey , m livny"
58,"journal of personality and social psychology ,",1998.0,internal and external motivation to respond without prejudice,"e ashby plant , pg devine"
59,"computerworld. ,",1989.0,white christmas could become dream .,w brandel
60,,1993.0,virtual reality : through the new looking glass,"k pimentel , k teixeira"
61,"proceedings of the international conference on very large & hellip ; ,",2004.0,"biological data management : research , practice and opportunities",t topaloglou
62,"lancet , i ,",1984.0,myocardial infarction and the emotional climate,"ah crisp , m queenan , mf d'souzaâ ? ¦"
63,,,"a resource for your cosmetology career , 2000 edition",s fundamentals
64,"san diego ,",,on the nature of continental shelves : academic press,jj walsh
65,"unpublished manuscript ,",1994.0,detection of change-points in nonparametric regression,pl speckman
66,,1964.0,measuring the light regime under vegetation .,ca federer
67,,,predicting the benefits of information retrieval techniques,a arnt
68,"d. gresh , e. kelton , proceedings , ieee visualization ,",,"visualization , optimization , and business strategy","dl gresh , ei kelton"
69,"phil . mag ,",,the defect structure and mechanical properties of spinel single crystals,mh lewis
70,proc . int . conf . automation,,real-time networking for the implementation of cim,"lr lin , hp huang"
71,"proc . spie ,",1996.0,progress in the development of large area sub-millimeter resolution cdznte strip detectors,"jr macri , dv boykin , k larson , m mayer , ml"
72,"the academy of management review ,",1999.0,convergent stakeholder theory,"tm jones , ac wicks"
73,,2000.0,hierarchical grouping in artificial intelligence . aaai spring symposium on artificial intelligence,m mortimer
74,"learning in groups , new directions for teaching and",,students in learning groups : active learning through conversation,"c bouton , ry garth"
75,,1995.0,hierarchical and variation geometric modeling with wavelets . in proceedings of the 1995 symposium on,"sj gortler , mf cohen"
76,"md ,",,"process specification language : an analysis of existing representations , nistir 6160 , national","a knutilla , c schlenoff , s ray , st polyak , a tate ,"
77,,1991.0,new chance : implementing a comprehensive program for teenage parents and their children,"j quint , b fink , s rowser"
78,"proceedings of szgcse â ?? 97 ,",1997.0,adding some spice to csi curricula,"g holmes , tc smith"
79,"vldb ,",1975.0,hardware and system architecture for a very large database,"r healey , b heckman"
80,,,genetic-algorithm programming environments,"jlr filho , pc treleaven , c alippi"
81,"rechner-u . sensorgestã 1/4 tzte chirurgie-procs , gi ,",,interactive med . 3d-simulations by means of stereoscopy and standard hardware,"h wã ¶ rn , j mã 1/4 hlingâ ? ¦"
82,"proceedings of the 23rd annual boston university conference & hellip ; ,",,"semantics , pragmatics , and second language acquisition : the case of combien extractions","l dekydtspotter , ra sprouse , k swanson , r thyre"
83,,,"coauthors , 2003 : european temperature variability over the last 500 years , uncertainties , extremes",j luterbacher
84,,,understandittg activex and ole,d chappell
85,,,"object , message , and performance : how they coexist in self","d ungar , rb smith , c chambers"
86,,1977.0,lisp .,vr pratt
87,"hepatitis b vaccine : demonstration of efficacy in a & hellip ; ,",,"stevens ce , harley ej , zang ea , oleszko wr , william dc , et al",w szmuness
88,,,sybase iq multiplex-designed for analytics,"r macnicol , b french"
89,"proc . ieee/acm design automation conf ,",,characterizing the effects of clock jitter due to substrate noise in discrete-time 1 = 6 modulators,p heydari
90,,,algebraic attacks on combiners with memory,"f armknecht , m krause"
91,"journal of emergency medicine ,",1993.0,congenital diaphragmatic hernia-morgagni type,"l sinclair , bl klein"
92,"new directions for teaching and learning ,",1987.0,acquiring student feedback that improves instruction .,hg murray
93,,,drafter : an interactive support tool for writing multilingual instructions,"c paris , k vander linden"
94,,,bill 1989â ?? select committee,p offences
95,,1990.0,new developments in laser resonators,ae siegman
96,"proc 7th int &#39; l conf vldb ,",,on modelling behavloural semantics of data,m brodm
97,"ieee transactions on knowledge and data engineering ,",2003.0,comparing data streams using hamming norms ( how to zero in ),"g cormode , m datar , p indyk , s muthukrishnan"
98,"the histochemical journal ,",1988.0,a quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria,"dm webber , ip braidman , wr robertson , dc anderson"
99,,1995.0,what are the national regimes and local traditions of social welfare and their historical derivation,r greca
100,"lancet i ,",1987.0,gastroenteritis due to kanagawa negative vibrio parahaemolyticus,", i goto , i minematsu , n ikeda , n asano , m"
101,"proceedings of the 1997acm-sigmod conference ,",,devise : integrated queryingand visual explorationof large datasets,"m livny , r ramakrishnan , k beyer , g chen , d"
102,"technical report cs-2000-08 , computer science department , duke",,efficient numerical error bounding for replicated network services,hy aminvahdat
103,,,unsupervised image segmentation by stochastic reconstruction,"v metzler , r vandenhouten , j krone , r grebe"
104,"proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,affinity relation discovery in image database clustering and content-based retrieval,"ml shyu , sc chen , m chen , c zhang"
105,,,vision-based pedestrian detection : will ants help ?,"m bertozzi , a broggi , a fascioli"
106,"new directions for higher education ,",1982.0,evaluating administrators .,dp hoyt
107,,,initial results from the euv engineering test stand,"d tichenor , a ray-chaudhuri , s lee , h chapman , w"
108,"acm transactions on database systems ,",1998.0,information gathering in the world wide web : the w3ql query language and the w3qs system,"d konopnicki , o shmueli"
109,proceedings of the acm-sigmod international conference on,,on the design of a distributed query processing algorithm,"ct yu , c chang , m templeton , d brill , e lund"
110,submitted for,,"babel : a testbed for research in origins of language , 1998",a mcintyre
111,"conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0,observations of frontal zone structures with a vhf doppler radar and radiosondes,"mf larsen , j roettger"
112,"journal of personality and social psychology ,",,"when gulliver travels : social context , psychological closeness , and self-appraisals","jd brown , nj novick , ka lord , jm richards"
113,"bt technology journal ,",2001.0,list of acronyms,anxan exchange
114,"md ,",,"survey of job shop scheduling techniques , nistir , national institute of standards and technology ,","a jones , lc rabelo"
115,"wisconsin demand-side demonstration , april ,",,energy conservation 2000 mayville and horicon : a study of a community-based program,"b neal , c sabo"
116,"cochrane database syst rev ,",2000.0,"heated , humidified air for the common cold",m singh
117,"proceedings of the acm sigplan 1997 conference on & hellip ; ,",1997.0,code compression,"j ernst , w evans , cw fraser , ta proebsting , s"
118,"proceedings of acm sigmodâ ?? 98 conference on management of & hellip ; ,",,ariadne : a system for constructing mediators for internet sources ( demonstration ),"j ambite , n ashish , g barish , a knoblock , s minton"
119,,,cost effective dynamic program slicing,"x zhang , r gupta"
120,"www5 / computer networks ,",1996.0,pan-browser support for annotations and other meta-information on the world wide web,"ma schickler , ms mazer , c brooks"
121,"journal of personality and social psychology ,",1993.0,how coping mediates the effect of optimism on distress : a study of women with early stage breast,"cs carver , c pozo , sd harris , v noriegaâ ? ¦"
122,"proceedings of the i mech e part d journal of automobile & hellip ; ,",2003.0,aspects of disc brake judder,h jacobsson
123,"new directions for teaching and learning ,",2000.0,getting started : informal small-group strategies in large classes,"jl cooper , p robinson"
124,,,thread-local heaps for java,"t domani , g goldshtein , ek kolodner , e lewis , e"
125,"new directions for teaching and learning , no ,",,revisiting scholarship,c kreberâ ? ¦
126,,1992.0,roussopoulos . performanceandscalabilityofclient-server database architecture,a delisandn
127,,,scalable session messages in srm using self-configuration,"p sharma , d estrin , s floyd , l zhang"
128,,,"reyes , de los , guillermo",p revere
129,,,transputer implementation of kalman filters,"lp maguire , gw irwin"
130,"technical report no. 92 , stanford university , july",,waiting times for stationary processes,"i kontoyiannis , a recurrence"
131,"proceedings of the 13th annual acm international conference & hellip ; ,",2005.0,jade : jabber-based authoring in distributed environments,"a roczniak , a el saddik"
132,,,a finite element method for the dynamic analysis of automatic transmission gear shifting with a four,"n zhang , a crowther , dk liu , j jeyakumaran"
133,submitted for,,"hermes : a heterogeneous reasoning and mediator system , 1994","vs subrahmanian , s adali , a brink , r emery , jl lu ,"
134,"proceedings , 1994 outdoor action conference , may 23-25 , & hellip ; ,",,proposed air force guidelines for successfully supporting the intrinsic remediation ( natural,"th wiedemeier , jt wilson , dh kampbell , rn miller"
135,"proceedings of acm-sigmod international conference on & hellip ; ,",1998.0,multimedia miner : a system prototype for multimedia data mining,", j han , sh chee , jy chiang"
136,"new directions for teaching and learning ,",1997.0,"integration of teaching and research : myth , reality , and possibility",m weimer
137,"electronic markets ,",,a value-added model for electronic commerce,to ` daniel
138,"fed proc ,",1987.0,photoprotection by carotenoids,mm mathews-roth
139,"journal of emergency medicine ,",1993.0,prehospital cardiac arrest survival and neurologic recovery,"m hillis , d sinclair , g butler , e cain"
140,,1996.0,inside visual c++,jk david
141,"computer networks ,",2003.0,preferential treatment for short flows to reduce web latency,"x chen , j heidemann"
142,"the academy of management review ,",1995.0,instrumental stakeholder theory : a synthesis of ethics and economics,tm jones
143,,,curves and surfaces in computer aided geometric design,g farin
144,"proc of the 22nd vldb conf ,",,a data warehouse intelligent cache manager [ c ],p schenermannâ ? ¦
145,"journal of personality and social psychology ,",1993.0,"assessment , enhancement , and verification determinants of the self-evaluation process",c sedikides
146,"phil . mag ,",,the velocity of sound below 1 k,"kr atkins , dv osborne"
147,"the histochemical journal ,",1992.0,"dye standards , part i : terminology and general principles","h lyon , e schulte , a de leenheer , s lewis , v"
148,,,estimating dna sequence entropy,jk lanctot
149,,1993.0,svâ `` jeuxantiquesâ '',ve encarta
150,,2001.0,"learning plateaus in generalized cognitive condensations : phase transition , path dependence and","r wallace , r fullilove"
151,"proc . int . conf . communications ,",,multiaccess of a slotted channel using a control mini-slot,"l merakos , d kazakos"
152,"seattle , washington , april ,",,urban watershed gis models for neighborhood environmental education . 1997 acsm/asprs annual,"cj van zee , p hayes"
153,"proceedings of sigmodâ ?? 99 workshop on research issues on & hellip ; ,",,plan mining by divide-andconquer,"j han , q yang , e kim"
154,,,contextual method for the re-design of existing software products,"r jones , n milic-frayling , k rodden , a blackwell"
155,"proc . spie ,",1999.0,imaging of layered structures in biological tissues with opto-acoustic front surface transducer,"aa karabutov , ev savateeva , aa oraevsky"
156,vol .,,"foundations of differential geometry ( interscience , new york , 1963 )","s kobayashi , k nomizu"
157,"journal of emergency medicine ,",1997.0,blind nasotracheal intubation in the presence of facial trauma,"cl rosen , re wolfe , se chew , sw branney , ej roe"
158,"phil . mag ,",,electron microscopy and diffraction of twinned structures in evaporated films of gold,"dw pashley , mj stowell"
159,"tomus i ,",,genera crustaceorum et insectorum,pa latreille
160,"new directions for higher education ,",1980.0,legal studies and mediation .,j rifkin
161,"the academy of management review ,",1986.0,ethical decision making in organizations : a person-situation interactionist model,lk trevino
162,"proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,application servers ( panel session ) : born-again tp monitors for the web,"c mohan , l cable , m devin , s dietzen , p helland , d"
163,"proceedings of the international conference on very large & hellip ; ,",,"ws-catalognet : an infrastructure for creating , peering , and querying e-catalog communities","k baina , b benatallah , h paik , f toumani , c rey , a"
164,"seattle , washington , september ,",,pollution prevention at shipyards,pnppr center
165,"submitted for publication ,",,stochastic averaging of hamiltonian systems : a direct martingale proof of a result by freidlin and,"r sowers , n sri namachchivaya"
166,"sigmod record ,",1999.0,nsf workshop on industrial/academic cooperation in database systems,"m carey , l seligman"
167,at .,,î ³ - spectrometric determination of the content of natural radionuclides in ground water,"a mukhamedov , gv poteshkin , us salikhbaevâ ? ¦"
168,"unpublished manuscript ,",,controlled trial of internet based treatment for chronic back pain,"m buhrman , s fã $ ltenhag , l strã ¶ m , g andersson"
169,,,evaluation of local detectors on non-planar scenes,"f fraundorfer , h bischof"
170,"the academy of management review ,",1994.0,participation 's effects on performance and satisfaction : a reconsideration of research evidence,ja wagner iii
171,"third international conference on very large data bases , & hellip ; ,",,using new clues to find data,"c fie1771 fields , n negroponte"
172,"amino acids and î ² - lactams . acc . chem . res ,",,"imino esters : versatile substrates for the catalytic , asymmetric synthesis of r-and î ² -","ae taggi , am hafez , tr lectka"
173,"procs . oopsla 2003 workshop on process engineering for & hellip ; ,",,came : the first step to automated software engineering,m saeki
174,,,address compression through base register caching,"a park , m farrens"
175,"conference on management of data ,",,"selectivity estimation in spatial databases , acm sigmod intl","s achaya , v poosala , s ramaswamy"
176,,,to edit rdf,u protã © gã ©
177,,,exploiting temporal parallelism for software-only video effects processing,"k mayer-patel , la rowe"
178,"proceedings of the 23rd acm/ieee conference on design & hellip ; ,",,"ii , fundamentals of parallel logic simulation",rj smith
179,client-server information systems .,,efficient transparent application recovery,"d lomet , g weikum"
180,,2002.0,parametric query optimization for linear and piecewise linear cost functions,"ah hs02 , s sudarshan"
181,"herpetologist , santa barbara , california ,",,personal communication,p hunt
182,"international conference on bear research and management ,",,"predatory behavior of grizzly bears feeding on elk calves in yellowstone national park , 1986-88","sp french , mg french"
183,"proceedings of the 1994 acm conference on computer supported & hellip ; ,",1994.0,dolphin : integrated meeting support across local and remote desktop environments and liveboards,"na streitz , j geiã?ler , jm haake , j hol"
184,"technical report 3.0 , stanford university , march",,"potential interference to gps from uwb transmitters ; phase ii test results : accuracy , loss-of-lock ,","m luo , m koenig , d akos , s pullen , p enge"
185,manuscript,,capitalistic mathematics,vp maslov
186,"kostarakis publisher , athens , greece",,santilliâ ?? s lieâ ?? isotopic generalization of galileiâ ?? s and einsteinâ ?? s relativities ( 1990 ),"ak aringazin , a jannussis , df lopez , m nishioka , b"
187,"applied geography ,",,rainwater-harvesting agriculture for food production in arid zones : the challenge of the african,"hj bruins , m evenari , u nessler"
188,,2003.0,knowledge of blindness adaptation techniques among rehabilitation undergraduate students,mj hoover
189,"ibm almaden research center ,",,personal communications,j mao
190,,1998.0,"behavioral ecology and the evolution of hunter-gatherer societies on the northern channel islands ,",dj kennett
191,"sigmod record ,",2002.0,report on the 18th british national conference on databases ( bncod ),"c goble , b read"
192,"proceedings of the 1993 acm sigmod international conference & hellip ; ,",1993.0,role of interoperability in business application development,"d cohen , g larson , l berke"
193,,1998.0,traces of the spirit : the religious dimensions of popular music,r sylvan
194,,,a selection combining scheme for rake receivers,n kong
195,"seattle , washington usa : ieee publishing , may ,",,towards generic service management concepts : a service model based approach . 7th ieee/ifip,"m garschhammer , r hauckâ ? ¦"
196,"the academy of management journal ,",1996.0,"sustained product innovation in large , mature organizations : overcoming innovation-to-organization","d dougherty , c hardy"
197,"md ,",,"national survey results on drug use from the monitoring the future study , 1975-1997â ?? volume i","l johnston , poâ ?? malley , j bachman"
198,"proc . int . conf . computer-aided design ,",,a parallel scheme for test pattern generation,"a motohara , k nishimura , h fujiwara , i shirakawa"
199,"proc . ifac symposium , zurich , switzerland ,",,safety of computer control systems 1992 ( safecomp ' 92 ) . computer systems in safety-critical,hh frey
200,,,"intra-annual changes in the abundance of coho , chinook , and chum salmon in puget sound in 1997","rj beamish , m folkes , r sweeting , c mahnken"
201,,1997.0,biological monitoring and assessment : using multimetric indexes effectively,"jr karr , ew chu"
202,,,extracting structured data from web pages,"a arasu , h garcia-molina"
203,"journal of personality and social psychology ,",1971.0,effects of externally mediated rewards on intrinsic motivation,el deci
204,"proceedings of the ieee ,",,wireless infrared communications,"m kahn joseph , r barry john"
205,,,"introduction to combinatorics , pg . 82 , 1996",mj erickson
206,,,comparison of systems with complex behavior,"i mezic , a banaszuk"
207,"economic geography ,",1988.0,transportation and world development,jc lowe
208,"european rotorcraft forum , 25 th , rome , italy , proceedings. ,",1999.0,effect of drive train and fuel control design on helicopter handling qualities,g guglieri
209,"journal of personality and social psychology ,",1993.0,implicit stereotyping in person judgment,"mr banaji , c hardin , aj rothman"
210,"computer networks ,",1999.0,lowering security overhead in link state routing,"rc hauser , t przygienda , g tsudik"
211,"computer networks ,",2001.0,safetynet : a language-based approach to programmable networks,"i wakeman , a jeffrey , t owen , d pepper"
212,,2000.0,preface to the proceedings of the workshop on data reverse engineering,"e chikofsky , hd kathi"
213,,,performance analysis using the mips r10000 performance counters,"m zagha , b larson , s turner , m itzkowitz"
214,"san diego : academic ,",,xenobiotics and hammation,"lb schook , dl laskin"
215,,,link prediction approach to collaborative filtering,"z huang , x li , h chen"
216,unpublished,,the universal distribution and a free lunch for program induction,"j neil , j woodward"
217,,,presynaptic localization of sodium/calcium exchangers in neuromuscular preparations,"pw luther , rk yip , rj bloch , a ambesi , ge"
218,"san diego ,",,academic press,"eb davies , op semigroups"
219,"experimental robotics i ,",,passive dynamic running,"mh raibert , cm thompson"
220,,,word and acoustic confidence annotation for large vocabulary speech recognition,l chase
221,,1996.0,rethinking risk financing,"cp helbling , g fallegger , d hill"
222,"& hellip ; on infrared physics , zurich , switzerland , aug. 11-15 , 1975 . & hellip ; ,",1976.0,high resolution infrared solar observations by balloon,r zander
223,"ieee transactions on knowledge and data engineering ,",2004.0,querying imprecise data in moving object environments,r cheng
224,,,enforcing modeling guidelines in an ordbms-based uml repository,"n ritter , hp steiert"
225,"cochrane database syst rev ,",2003.0,audit and feedback : effects on professional practice and health care outcomes,"g jamtvedt , jm young , dt kristoffersen , o thomson ,"
226,"proceedings of the second acm international conference on & hellip ; ,",1997.0,branch libraries for multimedia repositories ( poster ),"m kozuch , w wolf , a wolfe , d mckay"
227,,,implementing the earnings supplement project : a test of a re-employment incentive,hs bloomâ ? ¦
228,"h. acc . chem . res ,",,wharton l. levy dh,re smalley
229,,,the future of fiber-optic computer networks,pe greenâ ? ¦
230,,1967.0,exposed points in spaces of bounded analytic functions .,sd fisher
231,"proc . spie ,",1998.0,2df mechanical engineering,"g smith , a lankshear"
232,"the histochemical journal ,",1988.0,immunocytochemical localization ofras p21 product in thyroid follicular cells of normal rats using,"y mizukami , a nonomura , t hashimoto , e kawahara , s"
233,"& hellip ; telemetering conference , washington , d. c , proceedings ,",1975.0,evaluation of a random access system with hardware simulation ( for satellite location and data,gg delmas
234,"bt technology journal ,",1994.0,distributed restoration in telecommunications networks,d johnsonâ ? ¦
235,"electronic letters ,",1998.0,the 3d resurf double-gate mosfet : a revolutionary power device concept,"f udrea , a popescu"
236,"genes to cells ,",1997.0,the highly conserved dad1 protein involved in apoptosis is required for n-linked glycosylation,"t makishima , t nakashima , k nagata-kuno , k"
237,"computerworld ,",,e-business models,r trombly
238,,2004.0,"an analysis of the relationship between nln pre-admission scores , age and student success in two",em kirking
239,"cochrane database syst rev ,",2003.0,"communication skills training for health care professionals working with cancer patients , their","d fellowes , s wilkinson , p moore"
