item_id,paper_name,author_team,series_name,doc_year
12852,evolution of the frameworks quagmire,sa sheard,,
12853,generalized trees to give denotational semantics to finite delay,g winskel,unpublished,
12854,data base decomposition in a hierarchical computer system,portal.acm.org,,
12855,fundamental algorithms on reconfigurable meshes,"s olariu , jl schwing , j zhang","proc . 29th ann . allerton conf . comm. , control , and computing ,",
12856,ecological study of sylvilagus brasiliensis meridensis in an andean venezuelan paramo . p : 182-203,p durant,"procs . world lagom . conf . university of guelph , ontario , & hellip ; ,",
12857,"s. , and wigderson , a. how to play any mental game | a completeness theorem for protocols with honest",om goldreich,proc . acm,
12858,efficient portability across memory hierarchies,"g bilardi , e peserico","unpublished manuscript ,",
12859,"xml-based information mediation with mix . in in demo session , acm-sigmodâ ?? 99","c baru , a gupta , b ludaescher , r marciano , y",,1999.0
12860,"women state legislators , womenâ ?? s organizations , and the representation of womenâ ?? s culture in the",sj carroll,"see bystydzienski ,",
12861,performance of multi-hop wireless ad hoc network routing protocols,"j broch , d maltz , d johnson , y hu , j jetcheva",proceedings of acm/ieee,
12862,beer from maize,"cb pfeninger , f schur , aj wieg","process european brewing convention , zurich , switzerland ,",
12863,ssch : slotted seeded channel hopping for capacity improvement in ieee 802.11 ad-hoc wireless,"p bahl , r chandra , j dunagan",,
12864,a transaction recovery method supporting fine-granularity locking and partial rollbacks using write -,"c mohan , d haderle , b lindsay , h pirahesh , p","ibm research report rj6649 , ibm almaden research centre , & hellip ; ,",
12865,deeper in debt : the impact of the 1992 reauthorization of the higher education act on within-year,"j cofer , p somers","& hellip ; for institutional research forum , seattle , washington ,",
12866,percutaneous transluminal angioplasty and stenting for carotid artery stenosis,"f crawley , mm brown","cochrane database syst rev ,",2000.0
12867,a transportable natural language database update system,s salveter,"proceedings of the 3rd acm sigact-sigmod symposium on & hellip ; ,",1984.0
12868,ten conversion myths from indonesia,r jones,"conversion to islam ,",
12869,a case of bilharzia of the vagina,fc madden,"the lancet i ,",
12870,the impact of cultural values on employee resistance to teams : toward a model of globalized self -,"bl kirkman , dl shapiro","the academy of management review ,",1997.0
12871,combining histograms and parametric curve fitting for feedback-driven query result-size estimation,"a konig , g weikum","proceedings of the international conference on very large & hellip ; ,",1999.0
12872,typing dynamic typing,"ai baars , sd swierstra",,
12873,more programming pearls : confessions of a coder,j bentley,,1988.0
12874,"the spaces and times of globalization : place , scale , networks , and positionality",e sheppard,"economic geography ,",
12875,maier . rapidbushyjoin-orderoptimizationwithcartesian products,b vanceandd,"inproceedings of the acm sigmod international conference on & hellip ; ,",
12876,"tables for x-ray crystallography ( 1974 , vol . iv ) .","i metal , m amides , t parameters , g quantities",acc . chem .,
12877,knowledge-based fault detection system using evolutive observer approach,"j korbicz , j kus","systems science-wroclaw - ,",1997.0
12878,strakovskaya,"ls kremenehugskii , r ya",at .,
12879,how computers are transforming higher education .,rg gillespie,"new directions for higher education ,",1983.0
12880,evaluation of workflow-type software products : a case study,"m perez , t rojas","information & software technology ,",2000.0
12881,"progress in crystal physics ( s. viswanathan , madras , 1958 )",rs krishnan,vol .,
