scholar_id,conf_abbrev,subject_title,author_group,pub_date
25704,"political geography ,",empowering political struggle : spaces and scales of resistance,la staeheli,1994.0
25705,"proc ,",high temp . mater,"s mrowec , k przybylski",
25706,"phil . mag ,",diffusion inelastique des electrons dans une solide par excitation de niveaus atomiques profonds,"c colliex , b jouffrey",
25707,"cochrane database syst rev ,",calcium channel blockers for inhibiting preterm labour,"jf king , vj flenady , dn papatsonis , ga dekker , b",2002.0
25708,,a comparison of landsat multispectral scanner imagery and aerial photography for identifying land,ek waller,1999.0
25709,,integrated stereo vision-a multiresolution apporach,"ks kumar , ub desai",
25710,"european conference on machine learning ( ecml 2001 ) ,","wrapping web information providers by transducer induction . in de raedt , l. , and flach , p. , eds",b chidlovskii,
25711,"proc . 28th symp . on foundations of computer science ,",a parallel algorithm for finding a separator in planar graphs,h gazit,
25712,"san diego ,","the biology of the laboratory rabbitâ '' , 2 ndedition academic press","pj manning , ce newcomer , h rongler",
25713,,markerless tracking using planar structures in the scene,"g simon , a fitzgibbon , a zisserman",
25714,proc . 29th ieee conf : decision and,distributed detection by a large number of sensors in tandem,"jd papastavrou , m athans",
25715,,fostering an internet-based learning network for community health through action research,f lau,
25716,"phil . mag ,",a dislocation reaction in the face-centred cubic lattice,wm lomer,
25717,,practical privacy : the sulq framework,"a blum , c dwork , f mcsherry , k nissim",
25718,,labor and the new deal,"m derber , e young",1957.0
25719,,within-slide normalization using localized print-tip characteristics for cdna microarray data,"j berger , s hautaniemi , s mitra , j astola",2003.0
25720,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",shapes of cd-110 at high spins ( abstract only ),"s juutinen , r julin , p ahonen , c fahlander , j",1991.0
25721,"new directions for higher education ,",what the future holds,gh gaither,1999.0
25722,"vldb journal , v ( 14 ) ,",on automating web service description,"b benatallah , mha leger , c rey , f toumani",
25723,,operational planning for electronic toll collection : a unique approach to computer modeling analysis,"j danko , v gulewicz",
25724,"technical report , massachusetts institute of technology ,",jakiela . intelligent suggestive cad systems : research overview,j mark,
25725,"submitted for publication ,",methods for estimating the computational power and generalization capability of neural microcircuits,"w maass , ra legenstein , n bertschinger",2004.0
25726,,programming microsoft windows ce,d boling,1998.0
25727,,connecting architecture reconstruction frameworks,"it bowman , mw godfrey , rc holt",
25728,"demonstration at the 1 stworkshop on new interfaces for & hellip ; ,",speaking orbs-interactive multi-participant sound sculpture,e ask,
25729,,suicide and the near-death experience,seh rogers,1998.0
25730,"social studies and the young learner ,",teaching history across the elementary curriculum .,s crenshaw,1989.0
25731,"procs . expert systems ,",knowledge based oceanographic data analysis,"b lees , n rees , j aiken",
25732,submitted for,8k solutions and semi-solutions to a problem of da costa,j marcos,
25733,"electronic communication ,",implementation of marker-assisted selection in french dairy cattle,"d boichard , s fritz , mn rossignol , my boscher , a",
25734,,a statistical simulation model for correlated nakagami fading channels,"j luo , jr zeidler",
25735,"proceedings of the 1986 acm sigmod international conference & hellip ; ,",on the evaluation strategy of educe,j bocca,1986.0
25736,,data-driven design of rasta-like filters,"s van vuuren , h hermansky",
25737,"proceedings of the 2002 acm sigmod intl. conf . on management & hellip ; ,",j er ome sim eon.â ?? statix : making xml countâ ??,"j freire , jr haritsa , m ramanath , p roy",
25738,"journal of emergency nursing ,","latex allergy : policy , procedure , and latex-safe box",l warner,1997.0
25739,,the multimedia object presentation manager of minos : a symmetric approach,", f ho",
25740,"proceedings acm sigmod international conference on & hellip ; ,",sigmod 1998,"lm haas , a tiwary",
25741,"proceedings of vldb , new york ,",algorithms for mining distance based outliers in large databases,"e knorr , r ng",
25742,,toward the semantic geospatial web,mj egenhofer,
25743,"journal of personality and social psychology ,",effect of brief training on sex-related differences in visual-spatial skill,"a stericker , s levesconte",1982.0
25744,,feedback driven instruction-set extension,"u kastens , dk le , a slowik , m thies",
25745,"proceedings of the 23rd international congress of applied & hellip ; ,",turkish standardisation of ravenâ ?? s spm,"n sahin , e duzen",
25746,"proceedings of the 25 th annual conference of the finnish & hellip ; ,","the n ( 4 , 5 ) n ( 6 , 7 ) n ( 6 , 7 ) and n ( 4 , 5 ) o ( 2 , 3 ) n ( 6 , 7 ) resonance auger effects in the","op sairanen , s aksela",1991.0
25747,to,some results on ( a : b ) - choosability,"s gutner , m tarsi",
25748,"proc . 26th int . conf . on coast . engrg. , copenhagen ,",quasi 3-d effects in leaky infragravity waves,"ar van dongeren , ia svendsen , u putrevu",
25749,"ieee expert : intelligent systems and their applications ,",guest editor 's introduction,f highland,1994.0
25750,proc . acm sigmod,"graefe 1993 : ja blakeley , wj mckenna , and g. graefe , experiences building the open oodb query",mk blakeley,
25751,,pasp,"j patterson , j thorstensen , j kemp , l jensen , t",2000.0
25752,"md ,","md 1997 paul a. vieta , sr",sc gooding,
25753,"proceedings-ieee ,",personal communication systems ( pcs ),"vok li , x qiu",1995.0
25754,"bundesgesetzblatt i , s ,",gesetz zum schutz vor schã $ dlichen bodenverã $ nderungen und zur sanierung von altlasten ( bundes -,d bundestag,
25755,"acm transactions on embedded computing systems ,",aida : adaptive application-independent data aggregation in wireless sensor networks,"t he , bm blum , ja stankovic , t abdelzaher",2004.0
