scholar_id,auth_names,journal_name,pub_title,published_yr
38556,"s chatterji , ssk evani , s ganguly , md yemmanuru","proceedings of the twenty-first acm sigmod-sigact-sigart & hellip ; ,",on the complexity of approximate query optimization,2002.0
38557,"ac scott , fyf chu , dw mclaughlin","ieee , proceedings ,",the soliton - a new concept in applied science ( pulselike nonlinear traveling wave/solitary wave / ),1973.0
38558,"ej kibblewhite , f shi","proc spie ,",design and field tests of an 8-w sum-frequency laser for adaptive optics,1998.0
38559,"rc blattberg , ap jeuland","management science ,",a micromodeling approach to investigate the advertising-sales relationship,1981.0
38560,"m schwabacher , p langley",,discovering communicable scientific knowledge from spatio-temporal data,
38561,"s al-khalifa , c yu , hv jagadish",,querying structured text in an xml database,
38562,ka ross,sigmod,reminiscences on influential papers,2002.0
38563,"ea ozkarahan , k oflazer","vldb ,",microprocessor based modular database processors,1978.0
38564,"gc branco , l lavoura , jp silva , cp violation",,oxford university press,
38565,"s boll , r jain , ts chua , r lienhart , l wilcox , m","proceedings of the 12th annual acm international conference & hellip ; ,",between context-aware media capture and multimedia content analysis : where do we find the promised,2004.0
38566,r bage,"electronic engineering ,",time and frequency counting techniques,
38567,"s morse , d isaac","upper saddle river , nj : prentice",parallel systems in the data warehouse,
38568,b abegg,"zurich , switzerland ,",klimaã $ nderung und tourismusâ ?? klimafolgenforschung am beispiel des wintertourismus in den schweizer,
38569,p fletcher,"electronic design ,","betamax vs , vhs-the verdict is still out , ''",
38570,tr gruber,"technical report ksl 92-71 ) . stanford university ,",a translatable approach to portable ontology specifications,
38571,ca wagenvoort,,symposium of world conference of open heart surgery,1985.0
38572,w mitter,"san diego ,",cultural identity and national loyalty in multicultural societies : a comparative approach,
38573,"f pottier , n gauthier",,polymorphic typed defunctionalization,
38574,"d dewm , r gerber , g graefe , k kumar , m heytens , m","proc twelfth vldb , japan ,",gammk a high performance dataflow database machine,
38575,"im walter , pc lockemann , hh nagel","vldb ,",database support for knowledge-based image evaluation,1987.0
38576,"g vossen , m weske",,the wasa approach to workflow management for scientific applications,
38577,d forster,"coins technical report 89-01 , university of massachusetts ,",timeand naturallanguage generation,
38578,"ks graham , jr hodges","neuropsychology-new york - ,",differentiating the roles of the hippocampal complex and the neocortex in long-term memory storage :,1997.0
38579,"ja orenstein , s haradhvala , b margulies , d",,query processing in the objectstore database system,
38580,h custer,,"inside windows nt , page 200",1993.0
38581,w natanson,"phil . mag ,",on the laws of viscosity,
38582,"b berednt , m spiliopoulou",the vldb journal,analysis of navigation behaviour in web sites integrating multiple information systems,
38583,"f chow , j hennessy",,register allocation priority-based coloring,
38584,er guthrie,,the state university : its function and its future,1959.0
38585,"mp papazoglou , m mcloughlin , e lindsay , s willie","acm sigmod record ,",database research at the queensland univ. of technology,1992.0
38586,"m kobayashi , m shinozaki , m touma , s daijavad",,collaborative customer services using synchronous web browser sharing,
38587,"s leibson , j kim",,configurable processors : a new era in chip design,
38588,"f dellaert , a waibel",,recognizing emotion in speech,
38589,a svensson,,software primitives for emulation of multiprocessor architectures,
38590,"e voorhees , d harman","md ,","the eighth text retrieval conference ( trec-8 ) , gaithersburg",
38591,"h zhang , wb croft , b levine",,efficient topologies and search algorithms for peer-to-peer content sharing .,
38592,s jayasena,proceedings of the vldb workshop on technologies for e -,financial information mediation : a case study of standards integration for electronic bill,
38593,"xs wang , c bettini , a brodsky , s jajodia","acm transactions on database systems ,",logical design for temporal databases with multiple granularities,1997.0
38594,jm hooke,"geography ,",applicable and applied geomorphology of rivers,
38595,kj hunt,"ieee proceedings-d ,","neural networks for nonlinear internal model control , iee",
38596,"w chan , w jiao , r wagner , i gupta , m inc",,regional seismic database for southwest china,
38597,l kelvin,"phil . mag ,",vibrations of a vortex column,
38598,of porter,"new directions for higher education ,",where do we go from here : looking beyond student aid and access to persistence .,1991.0
38599,"u brenner , a pauli , j vygen",,almost optimum placement legalization by minimum cost flow and dynamic programming,
38600,"pa bernstein , j madhavan , e rahm","the vldb journal ,",generic schema matching with cupid,2001.0
38601,hw buff,"acm sigmod record ,",the rational model contra entity relationship ?,1992.0
38602,"dv kisel , gs korablev , vg pavelev , mi petelin , se","radiotekhnika i elektronika ,","an experimental study of a gyrotron , operating at the second harmonic of the cyclotron frequency ,",1974.0
38603,"p klinger , b spellenberg , jm hermann",,â ?? in process 3d-sensing for laser material processing â ??,
38604,"js turner , jw lockwood , el horta","computer networks ,",dynamic hardware plugins ( dhp ) : exploiting hardware for high-performance programmable routers,
38605,"fg hayden , r atmar , m schillingâ ? ¦",san,safety and efficacy of oral gs4104 in longterm prophylaxis of natural influenza . 38th icaac ; 1998,
38606,s liao,"information and software technology ,",a process to identify disjoint subclasses and class lifecycle information using a technique of role,
38607,g wang,"see davis ,",cultivating friendship through bowling in shenzhen,
38608,j clifford,proceedings of the 1991 acm sigmod international conference,source international conference on management of data archive,1991.0
38609,"sa watson , d michaeli , tm morris , g robinson , jd","procs aacr ,",gastrimmune inhibits the primary and secondary growth of 2 rat colon carcinomas,
38610,"j varon , jm gonzalez , gl sternback , ee bellairs","journal of emergency medicine ,",tension hydrothorax : a rare complication of continuous cyclica peritoneal dialysis,1994.0
38611,"rc carrasco , j oncina , j calera-rubio","machine learning ,",stochastic inference of regular tree languages,2001.0
38612,sp luttrell,"iee proceedings ,",hierarchical vector quantisation,1989.0
38613,r manakadan,,the ecology of the great indian bustard choriotis nigriceps ( vigors ) habitat,1985.0
38614,"s adal , vs subrahmanian","data structures and query processing , submitted for journal & hellip ; ,","amalgamating knowledge bases , ii : algorithms",
38615,"mt roth , f ozcan , lm haas","& hellip ; international conference on very large data bases table of & hellip ; ,",cost models do matter : providing cost information for diverse data sources in a federated system,1999.0
38616,"r king , m novak","acm sigmod record ,",building reusable data representations with facekit,1992.0
38617,av filippasâ ? ¦,"& hellip ; al. : theiasa racetrackmicrotronfacility in athens , greece ,","optics for the athens cw rtm , poster sessiontup046g at this conference a",
38618,c thaiss,"new directions for teaching and learning ,",the future of writing across the curriculum .,1988.0
38619,ry calne,"transplant proc ,",organ transplantation between widely disparate species,1970.0
38620,"a albani , a keiblinger , k turowski , c winnewisser","lecture notes in computer science ,",domain based identification and modelling of business component applications,2003.0
38621,"m burke , s millar","aslib proceedings ,",responding to challenges : the training and educating of the information professional for the next,1998.0
38622,"m crossley , nj davies , aj mcgrath , maz rejman -","bt technology journal ,",the knowledge garden,1999.0
38623,"hml davies , sa panaro",,tetrahedron lett,
38624,"dw hosmer , s lemeshow",,applied logistic regression,1989.0
38625,"m bauer , d dengler , g paul , m meyer","communications-acm ,",programming by demonstration for information agents,2000.0
38626,epf chan,,evaluation of buffer queries in spatial databases,
38627,"e diener , f fujita","journal of personality and social psychology ,","resources , personal strivings , and subjective well-being : a nomothetic and idiographic approach",1995.0
38628,"r torlone , p atzeni","acm sigmod record ,",report on the seventh edbt summer school : xml & databases,2004.0
38629,"j segen , s kumar",,gesture vr : vision-based 3d hand interace for spatial interaction,
38630,re meier,"see williams ,",coexisting patterns and foraging behavior of introduced and native ants ( hymenoptera : formicidae ) in,
38631,se forrester,"bt technology journal ,",security in data networks,1998.0
38632,r weston,"computerworld ,",heineken taps online ordering,
38633,j brian,"d. , university of california , santa","lee , assistant professor of chemistry ba , university of california , san diego ph",
38634,dw parkinson,"bt technology journal ,",tetra security,2001.0
38635,"ayh lu , r kuntzman , s west , m jacobson","i. biol . chem ,",conney . ah ( 1972 ) j,
38636,"e amenta , d halfmann , mp young","mobilization-san diego - ,",the strategies and contexts of social protest : political mediation and the impact of the townsend,1999.0
38637,"c albajar , r kinnunen , j tuominiemi , v karimaki , m","oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",j/psi and psi ' production at the cern proton-antiproton collider ( abstract only ),1991.0
38638,"h wang , s park , w fan , p yu",proceedings of acm sigmod,xml indexing and compression : vist : a dynamic index method for querying xml data by tree structures,
38639,t gregorek,"electronic house ,",the energy revolution,
38640,vi utkin,,sliding modes in control and optimization,1992.0
38641,"r kimball , m ross","sigmod record ,",the data warehouse toolkit : the complete guide to dimensional modeling ( 2nd edition ),2003.0
38642,j lassman,"journal of emergency nursing ,",teachable moments : a paradigm shift,2001.0
