record_id,pub_authors,yr_published,pub_forum,paper_name
51408,"b caterson , je christner , jr baker , jr couchman",1985.0,"fed proc ,",production and characterization of monoclonal antibodies directed against connective tissue
51409,g clark,,"md ,","staining procedures , 4th ed . williams and wilkins , baltimore"
51410,"z zhang , rs blum",1999.0,"proceedings-ieee ,",a categorization of multiscale-decomposition-based image fusion schemes with a performance study for
51411,db porter,1994.0,"new directions for higher education ,",the costs and consequences of quality at the air force academy : a professor 's perspective .
51412,rk ream,2001.0,,on the move : the mobility/social capital dynamic in the achievement gap between mexican-american and
51413,a kantor,,"pc magazine ,",internet : the undiscovered country
51414,"s chen , kb bacon , g garcia , r liao , zk pan , sk",2001.0,"transplantation proceedings ,","fty720 , a novel transplantation drug , modulates lymphocyte migratory responses to chemokines"
51415,a wada,1998.0,"genes to cells ,",growth phase coupled modulation of escherichia coli ribosomes
51416,j dozier,,"proc . acm sigmod int . conf . management of data , san diego ,","access to data in nasaâ ?? s earth observing system , '' keynote address"
51417,"j hammer , h garcia-molina , s nestorov , r yerneni ,",,"proc . of acm sigmod conf . on management of data , tucson , & hellip ; ,",template-based wrappers in the tsimmis system ( system demonstration )
51418,"ku vollack , e hã $ rtig , h kã ¶ rner , wg zumft",,submitted for,multiplicity of transcription factors of the fnr family in denitrifying pseudomonas stutzeri :
51419,"s acharya , r alonso , m franklin , s zdonik",,"md ,","broadcast disks : data management for asymmetric communication environments , university of maryland"
51420,"e hughes , j collins , p vandekerckhove",2000.0,"cochrane database syst rev ,",clomiphene citrate for ovulation induction in women with oligo-amenorrhoea
51421,"ya kashchuk , vv frunze",,at .,influence of a boron screen on the sensitivity of neutron fission chambers
51422,n leavitt,,,whatever happened to object-oriented databases ?
51423,dj korteweg,,"phil . mag ,","g. devries , on the change of form of long waves advancing in a rectangular canal , and on a new type"
51424,pa basore,,"proceedings of the 23rd photovoltaic specialists conference , & hellip ; ,",extended analysis of internal quantum efficiency
51425,b english,2004.0,,microsoft sharepoint products and technologies resource kit
51426,"r litjens , rj boucherie",,,performance analysis of downlink shared channels in a umts network
51427,k bakker,1999.0,"political geography ,",the politics of hydropower : developing the mekong
51428,m mendel-reyes,1998.0,"new directions for teaching and learning ,",a pedagogy for citizenship : service learning and democratic education
51429,d gawlick,,"proceedings compcon ,",processingâ ?? hot spotsâ ?? in high performance systems
51430,j roettger,1991.0,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",the structure and dynamics of the polar mesosphere investigated with the eiscat radar systems (
51431,j widom,,"internal technical report , ibm almaden research center , san jose",starburst rule system userâ ?? s guide
51432,s blackmore,,"d. bierman ( ed . ) , proceedings of the 37 thannual convention & hellip ; ,",probability misjudgement and belief in the paranormal : is the theory all wrong
51433,"gm landau , jp schmidt , vj tsotras",1995.0,"the vldb journal the international journal on very large & hellip ; ,",historical queries along multiple lines of time evolution
51434,a sievers,,"see ref ,",funktion des golgi-apparates in pflanzlichen und tierischen zellen
51435,"t arai , s greenberg",1997.0,"proceedings of eurospeech ,",the temporal properties of spoken japanese are similar to those of english
51436,h pouwels,1979.0,"& hellip ; , 25 th , anaheim , calif , proceedings . part 2 , research & hellip ; ,",instrumentation for the determination of aircraft performance from dynamic maneuvers
51437,aa hood,1984.0,"acu-i bulletin ,",student development : does participation affect growth ? .
51438,"a vuorimaki , m punkkinen",1991.0,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",nmr pulse responses of pairs of triads of 1/2 spins in solids ( abstract only )
51439,"g kasper , n dickgiesser",1985.0,"lancet , i ,",isolation from gastric epithelium of campylobacter-like bacteria that are distinct from ''
51440,de frantz,,"acc . chem . res ,","r. fâ ? ° ssler , cs tomooka , em carreira"
51441,"r tsaur , mb smyth",,submitted for,convexity and almost fixed point properties in graphs : a study of many-valued functions in helly and
51442,ej skudrzyk,1971.0,,the foundations of acoustics : basic mathematics and basic acoustics
51443,s kaneâ ? ¦,,,"ieee nuclear science conference record , 2001"
51444,"hj lai , r xu , cq zhang",,,group connectivity of triangularly connected graphs
51445,r salomaa,1991.0,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",fusion energy : status and prospects ( abstract only )
51446,"sj yang , j nieh",,"pc magazine ,",thin is in
51447,jf macfaddin,,"md ,","biochemical tests for identification of medical bacteria 2nd ada . williams and wilkins , baltimore"
51448,r fagin,2002.0,"sigmod record ,",combining fuzzy information : an overview
51449,"s park , mh song",,,"employee stock ownership plans , firm performance , and monitoring by outside blockholders"
51450,"n street , y kim",,proc . 7th acm,a streaming ensemble algorithm for large-scale classification
51451,j king,,"computerworld ,",the well rounded student
51452,"b klein , a abecker",,submitted for,ontological considerations for designing combinable modules in document analysis and understanding .
51453,"l gravano , cck chang , a paepcke",1997.0,"sigmod rec ,",starts : stanford proposal for internet meta-searching
51454,p pierini,,"di gregorio and g. spezzano ( eds . ) , procs . of",space-time structures for cellular automata
51455,p schofield,1996.0,"tourism management ,",cinematographic images of a city . alternative heritage tourism in manchester
51456,tit kameda,,"acm trans . on database systems ,",optimalnesting forcomputingn-relationaljoins
