scholar_id,research_title,proceedings,publication_yr
0,towards a cooperative transaction model - the cooperative activity model,vldb,1995
1,sql/xml is making good progress,sigmod record,2002
2,using formal methods to reason about semantics-based decompositions of transactions,vldb,1995
3,editor 's notes,sigmod record,2002
4,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),,2002
5,schema and database evolution in the o2 object database system,vldb,1995
6,procedures in object-oriented query languages,vldb,1995
7,phoenix project : fault-tolerant applications,sigmod record,2002
8,mining the world wide web : an information search approach - book review,,2002
9,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,vldb,1995
10,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,2002
11,retrieval of composite multimedia objects,vldb,1995
12,mpeg-7 and multimedia database systems,sigmod record,2002
13,the fittest survives : an adaptive approach to query optimization,vldb,1995
14,reminiscences on influential papers,,2002
15,type classification of semi-structured documents,vldb,1995
16,data mining : practical machine learning tools and techniques - book review,sigmod record,2002
17,managing intra-operator parallelism in parallel database systems,vldb,1995
18,advances in databases and information systems ( adbis ),sigmod record,2002
19,mining generalized association rules,vldb,1995
20,sampling-based estimation of the number of distinct values of an attribute,vldb,1995
21,book review column,sigmod record,2002
22,processing object-oriented queries with invertible late bound functions,vldb,1995
23,databases and transaction processing : an application-oriented approach - book review,sigmod record,2002
24,"the clustra telecom database : high availability , high throughput , and real-time response",vldb,1995
25,conceptual modeling and specification generation for b2b business process based on ebxml,sigmod record,2002
26,neurorule : a connectionist approach to data mining,vldb,1995
27,a multi-agent system infrastructure for software component market-place : an ontological perspective,sigmod record,2002
28,improving performance in replicated databases through relaxed coherency,vldb,1995
29,an active functionality service for e-business applications,sigmod record,2002
30,contracting in the days of ebusiness,sigmod record,2002
31,redo recovery after system crashes,vldb,1995
32,db2 query parallelism : staging and implementation,vldb,1995
33,david dewitt speaks out,ecord,2002
34,a product specification database for visual prototyping,vldb,1995
35,from ternary relationship to relational tables : a case against common beliefs,sigmod record,2002
36,database de-centralization - a practical approach,vldb,1995
37,cluster validity methods : part i,sigmod record,2002
38,a pictorial query language for querying geographic databases using positional and olap operators,sigmod record,2002
39,benchmarking spatial join operations with spatial output,vldb,1995
40,bringing order to query optimization,sigmod record,2002
41,bigsur : a system for the management of earth science data,vldb,1995
42,editor 's notes,sigmod record,2002
43,efficient search of multi-dimensional b-trees,vldb,1995
44,research activities in database management and information retrieval at the university of illinois at chicago,sigmod record,2002
45,accessing a relational database through an object-oriented database interface,vldb,1995
46,interviewing during a tight job market,,2002
