object_id,pub_yr,doc_name,publication_venue
523,2002,skew handling techniques in sort-merge join,sigmod conference
524,1997,wrapper generation for semi-structured internet sources,sigmod record
525,1996,real-time index concurrency control,sigmod record
526,2002,storing and querying ordered xml using a relational database system,sigmod conference
527,2002,qursed : querying and reporting semistructured data,sigmod conference
528,1997,foreword : management of semistructured data,
529,1997,information systems research at george mason university,sigmod record
530,2002,"mining database structure ; or , how to build a data quality browser",sigmod conference
531,1997,"the five-minute rule ten years later , and other computer storage rules of thumb",sigmod record
532,2002,workflow management with service quality guarantees,sigmod conference
533,2002,approximate xml joins,sigmod conference
534,1997,editor 's notes,sigmod record
535,1997,the database and information system research group at the university of ulm,sigmod record
536,2002,partial results for online query processing,sigmod conference
537,2002,time-parameterized queries in spatio-temporal databases,sigmod conference
538,1997,research issues in federated database systems : report of efdbs '97 workshop,
539,2002,holistic twig joins : optimal xml pattern matching,sigmod conference
540,1997,workshop on workflow management in scientific and engineering applications - report,
541,2002,statistical synopses for graph-structured xml databases,sigmod conference
542,1997,industry perspectives,sigmod record
543,1997,virtual database technology,sigmod record
544,2002,minimal probing : supporting expensive predicates for top-k queries,sigmod conference
545,1997,chair 's message,
546,2002,mining long sequential patterns in a noisy environment,sigmod conference
547,1997,quasi-cubes : exploiting approximations in multidimensional databases,sigmod record
548,2002,selectivity estimation for spatio-temporal queries to moving objects,sigmod conference
549,1997,ogdi : toward interoperability among geospatial databases,sigmod record
550,2002,wavelet synopses with error guarantees,sigmod conference
551,2002,garlic : a new flavor of federated query processing for db2,sigmod conference
552,1997,report on dart ' 96 : databases : active and real-time ( concepts meet practice ),
553,2002,quadtree and r-tree indexes in oracle spatial : a comparison using gis data,sigmod conference
554,1997,a query language for a web-site management system,sigmod record
555,1997,an extended entity-relationship model for geographic applications,sigmod record
556,2002,the sdss skyserver : public access to the sloan digital sky server data,sigmod conference
557,2002,"tpc-ds , taking decision support benchmarking to the next level",sigmod conference
558,1997,asserting beliefs in mls relational models,sigmod record
559,1997,database systems - breaking out of the box,sigmod record
560,2002,mid-tier caching : the timesten approach,sigmod conference
561,2002,web caching for database applications with oracle web cache,sigmod conference
562,1997,converting relational to object-oriented databases,sigmod record
563,1997,extraction of object-oriented structures from existing relational databases,sigmod record
564,2002,middle-tier database caching for e-business,sigmod conference
565,2002,learning table access cardinalities with leo,sigmod conference
566,1997,an overview of data warehousing and olap technology,sigmod record
567,2002,rainbow : mapping-driven xquery processing system,sigmod conference
568,1997,editor 's notes,
569,2002,the xxl search engine : ranked retrieval of xml data using indexes and ontologies,sigmod conference
570,1997,lore : a database management system for semistructured data,sigmod record
571,1997,"research in databases and data-intensive applications - computer science department and fzi , university of karlsruhe",sigmod record
572,2002,toxgene : a template-based data generator for xml,sigmod conference
573,2002,visual coko : a debugger for query optimizer development,sigmod conference
574,1997,data management for earth system science,sigmod record
575,2002,xcache : a semantic caching system for xml queries,sigmod conference
576,1997,\ a consumer viewpoint on \ '' \ `` mediator languages - a proposal for a standard \ '' \ '' \ '' '',sigmod record
577,2002,xmdvtool : visual interactive data exploration and trend discovery of high-dimensional data sets,sigmod conference
578,1998,webdb ' 98 : international workshop on the web and databases,
579,2002,xbase : making your gigabyte disk queriable,sigmod conference
580,1998,chair 's message,
581,1998,database research at columbia university,sigmod record
582,2002,xl : a platform for web services,sigmod conference
583,2002,roadrunner : automatic data extraction from data-intensive web sites,sigmod conference
584,1998,database techniques for the world-wide web : a survey,sigmod record
585,1998,a case for intelligent disks ( idisks ),sigmod record
586,2002,software as a service : asp and asp aggregation,
587,2002,tutorial : application servers and associated technologies,
588,1998,b-tree page size when caching is considered,sigmod record
589,1998,algebraic change propagation for semijoin and outerjoin queries,sigmod record
590,2002,querying and mining data streams : you only get one look a tutorial,
591,1998,enhanced nearest neighbour search on the r-tree,sigmod record
592,2002,implementing xquery,sigmod conference
593,2001,data bubbles : quality preserving performance boosting for hierarchical clustering,sigmod conference
594,1998,an extensible notation for spatiotemporal index queries,sigmod record
595,1998,applications of the java programming language to database management,sigmod record
596,2001,bit-sliced index arithmetic,sigmod conference
597,2001,"a robust , optimization-based approach for approximate answering of aggregate queries",sigmod conference
