paper_id,year_published,paper_title,author_list
1046,2001,indexing and querying xml data for regular path expressions,"q li , b moon"
1047,2001,potter 's wheel : an interactive data cleaning system,"v raman , j hellerstein"
1048,1999,the aqua approximate query answering system,"s acharya , p gibbons , v poosala , s ramaswamy"
1049,1999,the ccube constraint object-oriented database system,"a brodsky , v segal , j chen , p exarkhopoulo"
1050,2001,query engines for web-accessible xml data,"l fegaras , r elmasri"
1051,2001,querying xml views of relational data,"j shanmugasundaram , j kiernan , e shekita , c fan , j funderburk"
1052,1999,the cornell jaguar system : adding mobility to predator,"p bonnet , k buza , z chen , v cheng , r chung , t hickey , r kennedy , d mahashin , t mayr , i oprencak , p seshadri , h siu"
1053,2001,views in a large scale xml repository,"s cluet , p veltri , d vodislav"
1054,1999,the active multisync controller of the cubetree storage organization,"n roussopoulos , y kotidis , y sismanis"
1055,2001,supporting incremental join queries on ranked inputs,"a natsev , y chang , j smith , c li , j vitter"
1056,1999,the jungle database search engine,"m bіhlen , l bukauskas , c dyreson"
1057,1999,mind your vocabulary : query mapping across heterogeneous information sources,"k chang , h garcia-molina"
1058,2001,developing an indexing scheme for xml document collection using the oracle8i extensibility framework,"s sundara , y hu , t chorma , n agarwal , j srinivasan"
1059,2001,cache portal : technology for accelerating database-driven e-commerce web sites,"w li , k candan , w hsiung , o po , d agrawal , q luo , w huang , y akca , c yilmaz"
1060,1999,query processing techniques for arrays,"a marathe , k salem"
1061,1999,walrus : a similarity retrieval algorithm for image databases,"a natsev , r rastogi , k shim"
1062,2001,flexible and scalable digital library search,"h blok , m windhouwer , r zwol , m petkovic , p apers , m kersten , w jonker"
1063,2001,functional properties of information filtering,"r sawai , m tsukamoto , y loh , t terada , s nishio"
1064,1999,shrinking the warehouse update window,"w labio , r yerneni , h garcia-molina"
1065,1999,query rewriting for semistructured data,"y papakonstantinou , v vassalos"
1066,2001,a prototype content-based retrieval system that uses virtual images to save space,"l brown , l gruenwald"
1067,2001,db2 spatial extender - spatial data within the rdbms,d adler
1068,1999,storing semistructured data with stored,"a deutsch , m fernandez , d suciu"
1069,2001,agflow : agent-based cross-enterprise workflow management system,"l zeng , b benatallah , p nguyen , a ngu"
1070,1999,"`` honey , i shrunk the dbms '' : footprint , mobility , and beyond ( panel )",p seshadri
1071,2001,actiview : adaptive data presentation using supersql,"y maeda , m toyama"
1072,1999,record-boundary discovery in web documents,"d embley , y jiang , y ng"
1073,2001,leo - db2 's learning optimizer,"m stillger , g lohman , v markl , m kandil"
1074,1999,petabyte databases,
1075,2001,the semantic web paving the way to the knowledge society,p sondag
1076,1999,"of crawlers , portals , mice and men : is there more to mining the web ? ( panel )","m garofalakis , s ramaswamy , r rastogi , k shim"
1077,1999,managing web data,
1078,2001,xxl - a library approach to supporting efficient implementations of advanced database queries,"j bercken , b blohsfeld , j dittrich , j krфmer , t schфfer , m schneider , b seeger"
1079,1999,hypertext databases and data mining,
1080,2001,user-optimizer communication using abstract plans in sybase ase,"m andrei , p valduriez"
1081,1999,implementing the spirit of sql-99,p brown
1082,2001,storage and retrieval of xml data using relational databases,
1083,1999,"o-o , what 's happening to db2 ?","m carey , d chamberlin , s narayanan , b vance , d doole , s rielau , r swagerman , n mattos"
1084,1999,merge replication in microsoft 's sql server 7.0,b hammond
1085,2001,"ambient intelligence with the ubiquitous network , the embedded computer devices and the hidden databases ( abstract )",e sol
1086,1999,indexing medium-dimensionality data in oracle,"k kanth , s ravada , j sharma , j banerjee"
1087,2001,managing business processes via workflow technology,
1088,2001,change-centric management of versions in an xml warehouse,"a marian , s abiteboul , g cobena , l mignet"
1089,1998,a multi-similarity algebra,"s adali , p bonatti , m sapino , v subrahmanian"
1090,1998,catching the boat with strudel : experiences with a web-site management system,"m fernandez , d florescu , j kang , a levy , d suciu"
1091,2001,estimating the selectivity of xml path expressions for internet scale applications,"a aboulnaga , a alameldeen , j naughton"
1092,2001,comparing hybrid peer-to-peer systems,"b yang , h garcia-molina"
1093,1998,bitmap index design and evaluation,"c chan , y ioannidis"
1094,2001,data staging for on-demand broadcast,"d aksoy , m franklin , s zdonik"
1095,1998,autoadmin ` what-if ' index analysis utility,"s chaudhuri , v narasayya"
1096,2001,dynamic update cube for range-sum queries,"s chun , c chung , j lee , s lee"
1097,1998,are we working on the right problems ? ( panel ),m stonebraker
1098,2001,distinct sampling for highly-accurate answers to distinct values queries and event reports,p gibbons
1099,1998,electronic commerce : tutorial,"n adam , y yesha"
1100,1998,approximate medians and other quantiles in one pass and with limited memory,"g manku , s rajagopalan , b lindsay"
1101,2001,approximate string joins in a database ( almost ) for free,"l gravano , p ipeirotis , h jagadish , n koudas , s muthukrishnan , d srivastava"
1102,1998,efficient and transparent application recovery in client-server information systems,"d lomet , g weikum"
1103,2001,dynamic pipeline scheduling for improving interactive query performance,"t urhan , m franklin"
1104,2001,aggregate maintenance for data warehousing in informix red brick vista,"c bunker , l colby , r cole , w mckenna , g mulagund , d wilhite"
1105,1998,database systems management and oracle8,c doherty
1106,1998,data in your face : push technology in perspective,"m franklin , s zdonik"
1107,2001,cache fusion : extending shared-disk clusters with shared caches,"t lahiri , v srihari , w chan , n macnaughton , s chandrasekaran"
1108,1998,"high-dimensional index structures , database support for next decade 's applications ( tutorial )","s berchtold , d keim"
1109,2001,architectures for internal web services deployment,o shmueli
1110,2001,a sequential pattern query language for supporting instant data mining for e-services,"r sadri , c zaniolo , a zarkesh , j adibi"
1111,1998,enterprise java platform data access,"s white , r cattell , s finkelstein"
1112,1998,filenet integrated document management database usage and issues,d whelan
1113,2001,french government activity in the conservation of data and electronic documents,s novaretti
1114,2001,discovering web services : an overview,v draluk
1115,1998,"developing a high traffic , read-only web site","j nauman , r suorsa"
1116,1998,"50,000 users on an oracle8 universal server database","t lahiri , a josji , a jasuja , s chatterjee"
1117,2001,collaborative analytical processing - dream or reality ? ( panel abstract ),"w o'connell , a witkowski , g graefe"
1118,1998,about quark digital media system,k aulakh
1119,2001,are web services the next revolution in e-commerce ? ( panel ),"s tsur , s abiteboul , r agrawal , u dayal , j klein , g weikum"
1120,1998,exploratory mining and pruning optimizations of constrained association rules,"r ng , l lakshmanan , j han , a pang"
1121,2001,efficient management of multiversion documents by object referencing,"s chien , v tsotras , c zaniolo"
1122,2001,answering xml queries on heterogeneous data sources,"i manolescu , d florescu , d kossmann"
1123,1999,xml-based information mediation with mix,"c baru , a gupta , b ludфscher , r marciano , y papakonstantinou , p velikhov , v chu"
1124,1999,"world wide database - integrating the web , corba , and databases","a bouguettaya , b benatallah , l hendra , j beard , k smith , m ouzzani"
1125,2001,an extendible hash for multi-precision similarity querying of image databases,"s lin , m жzsu , v oria , r ng"
1126,2001,fast evaluation techniques for complex similarity queries,"k bіhm , m mlivoncic , h schek , r weber"
1127,1999,the wasa2 object-oriented workflow management system,"g vossen , m weske"
1128,2001,feedbackbypass : a new approach to interactive similarity query processing,"i bartolini , p ciaccia , f waas"
1129,1998,automatic subspace clustering of high dimensional data for data mining applications,"r agrawal , j gehrke , d gunopulos , p raghavan"
1130,2001,form-based proxy caching for database-backed web sites,"q luo , j naughton"
1131,1998,efficiently mining long patterns from databases,r jr.
1132,2001,cache-conscious concurrency control of main-memory indexes on shared-memory multiprocessor systems,"s cha , s hwang , k kim , k kwon"
1133,1998,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim"
1134,2001,a database index to large biological sequences,"e hunt , m atkinson , r irving"
1135,1998,changing the rules : transformations for rule-based optimizers,"m cherniack , s zdonik"
1136,1998,an alternative storage organization for rolap aggregate views based on cubetrees,"y kotidis , n roussopoulos"
1137,2001,a data warehousing architecture for enabling service provisioning process,y kotidis
1138,1998,dimensionality reduction for similarity searching in dynamic databases,"k kanth , d agrawal , a singh"
1139,2001,an evaluation of generic bulk loading techniques,"j bercken , b seeger"
1140,2001,analyzing energy behavior of spatial access methods for memory-resident data,"n an , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin , s gurumurthi"
1141,1998,cost based query scrambling for initial delays,"t urhan , m franklin , l amsaleg"
1142,2001,"declarative data cleaning : language , model , and algorithms","h galhardas , d florescu , d shasha , e simon , c saita"
1143,1998,efficient mid-query re-optimization of sub-optimal query execution plans,"n kabra , d dewitt"
1144,1998,cost-based optimization of decision support queries using transient views,"s subramanian , s venkataraman"
1145,2001,efficient index structures for string databases,"t kahveci , a singh"
1146,2001,a fast index for semistructured data,"b cooper , n sample , m franklin , g hjaltason , m shadmon"
1147,1998,enhanced hypertext categorization using hyperlinks,"s chakrabarti , b dom , p indyk"
1148,1998,extracting schema from semistructured data,"s nestorov , s abiteboul , r motwani"
1149,2001,c2p : clustering based on closest pairs,"a nanopoulos , y theodoridis , y manolopoulos"
1150,1998,caching multidimensional queries using chunks,"p deshpande , k ramasamy , a shukla , j naughton"
1151,2001,efficient progressive skyline computation,"k tan , p eng , b ooi"
1152,2000,automated selection of materialized views and indexes in sql databases,"s agrawal , s chaudhuri , v narasayya"
1153,1998,the dedale system for complex spatial queries,"s grumbach , p rigaux , l segoufin"
1154,1998,similarity query processing using disk arrays,"a papadopoulos , y manolopoulos"
1155,2000,approximating aggregate queries about web pages via random walks,"z bar-yossef , a berg , s chien , j fakcharoenphol , d weitz"
