ref_id,pub_year,series_name,paper_subject
1569,1995,sigmod conference,directv and oracle rdb : the challenges of vldb transaction processing
1570,1995,sigmod conference,"enterprise objects framework , a second generation object-relational enabler"
1571,1998,vldb,low-cost compensation-based query processing
1572,1995,sigmod conference,an overview of db2 parallel edition
1573,1998,vldb,a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces
1574,1995,sigmod conference,data extraction and transformation for the data warehouse
1575,1998,vldb,reducing the braking distance of an sql query engine
1576,1995,sigmod conference,cover your assets
1577,1998,vldb,querying continuous time sequences
1578,1995,sigmod conference,recovery protocols for shared memory database systems
1579,2003,sigmod record,edgar f. codd : a tribute and personal memoir
1580,1998,vldb,nd-sql : a multi-dimensional language for interoperability and olap
1581,1995,sigmod conference,the lyric language : querying constraint objects
1582,1998,vldb,the heterogeneity problem and middleware technology : experiences with and performance of database gateways
1583,1998,vldb,evaluating functional joins along nested reference sets in object-relational and object-oriented databases
1584,1995,sigmod conference,datamine - interactive rule discovery system
1585,1998,vldb,using schema matching to simplify heterogeneous data translation
1586,1995,sigmod conference,efendi : federated database system of cadlab
1587,1995,sigmod conference,nearest neighbor queries
1588,1998,vldb,on optimal node splitting for r-trees
1589,1998,vldb,r-tree based indexing of now-relative bitemporal data
1590,1995,sigmod conference,topological relations in the world of minimum bounding rectangles : a study with r-trees
1591,1995,sigmod conference,towards an effective calculus for object query languages
1592,1998,vldb,optimal histograms with quality guarantees
1593,1995,sigmod conference,ofl : a functional execution model for object query languages
1594,1998,vldb,incremental clustering for mining in a data warehousing environment
1595,1998,vldb,inferring function semantics to optimize queries
1596,1995,sigmod conference,oodb indexing by class-division
1597,1995,sigmod conference,the handwritten trie : indexing electronic ink
1598,1998,vldb,"topaz : a cost-based , rule-driven , multi-phase parallelizer"
1599,1998,vldb,improving adaptable similarity query processing by using approximations
1600,1995,sigmod conference,parallel evaluation of multi-join queries
1601,1998,vldb,mindreader : querying databases through multiple examples
1602,1995,sigmod conference,the merge/purge problem for large databases
1603,1995,sigmod conference,semantic assumptions and query evaluation in temporal databases
1604,1999,vldb,"what do those weird xml types want , anyway ?"
1605,1999,vldb,online dynamic reordering for interactive data processing
1606,1995,sigmod conference,implementing crash recovery in quickstore : a performance study
1607,1999,vldb,hyper-programming in java
1608,1995,sigmod conference,reducing multidatabase query response time by tree balancing
1609,1999,vldb,"industrial panel on data warehousing technologies : experiences , challenges , and directions"
1610,1995,sigmod conference,temporal conditions and integrity constraints in active database systems
1611,1999,vldb,"pm3 : an orthogonal persistent systems programming language - design , implementation , performance"
1612,1995,sigmod conference,view maintenance in a warehousing environment
1613,1999,vldb,implementation of sql3 structured types with inheritance and value substitutability
1614,1995,sigmod conference,hypergraph based reorderings of outer join queries with complex predicates
1615,1995,sigmod conference,the spiffi scalable video-on-demand system
1616,1999,vldb,implementation of two semantic query optimization techniques in db2 universal database
1617,1999,vldb,optimization of run-time management of data intensive web-sites
1618,1995,sigmod conference,incremental maintenance of views with duplicates
1619,1995,sigmod conference,join queries with external text sources : execution and optimization techniques
1620,1998,vldb,determining text databases to search in the internet
