ref_id,contributors,source_name,pub_yr
2092,"j zhou , j sander",vldb,2003
2093,"y shi , y song , a zhang",vldb,2003
2094,"a hinneburg , w lehner , d habich",vldb,2003
2095,"r hankins , j patel",vldb,2003
2096,"n tatbul , u чetintemel , s zdonik , m cherniack , m stonebraker",vldb,2003
2097,"m hammad , m franklin , w aref , a elmagarmid",vldb,2003
2098,"s viglas , j naughton , j burger",vldb,2003
2099,"h jiang , w wang , h lu , j yu",vldb,2003
2100,"h he , w meng , c yu , z wu",vldb,2003
2101,"a lerner , d shasha",vldb,2003
2102,"f tian , d dewitt",vldb,2003
2103,"r huebsch , j hellerstein , n lanham , b loo , s shenker , i stoica",vldb,2003
2104,"y velegrakis , r miller , l popa",vldb,2003
2105,"g luo , j naughton , c ellmann , m watzke",vldb,2003
2106,"s papadimitriou , a brockwell , c faloutsos",vldb,2003
2107,"j madhavan , a halevy",vldb,2003
2108,"d gao , r snodgrass",vldb,2003
2109,"a tsois , t sellis",vldb,2003
2110,"m lee , w hsu , c jensen , b cui , k teo",vldb,2003
2111,"g qian , q zhu , q xue , s pramanik",vldb,2003
2112,"t kraft , h schwarz , r rantzau , b mitschang",vldb,2003
2113,"l golab , m жzsu",vldb,2003
2114,"g cormode , f korn , s muthukrishnan , d srivastava",vldb,2003
2115,"d xin , j han , x li , b wah",vldb,2003
2116,"f korn , s muthukrishnan , y zhu",vldb,2003
2117,"d lќbbers , u grimmer , m jarke",vldb,2003
2118,"g iwerks , h samet , k smith",vldb,2003
2119,"t grust , m keulen , j teubner",vldb,2003
2120,"s blott , h korth",vldb,2002
2121,"l daynшs , g czajkowski",vldb,2002
2122,"n karayannidis , a tsois , t sellis , r pieringer , v markl , f ramsak , r fenk , k elhardt , r bayer",vldb,2002
2123,"h kang , c chung",vldb,2002
2124,"a nierman , h jagadish",vldb,2002
2125,"v hristidis , y papakonstantinou",vldb,2002
2126,"s rizvi , j haritsa",vldb,2002
2127,"p senkul , m kifer , i toroslu",vldb,2002
2128,"t palpanas , r sidle , r cochrane , h pirahesh",vldb,2002
2129,"f korn , s muthukrishnan , d srivastava",vldb,2002
2130,"c chan , w fan , p felber , m garofalakis , r rastogi",vldb,2002
2131,"m benedikt , c chan , w fan , r rastogi , s zheng , a zhou",vldb,2002
2132,"u rіhm , k bіhm , h schek , h schuldt",vldb,2002
2133,"l lakshmanan , r ng , c wang , x zhou , t johnson",vldb,2002
2134,"l lakshmanan , j pei , j han",vldb,2002
2135,"y lee , k whang , y moon , i song",vldb,2002
2136,"b zeller , a kemper",vldb,2002
2137,r vingralek,vldb,2002
2138,"k goto , y kambayashi",vldb,2002
2139,p selinger,vldb,2002
2140,a fox,vldb,2002
2141,"a seifert , m scholl",vldb,2002
2142,"m sayal , f casati , u dayal , m shan",vldb,2002
2143,"g lohman , s lightstone",vldb,2002
2144,"a schmidt , f waas , m kersten , m carey , i manolescu , r busse",vldb,2002
2145,"b dageville , m zaяt",vldb,2002
2146,"w kieпling , g kіstler",vldb,2002
2147,"a pan , j raposo , m сlvarez , p montoto , v orjales , j hidalgo , l ardao , a molano , с viёa",vldb,2002
2148,"a laud , s bhowmick , p cruz , d singh , g rajesh",vldb,2002
2149,"i alexandrov , a amorim , e badescu , m barczyk , d burckhart-chromek , m caprini , m dobson , j flammer , r hart , r jones , a kazarov , s kolos , v kotov , d liko , l lucio , l mapelli , m mineev , l moneta , i papadopoulos , m nassiakou , n parrington , l pedro , a ribeiro ,",vldb,2002
2150,"i ilyas , w aref , a elmagarmid",vldb,2002
2151,c mohan,vldb,2002
2152,"m keidl , s seltzsam , k stocker , a kemper",vldb,2002
2153,"q sheng , b benatallah , m dumas , e mak",vldb,2002
2154,"c aggarwal , p yu",vldb,2002
2155,"g shegalov , g weikum , r barga , d lomet",vldb,2002
2156,"y ohura , k takahashi , i pramudiono , m kitsuregawa",vldb,2002
2157,"w li , w hsiung , d kalashnikov , r sion , o po , d agrawal , k candan",vldb,2002
2158,r king,vldb,2002
2159,s sripada,vldb,2002
2160,"w mahnke , c mathis , h steiert",vldb,2002
2161,"b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan",vldb,2002
2162,"m cilia , p hasselmayer , a buchmann",vldb,2002
2163,"s santini , a gupta",vldb,2002
2164,"k lam , a kwan , k ramamritham",vldb,2002
2165,"s heymann , k tham , a kilian , g wegner , p rieger , d merkel , j freytag",vldb,2002
2166,"r agrawal , r srikant , y xu",vldb,2002
2167,"w hsu , m lee , b ooi , p mohanty , k teo , c xia",vldb,2002
2168,c mohan,vldb,2001
2169,"m garofalakis , p gibbons",vldb,2001
2170,"h liu , h jacobsen",vldb,2002
