doc_id,conf_journal,pub_year_val,researchers
0,"san diego ,",,qd inc
1,"phil . mag ,",,"as argon , jg hannoosh"
2,"the histochemical journal ,",1992.0,"gh hansen , ll wetterberg , h sjã ¶ strã ¶ m , o norã © n"
3,see,,"tm hammett , p harmon , w rhodes"
4,"new directions for teaching and learning ,",1995.0,jr cogdell
5,to,,wm schmidt
6,,2002.0,ra haats
7,"san diego : academic ,",,"jr norris , j deisenhofer"
8,"res . rep. ceria , u. paris ,",,f bennour
9,,1987.0,"i borg , jc lingoes"
10,"san diego ,",,g strang
11,proceedings of the 25 theuropean transport,,j ortãºzar
12,"hargittai ,",,"k kuchitsu , m nakata , s yamamoto , i hargittai , m"
13,"proceedings of the international conference on very large & hellip ; ,",1996.0,ay levy
14,proceedings of the very large data bases conference ( vldb ;,,"a natsev , y chang , j smith"
15,,1995.0,j stillwell
16,,,"e hunt , mp atkinson , rw irving"
17,"seattle , washington dc ,",,gs probst
18,"proceedings of the 2 nd meeting on measurements in wound & hellip ; ,",1998.0,d hofman
19,"pc magazine ( 10 ) ,",,b simon
20,,,"d bloom , m farrell , jj kemple , n verma"
21,"new york ,",,u nations
22,"artificial intelligence review ,",1997.0,"o maron , aw moore"
23,"new directions for higher education ,",1998.0,"ba fischer , mj zigmond"
24,"economic geography ,",1998.0,"d conway , jh cohen"
25,"sigmod record ,",2002.0,m stonebraker
26,,1999.0,"m castro , b liskov"
27,"proc . 28th allerton conf . on communication , control , and & hellip ; ,",,"ekp chong , pj ramadge"
28,,,s bordo
29,,,m klein
30,"lancet i ,",,c fonatsch
31,"computerworld ,",,f hayes
32,"proceedings of the ieee ,",1997.0,"j franca , a petraglia , sk mitra"
33,"electronic markets ,",2001.0,h riquelme
34,"information and software technology ,",1992.0,"a stafylopatis , i papakonstantinou , s kaxiras"
35,"journal of emergency medicine ,",2000.0,"wj brady , tc chan , m pollack"
36,"technical university of berlin ,",,aj smola
37,"& hellip ; for comparison of supplemental technology demonstration & hellip ; ,",,"p consultants , b pc"
38,"conference on management of data , seattle , wa , june ,",,"m franklin , s zdonik"
39,"md ,",,sl murphy
40,"md ,",,kk wu
41,,1993.0,ma tanner
42,"proceedings of the 23rd annual meeting of the american wood - & hellip ; ,",,s chidester
43,,2000.0,jg wohlbier
44,"proceedings of sigmodâ ?? 86 . washington . may ,",,lf mackert
45,,,ssy patel
46,"electronic markets ,",2000.0,p schubert
47,proc . of the 27-28th symp . of funct . anal . and real anal . (,,t kobayashi
48,"proceedings of the institution of mechanical engineers d , & hellip ; ,",2003.0,j yu
49,"mit laboratory for computer science ( october 1986 ) , unpublished",,rw baldwin
50,"cochrane database syst rev ,",2000.0,"pg davis , dj henderson-smart"
51,"new directions for teaching and learning ,",1994.0,"mc terrell , rk hassell"
52,"technical report , statistics department , stanford university ,",,"d donoho , m elad"
53,proc .,,"m christiansen , k jeffay , d ott , fd smith"
54,"discussiones mathematicae graph theory ,",2001.0,"s zhang , x li , h broersma"
55,"california at santa barbara ,",,t wilson
56,"new directions for teaching and learning ,",1990.0,wc booth
57,acm,,"jm carey , m livny"
58,"journal of personality and social psychology ,",1998.0,"e ashby plant , pg devine"
59,"computerworld. ,",1989.0,w brandel
60,,1993.0,"k pimentel , k teixeira"
61,"proceedings of the international conference on very large & hellip ; ,",2004.0,t topaloglou
62,"lancet , i ,",1984.0,"ah crisp , m queenan , mf d'souzaâ ? ¦"
63,,,s fundamentals
64,"san diego ,",,jj walsh
65,"unpublished manuscript ,",1994.0,pl speckman
66,,1964.0,ca federer
67,,,a arnt
68,"d. gresh , e. kelton , proceedings , ieee visualization ,",,"dl gresh , ei kelton"
69,"phil . mag ,",,mh lewis
70,proc . int . conf . automation,,"lr lin , hp huang"
71,"proc . spie ,",1996.0,"jr macri , dv boykin , k larson , m mayer , ml"
72,"the academy of management review ,",1999.0,"tm jones , ac wicks"
73,,2000.0,m mortimer
74,"learning in groups , new directions for teaching and",,"c bouton , ry garth"
75,,1995.0,"sj gortler , mf cohen"
76,"md ,",,"a knutilla , c schlenoff , s ray , st polyak , a tate ,"
77,,1991.0,"j quint , b fink , s rowser"
78,"proceedings of szgcse â ?? 97 ,",1997.0,"g holmes , tc smith"
79,"vldb ,",1975.0,"r healey , b heckman"
80,,,"jlr filho , pc treleaven , c alippi"
81,"rechner-u . sensorgestã 1/4 tzte chirurgie-procs , gi ,",,"h wã ¶ rn , j mã 1/4 hlingâ ? ¦"
82,"proceedings of the 23rd annual boston university conference & hellip ; ,",,"l dekydtspotter , ra sprouse , k swanson , r thyre"
83,,,j luterbacher
84,,,d chappell
