dblp_scholar_id,yr_published,journal_name,creator_list
12852,,,sa sheard
12853,,unpublished,g winskel
12854,,,portal.acm.org
12855,,"proc . 29th ann . allerton conf . comm. , control , and computing ,","s olariu , jl schwing , j zhang"
12856,,"procs . world lagom . conf . university of guelph , ontario , & hellip ; ,",p durant
12857,,proc . acm,om goldreich
12858,,"unpublished manuscript ,","g bilardi , e peserico"
12859,1999.0,,"c baru , a gupta , b ludaescher , r marciano , y"
12860,,"see bystydzienski ,",sj carroll
12861,,proceedings of acm/ieee,"j broch , d maltz , d johnson , y hu , j jetcheva"
12862,,"process european brewing convention , zurich , switzerland ,","cb pfeninger , f schur , aj wieg"
12863,,,"p bahl , r chandra , j dunagan"
12864,,"ibm research report rj6649 , ibm almaden research centre , & hellip ; ,","c mohan , d haderle , b lindsay , h pirahesh , p"
12865,,"& hellip ; for institutional research forum , seattle , washington ,","j cofer , p somers"
12866,2000.0,"cochrane database syst rev ,","f crawley , mm brown"
12867,1984.0,"proceedings of the 3rd acm sigact-sigmod symposium on & hellip ; ,",s salveter
12868,,"conversion to islam ,",r jones
12869,,"the lancet i ,",fc madden
12870,1997.0,"the academy of management review ,","bl kirkman , dl shapiro"
12871,1999.0,"proceedings of the international conference on very large & hellip ; ,","a konig , g weikum"
12872,,,"ai baars , sd swierstra"
12873,1988.0,,j bentley
12874,,"economic geography ,",e sheppard
12875,,"inproceedings of the acm sigmod international conference on & hellip ; ,",b vanceandd
12876,,acc . chem .,"i metal , m amides , t parameters , g quantities"
12877,1997.0,"systems science-wroclaw - ,","j korbicz , j kus"
12878,,at .,"ls kremenehugskii , r ya"
12879,1983.0,"new directions for higher education ,",rg gillespie
12880,2000.0,"information & software technology ,","m perez , t rojas"
12881,,vol .,rs krishnan
12882,1999.0,"transplantation proceedings ,","f muhlbacher , f langer , c mittermayerâ ? ¦"
12883,2001.0,"journal of emergency medicine ,","da jerrard , jr hanna , gl schindelheim"
12884,2004.0,"cochrane database syst rev ,","m bennett , r heard"
12885,1987.0,"new directions for program evaluation ,",eg guba
12886,,,"da belsley , e kuh , re welsch"
12887,,"proceedings of eurospeech ,",m kipp
12888,,"proceedings of lrec2000 , athens , greece ,","j beeken , e dewallef , ed ` halleweyn"
12889,,,"p poncelet , m teisseire , r cicchetti , l lakhal"
12890,1997.0,"sigmod record ,","p atzeni , g mecca , p merialdo"
12891,1983.0,"acm sigir forum ,","vv raghavan , h shi , ct yu"
12892,1990.0,"journal of emergency medicine ,",da jerrard
12893,,computer,"hc ratz , ja field"
12894,2002.0,"vldb ,","n karayannidis , a tsois , tk sellis , r pieringer , v"
12895,,"proc . 5th int . conf . very large data bases ( rio de janeiro , & hellip ; ,","b housel , sb yao , v waddle"
12896,2000.0,"acm sigmod record ,","f casati , u dayal , mc shan"
12897,1996.0,"proceedings of the international conference on very large & hellip ; ,",s atal
12898,2005.0,"proceedings of the 5th acm international conference on & hellip ; ,","j sztipanovits , j glossner , t mudge , c rowen , a"
12899,1985.0,"new directions for teaching and learning ,",jdw andrews
12900,,submitted for,"m harnau , a konyukhov , k schweizerhof"
12901,,"microsoft , september ,",c rees
12902,2004.0,"computer networks ,","vr syrotiuk , m cui , s ramkumar , cj colbourn"
12903,1998.0,"mobilization-san diego - ,","da snow , dm cress , l downey , aw jones"
12904,,"computerworld ,",pa strassmann
12905,,"proceedings of the international conference on very large & hellip ; ,","x yang , c li"
12906,1979.0,,"mp seach , wa dench"
12907,1995.0,"proc . spie ,","rh czichy , z sodnik , b furch"
12908,,"proc . int . ornithol . congr ,",jc senar
12909,,,"w wuich , ll solderen"
12910,,,"a fuster , jm guillen"
12911,2002.0,"annals-new york academy of sciences ,","i pucci-minafra , s fontana , p cancemi , g alaimo , s"
12912,,"phil . mag ,",mh lewis
12913,,,"b kunimoto , m cooling , w gulliver , p houghton , h"
12914,2002.0,"proc . spie ,","jg yorker , ls jeromin , dl lee , ef palecki , kp"
12915,,,"rd richtmyer , kw morton"
12916,1982.0,,me mccourt
12917,1998.0,"the academy of management journal ,","lv dyne , ja lepine"
12918,2003.0,"cochrane database syst rev ,","p olliaro , p mussano"
12919,2003.0,,vd lledã ³
12920,,proc . acm,dc chaum
12921,,"information and software technology ,",sc choiandw
12922,,"algebra i logika ,",vd mazurov
12923,2003.0,,jh nielsen
12924,,,"l torvalds , d diamond"
12925,1974.0,"new directions for higher education ,",sv martorana
12926,2000.0,"vldb ,","l wu , c faloutsos , kp sycara , tr payne"
12927,1986.0,,db johnstone
12928,,,æ ³ ? æ ° ¸ è ??
12929,1997.0,,j camenisch
12930,1999.0,"proceedings of the 25th international conference on very & hellip ; ,","mj carey , dd chamberlin , s narayanan , b vance , d"
12931,,"mit/lcs/tr -212 , mit laboratory for computer science , cambridge ,","m rabin , d signatures"
12932,,"new directions for program evaluation ,",mf mangano
12933,,"& hellip ; 27th international conference on very large data bases , & hellip ; ,","cyc natseva , lcs smithj"
12934,1994.0,"new directions for teaching and learning ,","m field , r lee , ml field"
12935,2000.0,"social studies and the young learner ,","j alleman , j brophy"
12936,,"proc . intâ ?? l test conl ,",r krausâ ? ¦
12937,1927.0,,wr dean
12938,,"pc magazine ,",s rupley
12939,1992.0,,tr gruber
12940,,"phil . mag ,",d nakada
12941,1998.0,"mayo clinic proceedings ,","efm wijdicks , gm miller"
12942,1985.0,,kg shaver
12943,,,"d riehle , s fraleigh , d bucka-lassen , n omorogbe"
12944,,,"jr sauer , je hines , j fallon"
12945,2002.0,"cochrane database syst rev ,","k laake , ar oeksengaard"
12946,,"zero to three ,",si greenspan
12947,,"proceedings of the international continence society , 25 & hellip ; ,","njm rijkhoff , l hendrikx , fmj debrunye , h wijkstra"
12948,1997.0,"bt technology journal ,",ad ellis
12949,1991.0,"the academy of management journal ,","al kalleberg , kt leicht"
12950,1985.0,,"d skidmore , kk chew"
12951,1983.0,,tm amabile
12952,2004.0,"acc . chem . res ,","m oh , gb carpenter , da sweigart"
12953,,"sess . at ,",s rep
12954,1983.0,,"mr garovoy , ma rheinschmidt , m bigosâ ? ¦"
12955,,"proc . acm/ieee mobicomâ ?? 95 ,","n shivakumar , j widom"
12956,2000.0,"genes to cells ,","m oda , h nakamura"
12957,1992.0,,sg gowen
12958,,proceedings of acm,"y wang , cl mackenzie , va summers"
12959,2002.0,"sigmod record ,",f neven
12960,2002.0,"new directions for higher education ,",dl sigsbee
12961,,"& hellip ; single parent employment demonstration program : kearns ,","m lloyd , usped kearns"
12962,,"pc magazine ,",c venezia
