publication_id,journal_name,paper_authors,work_title
25704,"political geography ,",la staeheli,empowering political struggle : spaces and scales of resistance
25705,"proc ,","s mrowec , k przybylski",high temp . mater
25706,"phil . mag ,","c colliex , b jouffrey",diffusion inelastique des electrons dans une solide par excitation de niveaus atomiques profonds
25707,"cochrane database syst rev ,","jf king , vj flenady , dn papatsonis , ga dekker , b",calcium channel blockers for inhibiting preterm labour
25708,,ek waller,a comparison of landsat multispectral scanner imagery and aerial photography for identifying land
25709,,"ks kumar , ub desai",integrated stereo vision-a multiresolution apporach
25710,"european conference on machine learning ( ecml 2001 ) ,",b chidlovskii,"wrapping web information providers by transducer induction . in de raedt , l. , and flach , p. , eds"
25711,"proc . 28th symp . on foundations of computer science ,",h gazit,a parallel algorithm for finding a separator in planar graphs
25712,"san diego ,","pj manning , ce newcomer , h rongler","the biology of the laboratory rabbitâ '' , 2 ndedition academic press"
25713,,"g simon , a fitzgibbon , a zisserman",markerless tracking using planar structures in the scene
25714,proc . 29th ieee conf : decision and,"jd papastavrou , m athans",distributed detection by a large number of sensors in tandem
25715,,f lau,fostering an internet-based learning network for community health through action research
25716,"phil . mag ,",wm lomer,a dislocation reaction in the face-centred cubic lattice
25717,,"a blum , c dwork , f mcsherry , k nissim",practical privacy : the sulq framework
25718,,"m derber , e young",labor and the new deal
25719,,"j berger , s hautaniemi , s mitra , j astola",within-slide normalization using localized print-tip characteristics for cdna microarray data
25720,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,","s juutinen , r julin , p ahonen , c fahlander , j",shapes of cd-110 at high spins ( abstract only )
25721,"new directions for higher education ,",gh gaither,what the future holds
25722,"vldb journal , v ( 14 ) ,","b benatallah , mha leger , c rey , f toumani",on automating web service description
25723,,"j danko , v gulewicz",operational planning for electronic toll collection : a unique approach to computer modeling analysis
25724,"technical report , massachusetts institute of technology ,",j mark,jakiela . intelligent suggestive cad systems : research overview
25725,"submitted for publication ,","w maass , ra legenstein , n bertschinger",methods for estimating the computational power and generalization capability of neural microcircuits
25726,,d boling,programming microsoft windows ce
25727,,"it bowman , mw godfrey , rc holt",connecting architecture reconstruction frameworks
25728,"demonstration at the 1 stworkshop on new interfaces for & hellip ; ,",e ask,speaking orbs-interactive multi-participant sound sculpture
25729,,seh rogers,suicide and the near-death experience
25730,"social studies and the young learner ,",s crenshaw,teaching history across the elementary curriculum .
25731,"procs . expert systems ,","b lees , n rees , j aiken",knowledge based oceanographic data analysis
25732,submitted for,j marcos,8k solutions and semi-solutions to a problem of da costa
25733,"electronic communication ,","d boichard , s fritz , mn rossignol , my boscher , a",implementation of marker-assisted selection in french dairy cattle
25734,,"j luo , jr zeidler",a statistical simulation model for correlated nakagami fading channels
25735,"proceedings of the 1986 acm sigmod international conference & hellip ; ,",j bocca,on the evaluation strategy of educe
25736,,"s van vuuren , h hermansky",data-driven design of rasta-like filters
25737,"proceedings of the 2002 acm sigmod intl. conf . on management & hellip ; ,","j freire , jr haritsa , m ramanath , p roy",j er ome sim eon.â ?? statix : making xml countâ ??
25738,"journal of emergency nursing ,",l warner,"latex allergy : policy , procedure , and latex-safe box"
25739,,", f ho",the multimedia object presentation manager of minos : a symmetric approach
25740,"proceedings acm sigmod international conference on & hellip ; ,","lm haas , a tiwary",sigmod 1998
25741,"proceedings of vldb , new york ,","e knorr , r ng",algorithms for mining distance based outliers in large databases
25742,,mj egenhofer,toward the semantic geospatial web
25743,"journal of personality and social psychology ,","a stericker , s levesconte",effect of brief training on sex-related differences in visual-spatial skill
25744,,"u kastens , dk le , a slowik , m thies",feedback driven instruction-set extension
25745,"proceedings of the 23rd international congress of applied & hellip ; ,","n sahin , e duzen",turkish standardisation of ravenâ ?? s spm
25746,"proceedings of the 25 th annual conference of the finnish & hellip ; ,","op sairanen , s aksela","the n ( 4 , 5 ) n ( 6 , 7 ) n ( 6 , 7 ) and n ( 4 , 5 ) o ( 2 , 3 ) n ( 6 , 7 ) resonance auger effects in the"
25747,to,"s gutner , m tarsi",some results on ( a : b ) - choosability
25748,"proc . 26th int . conf . on coast . engrg. , copenhagen ,","ar van dongeren , ia svendsen , u putrevu",quasi 3-d effects in leaky infragravity waves
25749,"ieee expert : intelligent systems and their applications ,",f highland,guest editor 's introduction
25750,proc . acm sigmod,mk blakeley,"graefe 1993 : ja blakeley , wj mckenna , and g. graefe , experiences building the open oodb query"
25751,,"j patterson , j thorstensen , j kemp , l jensen , t",pasp
25752,"md ,",sc gooding,"md 1997 paul a. vieta , sr"
25753,"proceedings-ieee ,","vok li , x qiu",personal communication systems ( pcs )
25754,"bundesgesetzblatt i , s ,",d bundestag,gesetz zum schutz vor schã $ dlichen bodenverã $ nderungen und zur sanierung von altlasten ( bundes -
25755,"acm transactions on embedded computing systems ,","t he , bm blum , ja stankovic , t abdelzaher",aida : adaptive application-independent data aggregation in wireless sensor networks
25756,"approaches to grammaticalization ,",l campbell,some grammaticalization changes in estonian and their implications
25757,"approaches to emotion ,",kr scherer,on the nature and function of emotion : a component process approach
25758,"isbn ,",j del toro iniesta,introduction to spectropolarimetry no
25759,"journal of personality and social psychology ,",s milgram,liberating effects of group pressure .
25760,"new directions for teaching and learning ,",ne stetson,implementing and maintaining a classroom research program for faculty .
25761,"acm sigmod record ,","pmg apers , h balsters , hm blanken , ra de by , maw",database research at the university of twente
25762,"new directions for teaching and learning ,",dc martin,multiple services on request : the university of missouri-kansas city 's metropolitan area schools
25763,,gp rawick,"the new deal and youth : the civilian conservation corps , the national youth administration , and the"
25764,"lancet i ,","w storm van leeuwen , w einthoven , w kremer",the allergen proof chamber in the treatment of bronchial asthma and other respiratory diseases
25765,"in proc . siggraph , acm press ,",c bamjiâ ? ¦,everyday devices that see : electronic-perception technology
25766,,"ga swan , wt norman",research to improve subyearling chinook fish guiding efficiency at mcnary dam-1986 . nmfs/noaa
25767,proc . of 1996 acm-sigmod int . conf . on management of,"t zhang , r ramakrishnan , m linvy",birch : an efficient data clustering method for large databases
25768,"proc . llth international conf . on vldb ,","h chou , d dewitt",an evaluation of buffer replacement strategies for relational database systems
25769,"acc . chem . res ,","mt rodgers , pb armentrout",a thermodynamic '' vocabulary '' for metal ion interactions in biological systems .
25770,"ph. d. thesis , mit laboratory for computer science ,",a mok,fundamentaldesignproblems ofdistributed systems forthe hardreal-time environment
25771,,t maguire,catalog management in websphere commerce suite
25772,"seattle : university of washington ,",no ` brien,relationships in everquest : an ethnographic report ( undergraduate term paper for communication 480 )
25773,,"gj klinker , sa shafer , t kanade",using a color reflection model to separate highlights from object color
25774,"technical report , computer systems laboratory , stanford","dc luckham , y huh , s ghosh , a stanculescu",analysis of the vhsic hardware description language
25775,,"et ong , kh lee , km lim",three-dimensional boundary singular elements for electrostatic analysis
25776,"microsoft technical report ,","a miu , p bahl",dynamic host configuration for managing mobility between private and public networks
25777,"ieee , proceedings ,","aa sawchuk , tc strand",digital optical computing
25778,"social studies and the young learner ,","ja braun , w benensonâ ? ¦",holiday videos . media corner .
25779,"& hellip ; proceedings d [ see also iee proceedings-control theory and & hellip ; ,","bs chen , wj wang",multipurpose controller synthesis in lqg optimal systems
25780,proc . 1991 acm,"u guntzer , w kiesling , h thone",1991 new directions for uncertainty reasoning in deductive databases
25781,"sigmod conference ,",ww cohen,integration of heterogeneous databases without common domains using queries based on textual
25782,,me calderã ³ n,multi-district trainer of trainers institute : a trainer of trainers model focused on the acquisition
25783,"technical report , computer science department , stanford",mr genesereth,"ref editors . knowledge interchange format , version 3.0 reference manual"
25784,"journal of personality and social psychology ,","gf loewenstein , l thompson , mh bazerman",social utility and decision making in interpersonal contexts
25785,"software quality management-international conference - ,","h li , m ross , g king , g staples",reducing risk through process improvement in rapidly changing business and e-commerce environments
25786,,jun kikuchi,performance improvement of half controlled three phase pwm boost rectifier
25787,"proc . 28th symp . pept . chem. , osaka ,","t mochizuki , j ishikawa , n takatsuka , m hoshino , n",structure-function relationship of galanin
25788,"machine learning ,",a srinivasan,context-sensitive models in inductive logic programming
25789,"submitted for publication ,","d scheeff , c brodley , e moss , j cavazos , d",applying reinforcement learning to instruction scheduling within basic blocks
25790,at .,"aa druzhinin , vn polynov , am korochkinâ ? ¦",half-lives for spontaneous fission of 23spu and 2zpu
25791,,f guillemin,atm transfer capabilities : a critical review
25792,"annual conference of the association of american geographers & hellip ; ,","b jessop , j peck",fast policy/local discipline : the politics of scale and the neoliberal workfare offensive
25793,"unpublished manuscript ,","c swift , ma bond , i serrano-garcä ± ã ¡",women in community psychology : empowerment in process
25794,,p hambright,the porphyrin handbook
25795,at .,"gp novoselov , at ageenkov",thermal method of removing steel shells from oxide fuel elements
25796,"see ref ,",ga jacoby,properties of r plasmids in pseudomonas aeruginosa
25797,,c batutâ ? ¦,user 's guide to pari-gp
25798,"computer networks ,","h hermanns , u herzog , v mertsiotakis",stochastic process algebras - between lotos and markov chains
25799,proc . 1976 international conference on management of,pt dale,"ag , and dale , nb , '' schema and occurrence structure transformation in hierarchical systems , ''"
25800,"computerworld ,",j vijayan,"in depth : look out , here comes india"
25801,"technical report , ibm almaden research center ,","s vaithyanathan , d gondek",clustering with informative priors
25802,"computerworld ,",gh anthes,a step beyond a database
25803,"journal of personality and social psychology ,",pa frazier,perceived control and distress following sexual assault : a longitudinal test of a new model
25804,"pdf > ,",p berman,"national health insurance in poland : a coach without horses ? ( visited jan. 20 , 2000 ) < http://www ."
25805,,h wakita,estimation of the vocal tract shape by optimal inverse filtering and acoustic/articulatory
25806,"the histochemical journal ,","a meijer , h hettwer , ag ciplea",an enzyme histochemical study of isoproterenol-induced myocardial necroses in rats
25807,"proc . of acm sigcomm ,","i stoica , r morris , d karger , mf kaashoek , h",chord : a scalable p2p lookup service for internet applications
25808,"history of programming languages -- ii table of contents ,",bh bruemmer,archives specializing in the history of computing
25809,"journal of machine learning research ,",rp manifolds,article details
25810,"proceedings of the 2nd acm international conference on & hellip ; ,","p ganesan , r venugopalan , p peddabachagari , a dean",analyzing and modeling encryption overhead for sensor network nodes
25811,"msc thesis , department of computer science , university of",e yung,eden : an engine for definitive notations
25812,"vldb ,","hm quintella , fr leao",a methodologic guide-line for the instalation of data base development tools and data administration
25813,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,","a heilmann , v lantto",semiconducting organic thin films as monitoring devices for no 2 air pollution ( abstract only )
25814,"proceedings of the 22nd international conference on very & hellip ; ,","a sameet , a rakesh , md prasadâ ? ¦",on the computation of multidimensional aggregates
25815,"electronic government ,",s peterson,digital legislature
25816,"area ,","g ioffe , t nefedova",land use changes in the environs of moscow
25817,"geography ,",hd watts,understan ding plant closures : the uk brewing industry
25818,"acc . chem . res ,","m ã?valos , r babiano , p cintas , jl jimã © nez , jc",exploiting synthetic chemistry with mesoionic rings : improvements achieved with thioisomã 1/4 nchnones
25819,,"ad esteban , mjm lopez , m de buenaga rodriguez , jmg",using linear classifiers in the integration of user modeling and text content analysis in the
25820,proc .,"s chaudhuri , g das , v narasayya","a robust , optimization-based approach for approximate answering of aggregation queries"
25821,"unpublished manuscript ,",hg frederickson,the architecture of democratic government : the discovery of the adapted city
25822,"& hellip ; of seventh international world wide web conference ,","p brusilovsky , j eklund , e schwarz",web-based education for all : a tool for developing adaptive courseware . computer networks and isdn
25823,"the histochemical journal ,","em cramer , z werb , df bainton",pitfalls in ecto-5â ? ² - nucleotidase enzyme cytochemistry as demonstrated by the immunogold-labelling
25824,"sigmod conference ,","y tao , d papadias",time-parameterized queries in spatio-temporal databases
25825,proceedings of,d dewitt21 dewittâ ? ¦,multiprocessor hash-based join algorithms
25826,university of massachusetts at amherst technical,e michener,constrained example generation
25827,"technical report , stanford university , july","j torrellas , a tucker , a oupta",evaluating the benefits of cache-affinity scheduling in shared-memory multiprsors
25828,,"z grobenski , w erler , u voellkopf",determination of mercury with zeeman graphite furnace aas
25829,"& hellip ; d ( tech . comp . ) , proceedings 19th international meeting for & hellip ; ,",ne grulke,"an analysis of short - , medium-and long-term effects of ozone exposure on stomatal conductance of"
25830,"tata energy research institute , bombay , india ,",ks salariya,energy conservation in domestic consumptionâ ??
25831,"proceedings of 7 es journã © es internationales dâ ?? analyse & hellip ; ,","h doan-nguyen , l kosseim",amã © lioration de la prã © cision dans un systã ¨ me de question-rã © ponse de domaine fermã © . to appear
25832,"new directions for higher education ,","rc fox , ls harvey",metropolitan state university .
25833,"proceedings of the 2000 ieee/acm international conference on & hellip ; ,","tf chan , j cong , t kong , jr shinnerl",multilevel optimization for large-scale circuit placement
25834,"acm sigmod record ,","jd clark , fg davis",notes on the state of data base audit
25835,"acm siggraph computer graphics ,",jj van wijk,spot noise texture synthesis for data visualization
25836,,jh perry,chemical engineersâ ?? s handbook .
25837,zurich,sr manual,ise integrated systems engineering ag
25838,,s zacks,"bayesian design of single , double , and sequential stratified sampling for estimating proportion in"
25839,"acc . chem . res ,","mt crimmins , pj mcdougall , ka emmitte",a convergent coupling strategy for the formation of polycyclic ethers : stereoselective synthesis of
25840,"proceedings of the international conference on very large & hellip ; ,","e schaefer , jd becker",db-prism : integrated data warehouses and knowledge networks for bank controlling
25841,,"c costa , p antunes , j dias",supporting the meeting report process .
25842,,j bosch,superimposition : a component adaptation technique
25843,"the histochemical journal ,","cjp jones , ca morrison , rw stoddart",histochemical analysis of rat testicular glycoconjugates . 1 . subsets of n-linked saccharides in
