object_id,author_team,publication_year,event_name
38556,"s chatterji , ssk evani , s ganguly , md yemmanuru",2002.0,"proceedings of the twenty-first acm sigmod-sigact-sigart & hellip ; ,"
38557,"ac scott , fyf chu , dw mclaughlin",1973.0,"ieee , proceedings ,"
38558,"ej kibblewhite , f shi",1998.0,"proc spie ,"
38559,"rc blattberg , ap jeuland",1981.0,"management science ,"
38560,"m schwabacher , p langley",,
38561,"s al-khalifa , c yu , hv jagadish",,
38562,ka ross,2002.0,sigmod
38563,"ea ozkarahan , k oflazer",1978.0,"vldb ,"
38564,"gc branco , l lavoura , jp silva , cp violation",,
38565,"s boll , r jain , ts chua , r lienhart , l wilcox , m",2004.0,"proceedings of the 12th annual acm international conference & hellip ; ,"
38566,r bage,,"electronic engineering ,"
38567,"s morse , d isaac",,"upper saddle river , nj : prentice"
38568,b abegg,,"zurich , switzerland ,"
38569,p fletcher,,"electronic design ,"
38570,tr gruber,,"technical report ksl 92-71 ) . stanford university ,"
38571,ca wagenvoort,1985.0,
38572,w mitter,,"san diego ,"
38573,"f pottier , n gauthier",,
38574,"d dewm , r gerber , g graefe , k kumar , m heytens , m",,"proc twelfth vldb , japan ,"
38575,"im walter , pc lockemann , hh nagel",1987.0,"vldb ,"
38576,"g vossen , m weske",,
38577,d forster,,"coins technical report 89-01 , university of massachusetts ,"
38578,"ks graham , jr hodges",1997.0,"neuropsychology-new york - ,"
38579,"ja orenstein , s haradhvala , b margulies , d",,
38580,h custer,1993.0,
38581,w natanson,,"phil . mag ,"
38582,"b berednt , m spiliopoulou",,the vldb journal
38583,"f chow , j hennessy",,
38584,er guthrie,1959.0,
38585,"mp papazoglou , m mcloughlin , e lindsay , s willie",1992.0,"acm sigmod record ,"
38586,"m kobayashi , m shinozaki , m touma , s daijavad",,
38587,"s leibson , j kim",,
38588,"f dellaert , a waibel",,
38589,a svensson,,
38590,"e voorhees , d harman",,"md ,"
38591,"h zhang , wb croft , b levine",,
38592,s jayasena,,proceedings of the vldb workshop on technologies for e -
38593,"xs wang , c bettini , a brodsky , s jajodia",1997.0,"acm transactions on database systems ,"
38594,jm hooke,,"geography ,"
38595,kj hunt,,"ieee proceedings-d ,"
38596,"w chan , w jiao , r wagner , i gupta , m inc",,
38597,l kelvin,,"phil . mag ,"
38598,of porter,1991.0,"new directions for higher education ,"
38599,"u brenner , a pauli , j vygen",,
38600,"pa bernstein , j madhavan , e rahm",2001.0,"the vldb journal ,"
38601,hw buff,1992.0,"acm sigmod record ,"
38602,"dv kisel , gs korablev , vg pavelev , mi petelin , se",1974.0,"radiotekhnika i elektronika ,"
38603,"p klinger , b spellenberg , jm hermann",,
38604,"js turner , jw lockwood , el horta",,"computer networks ,"
