pub_id,researchers,conf_journal,doc_year
51408,"b caterson , je christner , jr baker , jr couchman","fed proc ,",1985.0
51409,g clark,"md ,",
51410,"z zhang , rs blum","proceedings-ieee ,",1999.0
51411,db porter,"new directions for higher education ,",1994.0
51412,rk ream,,2001.0
51413,a kantor,"pc magazine ,",
51414,"s chen , kb bacon , g garcia , r liao , zk pan , sk","transplantation proceedings ,",2001.0
51415,a wada,"genes to cells ,",1998.0
51416,j dozier,"proc . acm sigmod int . conf . management of data , san diego ,",
51417,"j hammer , h garcia-molina , s nestorov , r yerneni ,","proc . of acm sigmod conf . on management of data , tucson , & hellip ; ,",
51418,"ku vollack , e hã $ rtig , h kã ¶ rner , wg zumft",submitted for,
51419,"s acharya , r alonso , m franklin , s zdonik","md ,",
51420,"e hughes , j collins , p vandekerckhove","cochrane database syst rev ,",2000.0
51421,"ya kashchuk , vv frunze",at .,
51422,n leavitt,,
51423,dj korteweg,"phil . mag ,",
51424,pa basore,"proceedings of the 23rd photovoltaic specialists conference , & hellip ; ,",
51425,b english,,2004.0
51426,"r litjens , rj boucherie",,
51427,k bakker,"political geography ,",1999.0
51428,m mendel-reyes,"new directions for teaching and learning ,",1998.0
51429,d gawlick,"proceedings compcon ,",
51430,j roettger,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
51431,j widom,"internal technical report , ibm almaden research center , san jose",
51432,s blackmore,"d. bierman ( ed . ) , proceedings of the 37 thannual convention & hellip ; ,",
51433,"gm landau , jp schmidt , vj tsotras","the vldb journal the international journal on very large & hellip ; ,",1995.0
51434,a sievers,"see ref ,",
51435,"t arai , s greenberg","proceedings of eurospeech ,",1997.0
51436,h pouwels,"& hellip ; , 25 th , anaheim , calif , proceedings . part 2 , research & hellip ; ,",1979.0
51437,aa hood,"acu-i bulletin ,",1984.0
51438,"a vuorimaki , m punkkinen","oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
51439,"g kasper , n dickgiesser","lancet , i ,",1985.0
51440,de frantz,"acc . chem . res ,",
51441,"r tsaur , mb smyth",submitted for,
51442,ej skudrzyk,,1971.0
51443,s kaneâ ? ¦,,
51444,"hj lai , r xu , cq zhang",,
51445,r salomaa,"oulu univ , proceedings of the 25 th annual conference of the & hellip ; ,",1991.0
51446,"sj yang , j nieh","pc magazine ,",
51447,jf macfaddin,"md ,",
51448,r fagin,"sigmod record ,",2002.0
51449,"s park , mh song",,
51450,"n street , y kim",proc . 7th acm,
51451,j king,"computerworld ,",
51452,"b klein , a abecker",submitted for,
51453,"l gravano , cck chang , a paepcke","sigmod rec ,",1997.0
51454,p pierini,"di gregorio and g. spezzano ( eds . ) , procs . of",
51455,p schofield,"tourism management ,",1996.0
51456,tit kameda,"acm trans . on database systems ,",
51457,"lw beineke , sm hegde","discussiones mathematicae graph theory ,",2001.0
51458,ca grove,,
51459,"s chaudhuri , v narasayya , r ramamurthy",,2004.0
51460,"ga wiggins , k lemstrom , d meredith",,
51461,"j diederich , j milton","acm transactions on database systems ,",1988.0
51462,"d couger , l higgins , s mcintyre","proceedings of the 23rd hawaii international conference on & hellip ; ,",
51463,"a levy , a rajaraman , j ordille","proc . vldb conference ,",1996.0
51464,"l xibin , h haiyan , g jun , l xuedong","& hellip ; of the 3rd international conference on management ( icmâ ?? 98 & hellip ; ,",
51465,m mihailovic,,1984.0
51466,a goudie,"geography ,",1991.0
51467,"na streitz , j geiã?ler , tks holmer , c mã 1/4 ller -",,1999.0
51468,al buchsbaum,,
51469,dl payne,"proceedings of the 23rd annual meeting of the berkeley & hellip ; ,",
51470,ad paliourasâ ? ¦,,1989.0
51471,"r agrawal , g psaila , el wimmers","proc . of the 21st int &#39; l conference on very large databases , & hellip ; ,",
51472,"a shah , s thomas",,
51473,"t yamamoto , e å?ukaszewicz , y noma , y tabei , m",,2004.0
51474,cs kaminski,,
51475,a laplante,"computerworld ,",
51476,ww nuhn,,1987.0
51477,"g evangelista , s cavaliere",,
51478,o kaven,"pc magazine , november ,",2001.0
51479,"mh kim , s pramanik",proc . of sigmod conference on management of,
51480,"m allen , d blackwell","social studies and the young learner ,",1993.0
51481,"m rys , d chamberlin , d florescu","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0
51482,"ec phillips , c morell , jl chronister","new directions for higher education ,",1996.0
51483,"t dahlin , b zhou",,
51484,"yp elagin , as ii ` yashenko , va lyul ` kaâ ? ¦",at .,
51485,"kp eswaran , dd chamberlin","vldb ,",1975.0
51486,"r agrawal , d gunopulos , f leymann","lecture notes in computer science ,",1998.0
51487,t ag,,
51488,ep skinner,"see harris ,",
51489,ma cambridge,,
51490,l gravanoandh,"proceedings of the 21st international conference on very & hellip ; ,",
51491,"db lomet , b salzberg",acm trans . on database systems,
51492,"th chao , yc hsu andj","proc . acm/ieee design automation conf ,",
51493,n ashish,"workshop on management of semi-structured data , tucson , & hellip ; ,",
51494,hua chu,proceedings of acm sigmetricsâ ??,
51495,b swartout,"proceedings of the 20th ieee/acm international conference on & hellip ; ,",2005.0
51496,"l zhou , j feng , a sears , y shi",,
51497,c frye,"application development trends ,",1999.0
51498,j farrell,"unpublished manuscript ,",
51499,"t hoshino , rs berns","proc . spie ,",1993.0
51500,"n goodman , pa bernstein , e wong , cl reeve , jb","acm _ tods ,",
51501,"le shar , es davidson","ieee computer ,",
51502,j clifford,"acm-sigmod international conference on management of data ,",
51503,da spencer,,1993.0
51504,el angus,"new directions for higher education ,",1974.0
51505,"ca macnee , w behrendt , jr kalmus , kg jeffery , md",,
51506,"k hiroi , a nomura , a yoneya , y togari","proc . 29th sice annual conference ,",
51507,"bj bushman , rf baumeister","journal of personality and social psychology ,",1998.0
51508,as craig,"new directions in higher education ,",1975.0
51509,re tenchâ ? ¦,"submitted to ofc ,",
51510,"pc lockemann , hc mayr , wh weil , wh wohlleber","acm transactions on database systems ,",1979.0
51511,"m templeton , h henley , e maros , dj van buer","the vldb journal the international journal on very large & hellip ; ,",1995.0
51512,js nã ¸ rgã ¥ rd,,1989.0
51513,"bf caviness , mj prelle","acm sigsam bulletin ,",1978.0
51514,g gardarin,proceedings of the 22 thconference on very large data bases,
51515,rc shirley,"new directions for higher education ,",1988.0
51516,"ww lee , er jensen","journal of emergency medicine ,",2000.0
51517,r studer,"vldb ,",1980.0
51518,"d zimmerman , s karon , j swearengen","draft : cms nhcmq demonstration final report ,",
51519,"t menzies , s easterbrook , b nuseibeh , s waugh",,
51520,"cl dennis , d creedy","cochrane database syst rev ,",2004.0
51521,rs berndt,"see rapp ,",
51522,b tuch,"at and t technical journal ,",1993.0
51523,t ichimura,"proc . int . seaweed symp ,",
51524,"jf porac , h thomas","the academy of management review ,",1990.0
51525,"dt naylor , bd smith","social studies and the young learner ,",1993.0
51526,dg winter,"journal of personality and social psychology ,",
51527,"r agrawal , k shim","ibm almaden research center : san jose ,",
51528,"d papadias , y theodoridis , t sellis , m egenhofer",proceedings of acm sigmod international conference on,
51529,m uygun,,2000.0
51530,"m nishina , c fujii , r ogino , r kobayashi , a kohama","journal of emergency medicine ,",2001.0
51531,"jb asendorpf , f ostendorf","journal of personality and social psychology ,",1998.0
51532,"m isaksson , m bruze",,2000.0
51533,"p kuhn , f lozano","unpublished paper , university of california , santa barbara ,",
51534,h lucas,proc . 1971 acm ann .,
51535,i ekme,"ieee computer ,",
51536,ks wilson,,
51537,"p bosc , a motro , g pasi","sigmod record ,",2001.0
51538,"h okada , f strutz , tm danoff , r kalluri , eg","contributions to nephrology ,",1996.0
51539,sr kv,"see ref ,",
51540,mg kanatzidis,"acc . chem . res ,",2005.0
51541,"a lethaby , b vollenhoven , m sowterâ ? ¦",,2000.0
51542,"an netravali , jo limb","proc . ieee ,",
51543,"hs bloom , c michalopoulos , j carolyn",working paper . manpower demonstration research,
51544,r phillips,"area ,",2001.0
51545,b schmitz,"new directions for teaching and learning ,",1992.0
51546,"prt by bruce , j bartlett",,
51547,r huber,,1988.0
51548,s christodoulakis,"proceedings , acm-sigmod",
51549,v devedzic,"communications-acm ,",2002.0
51550,"ar foxwell , aw cripps","cochrane database syst rev ,",2000.0
51551,j canny,"proc . 28th syrup . foundations of computer science ,",
51552,s chaudhuri,"vldb ,",1994.0
51553,"m garofalakis , j gehrke , r rastogi",,
51554,"m goldberg , ds septier","the histochemical journal ,",1992.0
51555,"fg lemoine , sc kenyon , jk factor , rg trimmer , nk","md ,",
51556,"f nack , w putz",,
51557,"bp gupta , v rodrigues","genes to cells ,",1997.0
51558,"ap sheth , g karabatis",,
51559,sj trachtenberg,"new directions for higher education ,",1981.0
51560,"f bancihon , d maier , y sagiv , j ullman",proceedings of the 5th acm sigmodâ ?? sigact symposium on,
51561,"nm nasrabadi , y feng",,1988.0
51562,"f bellifemine , a poggi , g rimassa","proceedings of paam ,",1999.0
51563,"re fikes , m cutkosky , t gruber , j van balen",,1991.0
51564,"m takagi , m maeno , y takahashi , k otsuka","the histochemical journal ,",1992.0
51565,"m flickner , h sawhney , w niblack , j ashley , q","ieee computer ,",
51566,"m alberg , em henley , x ji , aw thomas",,
51567,j tl,proceedings of the 1994 acm sigmod international conference,
51568,re nance,"history of programming languages -- ii table of contents ,",1996.0
51569,"da tietze , r steinmetz","proceedings der fachtagung d-cscw ,",
51570,"g kebbede , mj jacob","geography ,",
51571,m vazirgiannis,,1999.0
51572,"vs subrahmanian , a brink , r emery , jj lu , a rajput","submitted for publication ,",1995.0
51573,"b adams , s venkatesh","proceedings of the 13th annual acm international conference & hellip ; ,",2005.0
51574,"a kumar , yw chung , jj moore , je smugeresky",,1999.0
51575,"ls shieh , hm dib , re yates",,
51576,g bree,"wisconsin studies in contemporary literature ,",1967.0
51577,"d knox , u wolz , d joyce , e koffman , j krone , a","acm sigcue outlook ,",1996.0
51578,r chimera,,
51579,"a chickering , zf gamson","new directions for teaching and learning , no ,",
51580,c derman,"new york ,",
51581,"r eisma , a dickinson , j goodman , o mival , a syme ,","proceedings of include ,",2003.0
51582,"skt sakaguchi , a uno",,
51583,"c wang , xs wang","the vldb journal the international journal on very large & hellip ; ,",2001.0
51584,"dj lips , of bueno , bj wilkins , nh purcell , ra",,
51585,"s ramaswarny , r rastogi",proc . of theacm sigmod 2000 int . conference on management of,
51586,w birrer,"laboratorium fur atmospharenphysik , eth zurich , switzerland ,",
51587,"d braraff , a witkin",proceedings of the 25 thannual conference on computer,
51588,c stedman,"computerworld ,",
51589,"m mccallum , t norman , w vasconcelos",,
51590,rj balcombe,"phil . mag ,",
51591,tb steel jr,"proceedings of the 1975 acm sigmod international conference & hellip ; ,",1975.0
51592,"s ronen , o shenkar","the academy of management review ,",1985.0
51593,"y tsuchiya , m morita , y ikariya , e tsurumi , t mori","proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0
51594,"lf delph , c weinig , k sullivan","proceedings : biological sciences ,",1998.0
51595,"s dutt , v shanmugavel , s trimberger","proc . acm/ieee iccad ,",
51596,"j bailey , a poulovassilis , pt wood","computer networks ,",2002.0
51597,"nb abdallah , f mehats , o pinaud",,
51598,"cm brendl , ab markman , c messner","journal of personality and social psychology ,",2001.0
51599,k watanabe,,
51600,s yoon,"new directions for adult and continuing education ,",2003.0
51601,daa eliezer,"ph. d. thesis california univ. , santa barbara. ,",1989.0
51602,s yiâ ? ¦,"ieee computer ,",1996.0
51603,aw astin,"new directions for higher education ,",1987.0
51604,"j cassetty , m cancian , d meyer","w-2 child support demonstration evaluation : report on & hellip ; ,",
51605,rp mcbride,"see ref ,",
51606,ca sugar,,1999.0
51607,"mf mayo-smith , j spinale","journal of emergency medicine ,",1997.0
51608,j ball,,1981.0
51609,"j han , j pei , g dong , k wang","sigmod conference ,",2001.0
51610,e bendix,"see ref ,",
51611,rj gilson,,
51612,e design,"electronic design ,",
51613,m missikoff,"proc . of international conference on data base management & hellip ; ,",
51614,r spangler,,2003.0
51615,p cranton,"new directions for adult and continuing education ,",2002.0
51616,j replogle,"wisconsin studies in contemporary literature ,",1964.0
51617,s map,,
51618,"g stead , h donaldson","phil . mag ,",
51619,ce weaver,,2003.0
51620,"bj bobrow , j mohr , cv pollack","journal of emergency medicine ,",1996.0
51621,"ra pi , d barbara , h garcia-molina","acm transactions on database systems ,",
51622,ce windows,,2002.0
51623,be grainger,"proc int instrum symp ,",1995.0
51624,"h jiang , h lu , w wang","proc . of sigmod conference ,",2004.0
51625,e kasanen,,
51626,mr mediano,"proceedings of the international conference on very large & hellip ; ,",1994.0
51627,"is sloncbrakcr , ew michael , p kreps","acm transactions on database systems ,",
51628,mj muller,proc . acm,
51629,"e keogh , ca ratanamahatana","knowledge and information systems ,",2005.0
51630,t zhang,,1997.0
51631,wf zachmann,"pc magazine ,",
51632,a underdal,"see ref ,",
51633,"p shaw , b becker , j klein , m hapner , g clossman , r",,1998.0
51634,th merrett,"sigmod record ,",1984.0
51635,"g stassi , m todaro , p richiusaâ ? ¦",,1995.0
51636,hw kuhn,"history of mathematical programming , a collection of & hellip ; ,",
51637,"r lissitz , h huynh","unpublished manuscript ,",2003.0
51638,mj esson,"proc . 28th nz weed and pest control conf ,",
51639,s imel,"new directions for adult and continuing education ,",1991.0
51640,portal.acm.org,proceedings of the acm sigmod,
51641,"m winslett , kcc chang , ah doan , j han , c zhai , y","sigmod record ,",2002.0
51642,p jung,,1994.0
51643,idt.unit.no,"vldb ,",1999.0
51644,"w dai , r srihari","proceedings of the 14th acm international conference on & hellip ; ,",2005.0
51645,ieaggrd programme,"isbn ,",
51646,j felsenstein,"seattle , washington : university of washington ,",
51647,"m ozsoyoglu , ly yuan","proceedings of the fifth acm sigact-sigmod symposium on & hellip ; ,",1985.0
51648,"i chajda , k glazek",technical university,
51649,"m albrecht , m ksterâ ? ¦","the proceedings of the 25 annual conference on local & hellip ; ,",
51650,j richter,,1993.0
51651,"d fensel , f van harmelen , y ding , m klein , h",,
51652,"q xue , a ganz","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
51653,"jc french , ak jones , jl pfaltz","sigmod record ,",
51654,k chopra,,
51655,bc pierce,"proceedings of the 19th acm sigplan-sigact symposium on & hellip ; ,",1992.0
51656,"ro lamaire , dn serpanos","ieee/acm transactions on networking ( ton ) ,",1994.0
51657,"pg ciarlet , c mardare",,
51658,"dr figueiredo , m garetto , d towsley","technical report cmpsciâ ?? 04â ?? 66 , university of massachusetts ,",
51659,"nh cohen , mw galbraith","new directions for adult and continuing education ,",1995.0
51660,"p mcculloch , me nita , h kazi , j gama-rodrigues","cochrane database syst rev ,",2003.0
51661,"v srinivisan , s suri , g varghese",proc . acm sigcomm,
51662,"e pourabbas , m rafanelli",,
51663,"j karn , r katz , k pister","proc . acm mobicomâ ?? 99 ,",
51664,r tagg,"conference proceedings on data management 91 table of & hellip ; ,",1992.0
51665,"a spink , bj jansen , d wolfram , t saracevic","ieee computer ,",
51666,"jw crawford , k ritz","shape and form in plants and fungi ,",1994.0
51667,e flugel,,2004.0
51668,jm mariottiâ ? ¦,"proc . spie ,",
51669,"m ester , hp kriegel , m schubert","proceedings of the international conference on very large & hellip ; ,",2004.0
51670,r diestel,,
51671,"lc bergstrom , l qin , sl harlocker , la egger , m","genes to cells ,",1998.0
51672,g lindstrom,,
51673,e kofman,"political geography ,",1995.0
51674,"a gutiã © rrez , a marotta",,
51675,"pd gader , jm keller",,
51676,"t stoehr , h maertens , e rahm","vldb ,",2000.0
51677,", j biggs , t zhou , p benninghoff , w han , fy cq",haas and tiwary,
51678,"e amir , s mccanne , m vetterli",,
51679,"v braganholo , s davidson , c heuser","proceedings of the international conference on very large & hellip ; ,",2004.0
51680,"in van schaik , jb winer , r de haan , m vermeulen","cochrane database syst rev ,",2002.0
51681,uk wiil,proc . fifth acm conf .,
51682,y hirabayashi,"the histochemical journal ,",1992.0
51683,c mcgeever,"computerworld ,",
51684,bfj manly,"new york ,",
51685,"a poulovassilis , c small",,
51686,kra ziebeck,"phil . mag ,",
51687,ma biot,"phil . mag ,",
51688,"x shen , s dumais , e horvitz",,
51689,"pf odgaard , j stoustrup , p andersen , hf mikkelsen","submitted for publication ,",
51690,c levin,pc,
51691,"p prasad , rp daniel","proc 28th stapp car crash conf , chicago , il , society of & hellip ; ,",
51692,wr perrizo,proceedings of the acm,
