rest_id,place_name,tel,urban_center,grade,location_address,cuisine
0,` arnie morton \ 's of chicago ',310/246 -1501,` los angeles ',0,' 435 s. la cienega blv . ',american
1,` art \ 's delicatessen ',818/762 -1221,` studio city ',1,' 12224 ventura blvd. ',american
2,` hotel bel-air ',310/472 -1211,` bel air ',2,' 701 stone canyon rd. ',californian
3,` cafe bizou ',818/788 -3536,` sherman oaks ',3,' 14016 ventura blvd. ',french
4,campanile,213/938 -1447,` los angeles ',4,' 624 s. la brea ave. ',american
5,` chinois on main ',310/392 -9025,` santa monica ',5,' 2709 main st. ',french
6,citrus,213/857 -0034,` los angeles ',6,' 6703 melrose ave. ',californian
7,fenix,213/848 -6677,hollywood,7,' 8358 sunset blvd. west ',american
8,granita,310/456 -0488,malibu,8,' 23725 w. malibu rd. ',californian
9,` grill on the alley ',310/276 -0615,` los angeles ',9,' 9560 dayton way ',american
10,` restaurant katsu ',213/665 -1891,` los angeles ',10,' 1972 n. hillhurst ave. ',asian
11,` l \ ` orangerie ',310/652 -9770,` los angeles ',11,' 903 n. la cienega blvd. ',french
12,` le chardonnay ',213/655 -8880,` los angeles ',12,' 8284 melrose ave. ',french
13,` locanda veneta ',310/274 -1893,` los angeles ',13,' 3rd st. ',italian
14,matsuhisa,310/659 -9639,` beverly hills ',14,' 129 n. la cienega blvd. ',asian
15,` the palm ',310/550 -8811,` los angeles ',15,' 9001 santa monica blvd. ',american
16,patina,213/467 -1108,` los angeles ',16,' 5955 melrose ave. ',californian
17,` philippe \ 's the original ',213/628 -3781,` los angeles ',17,' 1001 n. alameda st. ',american
18,` pinot bistro ',818/990 -0500,` los angeles ',18,' 12969 ventura blvd. ',french
19,` rex il ristorante ',213/627 -2300,` los angeles ',19,' 617 s. olive st. ',italian
20,spago,310/652 -4025,` los angeles ',20,' 1114 horn ave. ',californian
21,valentino,310/829 -4313,` santa monica ',21,' 3115 pico blvd. ',italian
22,` yujean kang \ 's gourmet chinese cuisine ',818/585 -0855,` los angeles ',22,'67 n. raymond ave. ',asian
23,'21 club ',212/582 -7200,` new york ',23,'21 w. 52nd st. ',american
24,aquavit,212/307 -7311,` new york ',24,'13 w. 54th st. ',continental
25,aureole,' 212 / 319-1660 ',` new york ',25,'34 e. 61st st. ',american
26,` cafe lalo ',212/496 -6031,` new york ',26,' 201 w. 83rd st. ',` coffee bar '
