establishment_id,rate_val,restaurant_name,phone_number,metro_area,restaurant_category,postal_address
106,106,` masa \ 's ',415/989 -7154,` san francisco ',french,' 648 bush st. '
107,107,` mifune japan center kintetsu building ',415/922 -0337,` san francisco ',asian,' 1737 post st. '
108,108,` plumpjack cafe ',415/563 -4755,` san francisco ',mediterranean,' 3201 fillmore st. '
109,109,postrio,415/776 -7825,` san francisco ',american,' 545 post st. '
110,110,` ritz-carlton restaurant and dining room ',415/296 -7465,` san francisco ',american,' 600 stockton st. '
111,111,` rose pistola ',415/399 -0499,` san francisco ',italian,' 532 columbus ave. '
112,191,bolo,212/228 -2200,` new york ',mediterranean,'23 e. 22nd st. '
113,267,` il nido ',212/753 -8450,` new york ',italian,' 251 e. 53rd st. '
114,334,remi,212/581 -4242,` new york ',italian,' 145 w. 53rd st. '
115,112,` adriano \ 's ristorante ',310/475 -9807,` los angeles ',italian,' 2930 beverly glen circle '
116,113,` barney greengrass ',310/777 -5877,` beverly hills ',american,' 9570 wilshire blvd. '
117,114,beaurivage,310/456 -5733,malibu,french,' 26025 pacific coast hwy . '
118,115,` bistro garden ',310/550 -3900,` los angeles ',californian,' 176 n. canon dr. '
119,116,` border grill ',310/451 -1655,` los angeles ',mexican,' 4th st. '
120,117,` broadway deli ',310/451 -0616,` santa monica ',american,' 3rd st. promenade '
121,118,` ca \ ` brea ',213/938 -2863,` los angeles ',italian,' 346 s. la brea ave. '
122,119,` ca \ ` del sol ',818/985 -4669,` los angeles ',italian,' 4100 cahuenga blvd. '
123,120,` cafe pinot ',213/239 -6500,` los angeles ',californian,' 700 w. fifth st. '
124,121,` california pizza kitchen ',310/275 -1101,` los angeles ',californian,' 207 s. beverly dr. '
125,122,` canter \ 's ',213/651 -2030 .,` los angeles ',american,' 419 n. fairfax ave. '
126,123,cava,213/658 -8898,` los angeles ',mediterranean,' 3rd st. '
127,124,` cha cha cha ',213/664 -7723,` los angeles ',caribbean,' 656 n. virgil ave. '
128,125,` chan dara ',213/467 -1052,` los angeles ',asian,' 310 n. larchmont blvd. '
129,126,` clearwater cafe ',818/356 -0959,` los angeles ',` health food ',' 168 w. colorado blvd. '
130,127,` dining room ',310/275 -5200,` los angeles ',californian,' 9500 wilshire blvd. '
131,128,dive !,310/788 -,` los angeles ',` dive american ',' 10250 santa monica blvd. '
132,129,drago,310/828 -1585,` santa monica ',italian,' 2628 wilshire blvd. '
133,130,` drai \ 's ',310/358 -8585,` los angeles ',french,' 730 n. la cienega blvd. '
134,131,` dynasty room ',310/208 -8765,` los angeles ',continental,' 930 hilgard ave. '
135,132,eclipse,310/724 -5959,` los angeles ',californian,' 8800 melrose ave. '
136,133,` ed debevic \ 's ',310/659 -1952,` los angeles ',american,' 134 n. la cienega '
137,134,` el cholo ',213/734 -2773,` los angeles ',mexican,' 1121 s. western ave. '
138,135,` gilliland \ 's ',310/392 -3901,` santa monica ',american,' 2424 main st. '
139,136,` gladstone \ 's ',310/454 -3474,` pacific palisades ',american,' 4 fish 17300 pacific coast hwy . at sunset blvd. '
140,137,` hard rock cafe ',310/276 -7605,` los angeles ',american,' 8600 beverly blvd. '
141,138,` harry \ 's bar & american grill ',310/277 -2333,` los angeles ',italian,' 2020 ave. of the stars '
142,139,` il fornaio cucina italiana ',310/550 -8330,` los angeles ',italian,' 301 n. beverly dr. '
143,140,` jack sprat \ 's grill ',310/837 -6662,` los angeles ',` health food ',' 10668 w. pico blvd. '
144,141,` jackson \ 's farm ',310/273 -5578,` los angeles ',californian,' 439 n. beverly drive '
145,142,` jimmy \ 's ',310/552 -2394,` los angeles ',continental,' 201 moreno dr. '
146,143,joss,310/276 -1886,` los angeles ',asian,' 9255 sunset blvd. '
147,144,` le colonial ',310/289 -0660,` los angeles ',asian,' 8783 beverly blvd. '
148,145,` le dome ',310/659 -6919,` los angeles ',french,' 8720 sunset blvd. '
149,146,` louise \ 's trattoria ',213/667 -0777,` los angeles ',italian,' 4500 los feliz blvd. '
150,147,` mon kee seafood restaurant ',213/628 -6717,` los angeles ',asian,' 679 n. spring st. '
151,148,` morton \ 's ',310/276 -5205,` los angeles ',american,' 8764 melrose ave. '
152,149,` nate \ ` n \ ' al \ 's ',310/274 -0101,` los angeles ',american,' 414 n. beverly dr. '
153,150,nicola,213/485 -0927,` los angeles ',american,' 601 s. figueroa st. '
154,151,` ocean avenue ',310/394 -5669,` santa monica ',american,' 1401 ocean ave. '
155,152,orleans,310/479 -4187,` los angeles ',cajun,' 11705 national blvd. '
156,153,` pacific dining car ',213/483 -6000,` los angeles ',american,' 6th st. '
157,154,` paty \ 's ',818/761 -9126,` toluca lake ',american,' 10001 riverside dr. '
158,155,` pinot hollywood ',213/461 -8800,` los angeles ',californian,' 1448 n. gower st. '
159,156,posto,818/784 -4400,` sherman oaks ',italian,' 14928 ventura blvd. '
160,157,prego,310/277 -7346,` los angeles ',italian,' 362 n. camden dr. '
161,158,` rj \ 's the rib joint ',310/274 -7427,` los angeles ',american,' 252 n. beverly dr. '
162,159,remi,310/393 -6545,` santa monica ',italian,' 3rd st. promenade '
163,160,` restaurant horikawa ',213/680 -9355,` los angeles ',asian,' 111 s. san pedro st. '
164,161,` roscoe \ 's house of chicken \ ` n \ ' waffles ',213/466 -9329,` los angeles ',american,' 1514 n. gower st. '
165,162,` schatzi on main ',310/399 -4800,` los angeles ',continental,' 3110 main st. '
166,163,sofi,213/651 -0346,` los angeles ',mediterranean,' 3rd st. '
167,164,swingers,213/653 -5858,` los angeles ',american,' 8020 beverly blvd. '
168,165,` tavola calda ',213/658 -6340,` los angeles ',italian,' 7371 melrose ave. '
169,166,` the mandarin ',310/859 -0926,` los angeles ',asian,' 430 n. camden dr. '
170,167,` tommy tang \ 's ',213/937 -5733,` los angeles ',asian,' 7313 melrose ave. '
171,168,` tra di noi ',310/456 -0169,` los angeles ',italian,' 3835 cross creek rd. '
172,169,` trader vic \ 's ',310/276 -6345,` los angeles ',asian,' 9876 wilshire blvd. '
173,170,vida,213/660 -4446,` los feliz ',american,' 1930 north hillhurst ave. '
174,171,` west beach cafe ',310/823 -5396,` los angeles ',american,'60 n. venice blvd. '
175,172,'20 mott ',212/964 -0380,` new york ',asian,'20 mott st. between bowery and pell st. '
176,173,' 9 jones street ',212/989 -1220,` new york ',american,' 9 jones st. '
177,174,adrienne,212/903 -3918,` new york ',french,' 700 5th ave. at 55th st. '
178,175,agrotikon,212/473 -2602,` new york ',mediterranean,' 322 e. 14 st. between 1st and 2nd aves . '
179,176,aja,212/473 -8388,` new york ',american,' 937 broadway at 22nd st. '
180,177,alamo,' 212 / 759-0590 ',` new york ',mexican,' 304 e. 48th st. '
181,178,` alley \ 's end ',212/627 -8899,` new york ',american,' 311 w. 17th st. '
182,179,` ambassador grill ',212/702 -5014,` new york ',american,' 1 united nations plaza at 44th st. '
183,180,` american place ',212/684 -2122,` new york ',american,' 2 park ave. at 32nd st. '
184,181,` anche vivolo ',212/308 -0112,` new york ',italian,' 222 e. 58th st. between 2nd and 3rd aves . '
185,182,arizona,212/838 -0440,` new york ',american,' 206 206 e. 60th st. '
186,183,` arturo \ 's ',212/677 -3820,` new york ',italian,' 106 w. houston st. off thompson st. '
187,184,` au mandarin ',212/385 -0313,` new york ',asian,' 200-250 vesey st. world financial center '
188,185,` bar anise ',212/355 -1112,` new york ',mediterranean,' 1022 3rd ave. between 60th and 61st sts . '
189,186,barbetta,212/246 -9171,` new york ',italian,' 321 w. 46th st. '
190,187,` ben benson \ 's ',212/581 -8888,` new york ',american,' 123 w. 52nd st. '
191,188,` big cup ',212/206 -0059,` new york ',` coffee bar ',' 228 8th ave. between 21st and 22nd sts . '
192,189,` billy \ 's ',212/753 -1870,` new york ',american,' 948 1st ave. between 52nd and 53rd sts . '
193,190,` boca chica ',212/473 -0108,` new york ',` latin american ','13 1st ave. near 1st st. '
194,192,boonthai,212/249 -8484,` new york ',asian,' 1393a 2nd ave. between 72nd and 73rd sts . '
195,193,bouterin,212/758 -0323,` new york ',french,' 420 e. 59th st. off 1st ave. '
196,194,` brothers bar-b-q ',212/727 -2775,` new york ',american,' 225 varick st. at clarkston st. '
197,195,bruno,212/688 -4190,` new york ',italian,' 240 e. 58th st. '
198,196,` bryant park grill roof restaurant and bp cafe ',212/840 -6500,` new york ',american,'25 w. 40th st. between 5th and 6th aves . '
199,197,c3,212/254 -1200,` new york ',american,' 103 waverly pl . near washington sq. '
200,198,ct,212/995 -8500,` new york ',french,' 111 e. 22nd st. between park ave. s and lexington ave. '
201,199,` cafe bianco ',212/988 -2655,` new york ',` coffee bar ',' 1486 2nd ave. between 77th and 78th sts . '
202,200,` cafe botanica ',212/484 -5120,` new york ',french,' 160 central park s '
203,201,` cafe la fortuna ',212/724 -5846,` new york ',` coffee bar ','69 w. 71st st. '
204,202,` cafe luxembourg ',212/873 -7411,` new york ',french,' 200 w. 70th st. '
205,203,` cafe pierre ',212/940 -8185,` new york ',french,' 2 e. 61st st. '
