location_id,business_name,phone_num,restaurant_category,postal_address,restaurant_rating,municipality
212,` caffe roma ',212/226 -8413,` coffee bar ',' 385 broome st. at mulberry ',210,` new york '
213,` caffe vivaldi ',212/691 -7538,` coffee bar ','32 jones st. at bleecker st. ',211,` new york '
214,` caffe bondi ristorante ',212/691 -8136,italian,' 7 w. 20th st. ',212,` new york '
215,` capsouto freres ',212/966 -4900,french,' 451 washington st. near watts st. ',213,` new york '
216,` captain \ 's table ',212/697 -9538,seafood,' 860 2nd ave. at 46th st. ',214,` new york '
217,` casa la femme ',212/505 -0005,` middle eastern ',' 150 wooster st. between houston and prince sts . ',215,` new york '
218,` cendrillon asian grill & marimba bar ',212/343 -9012,asian,'45 mercer st. between broome and grand sts . ',216,` new york '
219,` chez jacqueline ',212/505 -0727,french,'72 macdougal st. between w. houston and bleecker sts . ',217,` new york '
220,chiam,212/371 -2323,asian,' 160 e. 48th st. ',218,` new york '
221,` china grill ',212/333 -7788,american,'60 w. 53rd st. ',219,` new york '
222,cite,212/956 -7100,french,' 120 w. 51st st. ',220,` new york '
223,` coco pazzo ',212/794 -0205,italian,'23 e. 74th st. ',221,` new york '
224,` columbus bakery ',212/421 -0334,` coffee bar ',' 53rd sts . ',222,` new york '
225,` corrado cafe ',212/753 -5100,` coffee bar ',' 1013 3rd ave. between 60th and 61st sts . ',223,` new york '
226,` cupcake cafe ',212/465 -1530,` coffee bar ',' 522 9th ave. at 39th st. ',224,` new york '
227,` da nico ',212/343 -1212,italian,' 164 mulberry st. between grand and broome sts . ',225,` new york '
228,` dean & deluca ',212/254 -8776,` coffee bar ',' 121 prince st. ',226,` new york '
229,diva,212/941 -9024,italian,' 341 w. broadway near grand st. ',227,` new york '
230,` dix et sept ',212/645 -8023,french,' 181 w. 10th st. ',228,` new york '
231,docks,' 212 / 986-8080 ',seafood,' 633 3rd ave. at 40th st. ',229,` new york '
232,` duane park cafe ',212/732 -5555,american,' 157 duane st. between w. broadway and hudson st. ',230,` new york '
233,` el teddy \ 's ',212/941 -7070,mexican,' 219 w. broadway between franklin and white sts . ',231,` new york '
234,'em ily \ 's ',212/996 -1212,american,' 1325 5th ave. at 111th st. ',232,` new york '
235,'em pire korea ',212/725 -1333,asian,' 6 e. 32nd st. ',233,` new york '
236,` ernie \ 's ',212/496 -1588,american,' 2150 broadway between 75th and 76th sts . ',234,` new york '
237,` evergreen cafe ',212/744 -3266,asian,' 1288 1st ave. at 69th st. ',235,` new york '
238,` f. ille ponte ristorante ',212/226 -4621,italian,'39 desbrosses st. near west st. ',236,` new york '
