establishment_id,locality,dining_spot_name,billing_address,business_phone,food_type,rating
424,` las vegas ',` bally \ 's big kitchen ',' 3645 las vegas blvd. s ',702/739 -4111,buffets,424
425,` las vegas ',` bamboo garden ',' 4850 flamingo rd. ',702/871 -3262,asian,425
426,` las vegas ',` battista \ 's hole in the wall ',' 4041 audrie st. at flamingo rd. ',702/732 -1424,italian,426
427,` las vegas ',` bertolini \ 's ',' 3570 las vegas blvd. s ',702/735 -4663,italian,427
428,` las vegas ',` binion \ 's coffee shop ',' 128 fremont st. ',702/382 -1600,` coffee shops/diners ',428
429,` las vegas ',bistro,' 3400 las vegas blvd. s ',702/791 -7111,continental,429
430,` las vegas ',broiler,' 4111 boulder hwy . ',702/432 -7777,american,430
431,` las vegas ',` bugsy \ 's diner ',' 3555 las vegas blvd. s ',702/733 -3111,` coffee shops/diners ',431
432,` las vegas ',` cafe michelle ',' 1350 e. flamingo rd. ',702/735 -8686,american,432
433,` las vegas ',` cafe roma ',' 3570 las vegas blvd. s ',702/731 -7547,` coffee shops/diners ',433
434,` las vegas ',` capozzoli \ 's ',' 3333 s. maryland pkwy . ',702/731 -5311,italian,434
435,` las vegas ',` carnival world ',' 3700 w. flamingo rd. ',702/252 -7777,buffets,435
436,` las vegas ',` center stage plaza hotel ',' 1 main st. ',702/386 -2512,american,436
437,` las vegas ',` circus circus ',' 2880 las vegas blvd. s ',702/734 -0410,buffets,437
438,` las vegas ','em press court ',' 3570 las vegas blvd. s ',702/731 -7888,asian,438
439,` las vegas ',feast,' 2411 w. sahara ave. ',702/367 -2411,buffets,439
440,` las vegas ',` golden nugget hotel ',' 129 e. fremont st. ',702/385 -7111,buffets,440
441,` las vegas ',` golden steer ',' 308 w. sahara ave. ',702/384 -4470,` steak houses ',441
442,` las vegas ',` lillie langtry \ 's ',' 129 e. fremont st. ',702/385 -7111,asian,442
443,` las vegas ',` mandarin court ',' 1510 e. flamingo rd. ',702/737 -1234,asian,443
444,` las vegas ',` margarita \ 's mexican cantina ',' 3120 las vegas blvd. s ',702/794 -8200,mexican,444
445,` las vegas ',` mary \ 's diner ',' 5111 w. boulder hwy . ',702/454 -8073,` coffee shops/diners ',445
446,` las vegas ',mikado,' 3400 las vegas blvd. s ',702/791 -7111,asian,446
447,` las vegas ',pamplemousse,' 400 e. sahara ave. ',702/733 -2066,continental,447
448,` las vegas ',` ralph \ 's diner ',' 3000 las vegas blvd. s ',702/732 -6330,` coffee shops/diners ',448
449,` las vegas ',` the bacchanal ',' 3570 las vegas blvd. s ',702/731 -7525,` only in las vegas ',449
450,` las vegas ',venetian,' 3713 w. sahara ave. ',702/876 -4190,italian,450
451,` las vegas ',` viva mercado \ 's ',' 6182 w. flamingo rd. ',702/871 -8826,mexican,451
