r_id,city_name,contact_phone,food_type,full_address,rating,restaurant_title
0,` west la ',310-475-3585,american,' 10801 w. pico blvd. ',534,` apple pan the '
1,` west la ',310-479-2231,` noodle shops ',' 2027 sawtelle blvd. ',535,` asahi ramen '
2,` westlake village ',805-498-4049,mexican,' 3345 kimber dr. ',536,` baja fresh '
3,` beverly hills ',310-788-2306,` pacific new wave ',' 9882 little santa monica blvd. ',537,` belvedere the '
4,` santa monica ',310-458-2889,` fast food ',' 1433 third st. promenade ',538,` benita \ 's frites '
5,` los angeles ',213-612-1580,continental,' 515 s. olive st. ',539,` bernard \ 's '
6,pasadena,818-795-2478,californian,'45 s. mentor ave. ',540,` bistro 45 '
7,northridge,818-886-5679,delis,' 19565 parthenia ave. ',541,` brent \ 's deli '
8,` beverly hills ',310-276-7732,` coffee shops ',' 9600 brighton way ',542,` brighton coffee shop '
9,pasadena,310-643-5229,californian,' 1570 rosecrans ave. s. ',543,` bristol farms market cafe '
10,` mar vista ',310-397-5703,italian,' 3838 centinela ave. ',544,` bruno \ 's '
11,venice,310-399-1955,american,' 838 lincoln blvd. ',545,` cafe \ '50s '
12,` beverly hills ',310-888-0108,` pacific new wave ',' 9777 little santa monica blvd. ',546,` cafe blanc '
13,la,213-480-8668,hamburgers,' 3266 w. sixth st. ',547,` cassell \ 's '
14,` redondo beach ',310-540-1222,eclectic,' 1716 pch ',548,` chez melange '
15,` w. hollywood ',310-854-1111,russian,' 1020 n. san vicente blvd. ',549,diaghilev
16,westwood,310-209-1422,italian,' 1136 westwood blvd. ',550,` don antonio \ 's '
17,` w. hollywood ',310-652-3100,` coffee shops ',' 8909 sunset blvd. ',551,` duke \ 's '
18,westwood,310-208-4444,` middle eastern ',' 1059 broxton ave. ',552,` falafel king '
19,` west la ',310-475-0400,chinese,' 1949 westwood blvd. ',553,` feast from the east '
20,la,213-933-0358,cajun/creole,' 6333 w. third st. ',554,` gumbo pot the '
21,hollywood,213-467-7678,` coffee shops ',' 6145 franklin ave. ',555,` hollywood hills coffee shop '
22,la,310-815-1290,indonesian,' 10428 1/2 national blvd. ',556,` indo cafe '
23,la,213-651-2866,` coffee shops ',' 8424 beverly blvd. ',557,` jan \ 's family restaurant '
24,` santa monica ',310-917-6671,californian,' 502 santa monica blvd ',558,jiraffe
25,venice,310-306-1995,` hot dogs ',' 2011 ocean front walk ',559,` jody maroni \ 's sausage kingdom '
26,venice,310-399-5811,` american ( new ) ',' 1023 abbot kinney blvd. ',560,` joe \ 's '
27,` west la ',310-204-0692,` coffee shops ',' 10516 w. pico blvd. ',561,` john o \ ` groats '
28,` culver city ',310-397-6654,delis,' 4017 s. sepulveda blvd. ',562,` johnnie \ 's pastrami '
29,` long beach ',310-423-7327,southern/soul,' 4663 long beach blvd. ',563,` johnny reb \ 's southern smokehouse '
30,la,213-651-3361,american,' 7507 melrose ave. ',564,` johnny rockets ( la ) '
31,` studio city ',818-508-1570,seafood,' 4000 colfax ave. ',565,` killer shrimp '
32,la,213-933-0773,american,' 6333 w. third st. ',566,` kokomo cafe '
33,la,213-655-9045,chicken,' 8393 w. beverly blvd. ',567,` koo koo roo '
34,` century city ',310-470-4992,` french ( new ) ',' 10506 little santa monica blvd. ',568,` la cachette '
35,malibu,310-456-6299,mexican,' 22800 pch ',569,` la salsa ( la ) '
36,` st. boyle hts . ',213-265-2887,mexican/tex-mex,' 1842 e. first ',570,` la serenata de garibaldi '
37,la,213-483-8050,delis,' 704 s. alvarado st. ',571,` langer \ 's '
38,` westlake village ',818-706-7706,` health food ',' 30869 thousand oaks blvd. ',572,` local nochol '
39,` rancho park ',310-475-7564,american,' 10509 w. pico blvd. ',573,` main course the '
40,la,213-938-8800,desserts,' 519 s. fairfax ave. ',574,` mani \ 's bakery & espresso bar '
