restaurant_id,rate_val,district,restaurant_category,biz_nm,business_phone,postal_address
100,634,` new york city ',steakhouses,palm,212-687-2953,' 837 second ave. '
101,635,` new york city ',steakhouses,` palm too ',212-697-5198,' 840 second ave. '
102,636,brooklyn,pizza,` patsy \ 's pizza ',718-858-4300,'19 old fulton st. '
103,637,brooklyn,steakhouses,` peter luger steak house ',718-387-7400,' 178 broadway '
104,638,` new york city ',indian,` rose of india ',212-533-5011,' 308 e. sixth st. '
105,639,` new york city ',chinese,` sam \ 's noodle shop ',212-213-2288,' 411 third ave. '
106,640,` new york city ',american,` sarabeth \ 's ',212-410-7335,' 1295 madison ave. '
107,641,` new york city ',steakhouses,` sparks steak house ',212-687-4855,' 210 e. 46th st. '
108,642,queens,bbq,` stick to your ribs ',718-937-3030,' 5-16 51st ave. '
109,643,` new york city ',japanese,sushisay,212-755-1780,'38 e. 51st st. '
110,644,` new york city ',southern/soul,` sylvia \ 's ',212-996-0660,' 328 lenox ave. '
111,645,` new york city ',chinese,` szechuan hunan cottage ',212-535-5223,' 1588 york ave. '
112,646,` new york city ',chinese,` szechuan kitchen ',212-249-4615,' 1460 first ave. '
113,647,queens,polish,` teresa \ 's ',718-520-2910,'80 montague st. '
114,648,` new york city ',thai,` thai house cafe ',212-334-1085,' 151 hudson st. '
115,649,` new york city ',thai,` thailand restaurant ',212-349-3132,' 106 bayard st. '
116,650,` new york city ',ukrainian,veselka,212-228-9682,' 144 second ave. '
117,651,` new york city ',chinese,` westside cottage ',212-245-0800,' 689 ninth ave. '
118,652,` new york city ',eclectic,` windows on the world ',212-524-7000,' 107th fl . '
119,653,` new york city ',steakhouses,` wollensky \ 's grill ',212-753-0444,' 205 e. 49th st. '
120,654,` new york city ',japanese,yama,212-475-0969,' 122 e. 17th st. '
121,655,` new york city ',mexican,zarela,212-644-6740,' 953 second ave. '
122,656,` las vegas ',` french ( classic ) ',` andre \ 's french restaurant ',702-385-5016,' 401 s. 6th st. '
123,657,` las vegas ',continental,` buccaneer bay club ',702-894-7350,' 3300 las vegas blvd. s. '
