record_id,tel,postal_address,venue_name,place,restaurant_rating,dining_category
200,415-431-7210,' 288 noe st. ',` la mediterranee ',` san francisco ',735,mediterranean
201,415-285-7117,' 2889 mission st. ',` la taqueria ',` san francisco ',736,mexican
202,415-776-8226,' 2209 polk st. ',` mario \ 's bohemian cigar store cafe ',` san francisco ',737,italian
203,415-665-9500,' 2225 irving st. ',` marnee thai ',` san francisco ',738,thai
204,415-387-2244,' 3355 geary st. ',` mel \ 's drive-in ',` san francisco ',739,hamburgers
205,415-788-3779,' 1322 grant st. ',` mo \ 's burgers ',` san francisco ',740,hamburgers
206,415-775-5979,' 631 larkin st. ',` phnom penh cambodian restaurant ',` san francisco ',741,cambodian
207,415-550-9213,' 2817 24th st. ',` roosevelt tamale parlor ',` san francisco ',742,mexican
208,415-626-6006,' 300 de haro st. ',` sally \ 's cafe & bakery ',` san francisco ',743,american
209,415-431-8956,' 1328 18th st. ',` san francisco bbq ',` san francisco ',744,thai
210,415-861-8032,' 584 valencia st. ',` slanted door ',` san francisco ',745,vietnamese
211,415-673-1101,' 1517 polk st. ',` swan oyster depot ',` san francisco ',746,seafood
212,415-431-2526,' 400 waller st. ',` thep phanom ',` san francisco ',747,thai
213,415-252-7373,' 3108 16th st. ',` ti couz ',` san francisco ',748,french
214,415-563-2248,' 1870 fillmore st. ',` trio cafe ',` san francisco ',749,american
215,415-626-0927,' 8 sixth st. ',` tu lan ',` san francisco ',750,vietnamese
216,415-863-2382,' 201 ivy st. ',` vicolo pizzeria ',` san francisco ',751,pizza
217,415-775-1055,' 2141 polk st. ',` wa-ha-ka oaxaca mexican grill ',` san francisco ',752,mexican
218,310-246-1501,' 435 s. la cienega blvd. ',` arnie morton \ 's of chicago ',` los angeles ',0,steakhouses
219,818-762-1221,' 12224 ventura blvd. ',` art \ 's deli ',` studio city ',1,delis
220,310-472-1211,' 701 stone canyon rd. ',` bel-air hotel ',` bel air ',2,californian
221,818-788-3536,' 14016 ventura blvd. ',` cafe bizou ',` sherman oaks ',3,` french bistro '
222,213-938-1447,' 624 s. la brea ave. ',campanile,` los angeles ',4,californian
223,310-392-9025,' 2709 main st. ',` chinois on main ',` santa monica ',5,` pacific new wave '
224,213-857-0034,' 6703 melrose ave. ',citrus,` los angeles ',6,californian
225,213-848-6677,' 8358 sunset blvd. ',` fenix at the argyle ',` w. hollywood ',7,` french ( new ) '
226,310-456-0488,' 23725 w. malibu rd. ',granita,malibu,8,californian
227,310-276-0615,' 9560 dayton way ',` grill the ',` beverly hills ',9,` american ( traditional ) '
228,213-665-1891,' 1972 hillhurst ave. ',katsu,` los feliz ',10,japanese
229,310-652-9770,' 903 n. la cienega blvd. ',` l \ ` orangerie ',` w. hollywood ',11,` french ( classic ) '
230,213-655-8880,' 8284 melrose ave. ',` le chardonnay ( los angeles ) ',` los angeles ',12,` french bistro '
231,310-274-1893,' 8638 w. third st. ',` locanda veneta ',` los angeles ',13,italian
232,310-659-9639,' 129 n. la cienega blvd. ',matsuhisa,` beverly hills ',14,seafood
233,310-550-8811,' 9001 santa monica blvd. ',` palm the ( los angeles ) ',` w. hollywood ',15,steakhouses
234,213-467-1108,' 5955 melrose ave. ',patina,` los angeles ',16,californian
235,213-628-3781,' 1001 n. alameda st. ',` philippe the original ',chinatown,17,cafeterias
236,818-990-0500,' 12969 ventura blvd. ',` pinot bistro ',` studio city ',18,` french bistro '
237,213-627-2300,' 617 s. olive st. ',` rex il ristorante ',` los angeles ',19,` nuova cucina italian '
238,310-652-4025,' 8795 sunset blvd. ',` spago ( los angeles ) ',` w. hollywood ',20,californian
239,310-829-4313,' 3115 pico blvd. ',valentino,` santa monica ',21,italian
240,818-585-0855,'67 n. raymond ave. ',` yujean kang \ 's ',pasadena,22,chinese
241,212-582-7200,'21 w. 52nd st. ','21 club ',` new york city ',23,` american ( new ) '
242,212-307-7311,'13 w. 54th st. ',aquavit,` new york city ',24,scandinavian
243,212-319-1660,'34 e. 61st st. ',aureole,` new york city ',25,` american ( new ) '
244,212-496-6031,' 201 w. 83rd st. ',` cafe lalo ',` new york city ',26,coffeehouses
245,212-877-3500,' 1 w. 67th st. ',` cafe des artistes ',` new york city ',27,` french ( classic ) '
246,212-362-2200,' 2450 broadway ',` carmine \ 's ',` new york city ',28,italian
247,212-757-2245,' 854 seventh ave. ',` carnegie deli ',` new york city ',29,delis
248,212-966-6960,' 2 harrison st. ',chanterelle,` new york city ',30,` french ( new ) '
249,212-288-0033,'20 e. 76th st. ',daniel,` new york city ',31,` french ( new ) '
250,212-355-7555,' 210 e. 58th st. ',dawat,` new york city ',32,indian
251,212-758-1479,' 243 e. 58th st. ',felidia,` new york city ',33,italian
252,212-754-9494,'99 e. 52nd st. ',` four seasons ',` new york city ',34,` american ( new ) '
253,212-620-4020,'12 e. 12th st. ',` gotham bar & grill ',` new york city ',35,` american ( new ) '
254,212-477-0777,'42 e. 20th st. ',` gramercy tavern ',` new york city ',36,` american ( new ) '
255,212-765-1737,' 402 w. 44th st. ',` island spice ',` new york city ',37,caribbean
256,212-223-5656,' 160 e. 64th st. ',` jo jo ',` new york city ',38,` french bistro '
257,212-586-4252,'33 w. 55th st. ',` la caravelle ',` new york city ',39,` french ( classic ) '
258,212-688-6525,'60 w. 55th st. ',` la cote basque ',` new york city ',40,` french ( classic ) '
259,212-489-1515,' 155 w. 51st st. ',` le bernardin ',` new york city ',41,seafood
260,212-484-5113,' 155 w. 58th st. ',` les celebrites ',` new york city ',42,` french ( classic ) '
261,212-339-6719,' 2 e. 55th st. ',` lespinasse ( new york city ) ',` new york city ',43,asian
262,212-752-2225,' 249 e. 50th st. ',lutece,` new york city ',44,` french ( classic ) '
263,212-371-7777,'57 w. 58th st. ',` manhattan ocean club ',` new york city ',45,seafood
264,212-754-6272,' 405 e. 58th st. ',march,` new york city ',46,` american ( new ) '
265,212-807-7400,' 102 fifth ave. ',` mesa grill ',` new york city ',47,southwestern
266,212-627-8273,'57 jane st. ',` mi cocina ',` new york city ',48,mexican
267,212-219-2777,' 239 w. broadway ',montrachet,` new york city ',49,` french bistro '
268,212-759-5941,'55 e. 54th st. ',oceana,` new york city ',50,seafood
269,212-644-1900,' 100 e. 63rd st. ',` park avenue cafe ( new york city ) ',` new york city ',51,` american ( new ) '
270,212-245-2214,' 182 w. 58th st. ',petrossian,` new york city ',52,russian
271,212-724-8585,'35 w. 64th st. ',picholine,` new york city ',53,mediterranean
272,212-260-6660,'95 ave. a ',pisces,` new york city ',54,seafood
273,212-632-5000,'30 rockefeller plaza ',` rainbow room ',` new york city ',55,` american ( new ) '
274,718-522-5200,' 1 water st. ',` river cafe ',brooklyn,56,` american ( new ) '
275,212-265-5959,' 240 central park s. ',` san domenico ',` new york city ',57,italian
276,212-677-0606,' 156 second ave. ',` second avenue deli ',` new york city ',58,delis
277,212-980-9393,'11 e. 53rd st. ',seryna,` new york city ',59,japanese
278,212-371-8844,' 155 e. 55th st. ',` shun lee palace ',` new york city ',60,chinese
279,212-861-8080,' 1110 third ave. ',` sign of the dove ',` new york city ',61,` american ( new ) '
280,212-753-1530,' 797 third ave. ',` smith & wollensky ',` new york city ',62,steakhouses
281,212-873-3200,` central park west ',` tavern on the green ',` new york city ',63,` american ( new ) '
282,212-245-7992,' 747 ninth ave. ',` uncle nick \ 's ',` new york city ',64,greek
283,212-243-4020,'21 e. 16th st. ',` union square cafe ',` new york city ',65,` american ( new ) '
284,212-921-9494,' 152 w. 44th st. ',` virgil \ 's real bbq ',` new york city ',66,bbq
285,702-733-8899,' 3200 las vegas blvd. s. ',` chin \ 's ',` las vegas ',67,chinese
286,702-891-7349,' 3799 las vegas blvd. s. ',` coyote cafe ( las vegas ) ',` las vegas ',68,southwestern
287,702-732-5651,' 3000 paradise rd. ',` le montrachet bistro ',` las vegas ',69,` french bistro '
288,702-731-7110,' 3570 las vegas blvd. s. ',` palace court ',` las vegas ',70,` french ( new ) '
289,702-385-6277,' 200 e. fremont st. ',` second street grill ',` las vegas ',71,` pacific rim '
290,702-734-0410,' 2880 las vegas blvd. s. ',` steak house the ',` las vegas ',72,steakhouses
291,702-731-4036,' 2245 e. flamingo rd. ','till erman the ',` las vegas ',73,steakhouses
