place_id,restaurant_nm,urban_center,cuisine_type,street_address,restaurant_rating
0,` arnie morton \ 's of chicago ',` los angeles ',american,' 435 s. la cienega blv . ',0
1,` art \ 's delicatessen ',` studio city ',american,' 12224 ventura blvd. ',1
2,` hotel bel-air ',` bel air ',californian,' 701 stone canyon rd. ',2
3,` cafe bizou ',` sherman oaks ',french,' 14016 ventura blvd. ',3
4,campanile,` los angeles ',american,' 624 s. la brea ave. ',4
5,` chinois on main ',` santa monica ',french,' 2709 main st. ',5
6,citrus,` los angeles ',californian,' 6703 melrose ave. ',6
7,fenix,hollywood,american,' 8358 sunset blvd. west ',7
8,granita,malibu,californian,' 23725 w. malibu rd. ',8
9,` grill on the alley ',` los angeles ',american,' 9560 dayton way ',9
10,` restaurant katsu ',` los angeles ',asian,' 1972 n. hillhurst ave. ',10
11,` l \ ` orangerie ',` los angeles ',french,' 903 n. la cienega blvd. ',11
12,` le chardonnay ',` los angeles ',french,' 8284 melrose ave. ',12
13,` locanda veneta ',` los angeles ',italian,' 3rd st. ',13
14,matsuhisa,` beverly hills ',asian,' 129 n. la cienega blvd. ',14
15,` the palm ',` los angeles ',american,' 9001 santa monica blvd. ',15
16,patina,` los angeles ',californian,' 5955 melrose ave. ',16
17,` philippe \ 's the original ',` los angeles ',american,' 1001 n. alameda st. ',17
18,` pinot bistro ',` los angeles ',french,' 12969 ventura blvd. ',18
19,` rex il ristorante ',` los angeles ',italian,' 617 s. olive st. ',19
20,spago,` los angeles ',californian,' 1114 horn ave. ',20
21,valentino,` santa monica ',italian,' 3115 pico blvd. ',21
22,` yujean kang \ 's gourmet chinese cuisine ',` los angeles ',asian,'67 n. raymond ave. ',22
23,'21 club ',` new york ',american,'21 w. 52nd st. ',23
24,aquavit,` new york ',continental,'13 w. 54th st. ',24
25,aureole,` new york ',american,'34 e. 61st st. ',25
26,` cafe lalo ',` new york ',` coffee bar ',' 201 w. 83rd st. ',26
27,` cafe des artistes ',` new york ',continental,' 1 w. 67th st. ',27
28,` carmine \ 's ',` new york ',italian,' 2450 broadway between 90th and 91st sts . ',28
29,` carnegie deli ',` new york ',delicatessen,' 854 7th ave. between 54th and 55th sts . ',29
30,chanterelle,` new york ',american,' 2 harrison st. near hudson st. ',30
31,daniel,` new york ',french,'20 e. 76th st. ',31
32,dawat,` new york ',asian,' 210 e. 58th st. ',32
33,felidia,` new york ',italian,' 243 e. 58th st. ',33
34,` four seasons grill room ',` new york ',american,'99 e. 52nd st. ',34
35,` gotham bar & grill ',` new york ',american,'12 e. 12th st. ',35
36,` gramercy tavern ',` new york ',american,'42 e. 20th st. between park ave. s and broadway ',36
37,` island spice ',` new york ',` tel caribbean ',' 402 w. 44th st. ',37
38,` jo jo ',` new york ',american,' 160 e. 64th st. ',38
39,` la caravelle ',` new york ',french,'33 w. 55th st. ',39
40,` la cote basque ',` new york ',french,'60 w. 55th st. between 5th and 6th ave. ',40
41,` le bernardin ',` new york ',french,' 155 w. 51st st. ',41
42,` les celebrites ',` new york ',french,' 160 central park s ',42
43,lespinasse,` new york ',american,' 2 e. 55th st. ',43
44,lutece,` new york ',french,' 249 e. 50th st. ',44
45,` manhattan ocean club ',` new york ',seafood,'57 w. 58th st. ',45
46,march,` new york ',american,' 405 e. 58th st. ',46
47,` mesa grill ',` new york ',american,' 102 5th ave. between 15th and 16th sts . ',47
48,` mi cocina ',` new york ',mexican,'57 jane st. off hudson st. ',48
49,montrachet,` new york ',french,' 239 w. broadway between walker and white sts . ',49
50,oceana,` new york ',seafood,'55 e. 54th st. ',50
51,` park avenue cafe ',` new york ',american,' 100 e. 63rd st. ',51
52,petrossian,` new york ',french,' 182 w. 58th st. ',52
53,picholine,` new york ',mediterranean,'35 w. 64th st. ',53
54,pisces,` new york ',seafood,'95 ave. a at 6th st. ',54
55,` rainbow room ',` new york ',` or 212/632 -5100 american ','30 rockefeller plaza ',55
56,` river cafe ',brooklyn,american,' 1 water st. at the east river ',56
57,` san domenico ',` new york ',italian,' 240 central park s ',57
