establishment_id,restaurant_class,location_city,restaurant_nm,category,telephone_num
106,106,` san francisco ',` masa \ 's ',french,415/989 -7154
107,107,` san francisco ',` mifune japan center kintetsu building ',asian,415/922 -0337
108,108,` san francisco ',` plumpjack cafe ',mediterranean,415/563 -4755
109,109,` san francisco ',postrio,american,415/776 -7825
110,110,` san francisco ',` ritz-carlton restaurant and dining room ',american,415/296 -7465
111,111,` san francisco ',` rose pistola ',italian,415/399 -0499
112,191,` new york ',bolo,mediterranean,212/228 -2200
113,267,` new york ',` il nido ',italian,212/753 -8450
114,334,` new york ',remi,italian,212/581 -4242
115,112,` los angeles ',` adriano \ 's ristorante ',italian,310/475 -9807
116,113,` beverly hills ',` barney greengrass ',american,310/777 -5877
117,114,malibu,beaurivage,french,310/456 -5733
118,115,` los angeles ',` bistro garden ',californian,310/550 -3900
119,116,` los angeles ',` border grill ',mexican,310/451 -1655
120,117,` santa monica ',` broadway deli ',american,310/451 -0616
121,118,` los angeles ',` ca \ ` brea ',italian,213/938 -2863
122,119,` los angeles ',` ca \ ` del sol ',italian,818/985 -4669
123,120,` los angeles ',` cafe pinot ',californian,213/239 -6500
124,121,` los angeles ',` california pizza kitchen ',californian,310/275 -1101
125,122,` los angeles ',` canter \ 's ',american,213/651 -2030 .
126,123,` los angeles ',cava,mediterranean,213/658 -8898
127,124,` los angeles ',` cha cha cha ',caribbean,213/664 -7723
128,125,` los angeles ',` chan dara ',asian,213/467 -1052
129,126,` los angeles ',` clearwater cafe ',` health food ',818/356 -0959
130,127,` los angeles ',` dining room ',californian,310/275 -5200
131,128,` los angeles ',dive !,` dive american ',310/788 -
132,129,` santa monica ',drago,italian,310/828 -1585
133,130,` los angeles ',` drai \ 's ',french,310/358 -8585
134,131,` los angeles ',` dynasty room ',continental,310/208 -8765
135,132,` los angeles ',eclipse,californian,310/724 -5959
136,133,` los angeles ',` ed debevic \ 's ',american,310/659 -1952
137,134,` los angeles ',` el cholo ',mexican,213/734 -2773
138,135,` santa monica ',` gilliland \ 's ',american,310/392 -3901
139,136,` pacific palisades ',` gladstone \ 's ',american,310/454 -3474
140,137,` los angeles ',` hard rock cafe ',american,310/276 -7605
141,138,` los angeles ',` harry \ 's bar & american grill ',italian,310/277 -2333
142,139,` los angeles ',` il fornaio cucina italiana ',italian,310/550 -8330
143,140,` los angeles ',` jack sprat \ 's grill ',` health food ',310/837 -6662
144,141,` los angeles ',` jackson \ 's farm ',californian,310/273 -5578
145,142,` los angeles ',` jimmy \ 's ',continental,310/552 -2394
146,143,` los angeles ',joss,asian,310/276 -1886
147,144,` los angeles ',` le colonial ',asian,310/289 -0660
148,145,` los angeles ',` le dome ',french,310/659 -6919
149,146,` los angeles ',` louise \ 's trattoria ',italian,213/667 -0777
150,147,` los angeles ',` mon kee seafood restaurant ',asian,213/628 -6717
151,148,` los angeles ',` morton \ 's ',american,310/276 -5205
152,149,` los angeles ',` nate \ ` n \ ' al \ 's ',american,310/274 -0101
153,150,` los angeles ',nicola,american,213/485 -0927
154,151,` santa monica ',` ocean avenue ',american,310/394 -5669
155,152,` los angeles ',orleans,cajun,310/479 -4187
156,153,` los angeles ',` pacific dining car ',american,213/483 -6000
157,154,` toluca lake ',` paty \ 's ',american,818/761 -9126
158,155,` los angeles ',` pinot hollywood ',californian,213/461 -8800
159,156,` sherman oaks ',posto,italian,818/784 -4400
160,157,` los angeles ',prego,italian,310/277 -7346
161,158,` los angeles ',` rj \ 's the rib joint ',american,310/274 -7427
162,159,` santa monica ',remi,italian,310/393 -6545
163,160,` los angeles ',` restaurant horikawa ',asian,213/680 -9355
164,161,` los angeles ',` roscoe \ 's house of chicken \ ` n \ ' waffles ',american,213/466 -9329
165,162,` los angeles ',` schatzi on main ',continental,310/399 -4800
166,163,` los angeles ',sofi,mediterranean,213/651 -0346
167,164,` los angeles ',swingers,american,213/653 -5858
168,165,` los angeles ',` tavola calda ',italian,213/658 -6340
169,166,` los angeles ',` the mandarin ',asian,310/859 -0926
170,167,` los angeles ',` tommy tang \ 's ',asian,213/937 -5733
171,168,` los angeles ',` tra di noi ',italian,310/456 -0169
172,169,` los angeles ',` trader vic \ 's ',asian,310/276 -6345
173,170,` los feliz ',vida,american,213/660 -4446
174,171,` los angeles ',` west beach cafe ',american,310/823 -5396
175,172,` new york ','20 mott ',asian,212/964 -0380
176,173,` new york ',' 9 jones street ',american,212/989 -1220
177,174,` new york ',adrienne,french,212/903 -3918
178,175,` new york ',agrotikon,mediterranean,212/473 -2602
179,176,` new york ',aja,american,212/473 -8388
180,177,` new york ',alamo,mexican,' 212 / 759-0590 '
181,178,` new york ',` alley \ 's end ',american,212/627 -8899
182,179,` new york ',` ambassador grill ',american,212/702 -5014
183,180,` new york ',` american place ',american,212/684 -2122
184,181,` new york ',` anche vivolo ',italian,212/308 -0112
185,182,` new york ',arizona,american,212/838 -0440
186,183,` new york ',` arturo \ 's ',italian,212/677 -3820
187,184,` new york ',` au mandarin ',asian,212/385 -0313
188,185,` new york ',` bar anise ',mediterranean,212/355 -1112
189,186,` new york ',barbetta,italian,212/246 -9171
190,187,` new york ',` ben benson \ 's ',american,212/581 -8888
191,188,` new york ',` big cup ',` coffee bar ',212/206 -0059
192,189,` new york ',` billy \ 's ',american,212/753 -1870
193,190,` new york ',` boca chica ',` latin american ',212/473 -0108
194,192,` new york ',boonthai,asian,212/249 -8484
195,193,` new york ',bouterin,french,212/758 -0323
196,194,` new york ',` brothers bar-b-q ',american,212/727 -2775
197,195,` new york ',bruno,italian,212/688 -4190
198,196,` new york ',` bryant park grill roof restaurant and bp cafe ',american,212/840 -6500
199,197,` new york ',c3,american,212/254 -1200
200,198,` new york ',ct,french,212/995 -8500
201,199,` new york ',` cafe bianco ',` coffee bar ',212/988 -2655
202,200,` new york ',` cafe botanica ',french,212/484 -5120
203,201,` new york ',` cafe la fortuna ',` coffee bar ',212/724 -5846
204,202,` new york ',` cafe luxembourg ',french,212/873 -7411
205,203,` new york ',` cafe pierre ',french,212/940 -8185
206,204,` new york ',` cafe centro ',french,212/818 -1222
207,205,` new york ',` cafe fes ',mediterranean,212/924 -7653
208,206,` new york ',` caffe dante ',` coffee bar ',212/982 -5275
209,207,` new york ',` caffe dell \ ` artista ',` coffee bar ',212/645 -4431
210,208,` new york ',` caffe lure ',french,212/473 -2642
211,209,` new york ',` caffe reggio ',` coffee bar ',212/475 -9557
