sku_id,item_desc_name,current_price
432,canon green photo ink cartridge cli8g,16.0
433,canon red photo ink cartridge cli8r,16.0
434,canon black photo ink cartridge cli8b,16.0
435,netgear prosafe 5 port 10/100 desktop switch fs105,40.0
436,pioneer premier in-dash cd/wma/mp3 / aac receiver dehp400ub,183.0
437,pioneer deh-2000mp cd/mp3/wma in-dash receiver deh2000mp,98.0
438,pioneer premier in-dash cd/wma/mp3 / aac receiver dehp500ub,208.0
439,sony 40gb high definition hard disk drive handycam camcorder hdrsr10,
440,sony 60gb high definition hard disk drive handycam camcorder hdrsr11,
441,cuisinart stainless steel 4-quart programmable slow cooker psc400,
442,sony 120gb high definition hard disk drive handycam camcorder hdrsr12,
443,sony high definition hdv handycam camcorder hdrhc9,
444,sony silver cyber-shot 7.2 megapixel digital camera dscw120,
445,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,
446,sony 7 ' digital photo frame in black dpfd70,139.0
447,peerless 32 ' 50 ' articulating flat panel tv black wall arm sa750pu,
448,sony 9 ' digital photo frame in black dpfv900,
449,alpine v-power series 4/3/2 channel power amplifier mrpf300,
450,canon vixia high definition camcorder hf100,
451,canon dvd camcorder dc310,
452,canon dvd camcorder dc320,
453,canon vixia high definition camcorder hv30,
454,transcend 133x high-speed 4gb compact flash card ts4gcf133,
455,canon silver flash memory camcorder fs100s,
456,canon silver dual flash memory camcorder fs11,
457,canon silver dual flash memory camcorder fs10,
458,canon vixia high definition camcorder hf10,
459,sirius siriusconnect vehicle kit in black scvdoc1,59.0
460,sharp aquos 52 ' special edition lcd black flat panel hdtv lc52se94u,
461,weber spirit sp-320 stainless steel liquid propane gas outdoor grill 3730001,
462,linksys wireless-g ethernet bridge wet54g,89.0
463,yamaha rx-v363bl 5.1 channel digital home theater receiver in black rxv363bk,199.0
464,sony silver minidv handycam camcorder dcrhc52,
465,yamaha all-weather pair speaker system nsaw390wh,149.0
466,sony 30gb handycam hard disk drive camcorder dcrsr45,
467,yamaha ns-aw390bl all-weather pair speaker system nsaw390bk,149.0
468,yamaha ns-aw190bl all-weather pair speaker system nsaw190bk,99.0
469,sony 60gb handycam hard disk drive camcorder dcrsr85,
470,sony high definition dvd handycam camcorder hdrux10,
471,yamaha 7.2 channel black digital home theater receiver rxv663bk,499.0
472,yamaha 7.2 channel black digital home theater receiver rxv863bk,899.0
473,yamaha 5.1 channel home theater in a box system in black yht390bk,399.0
474,apple macbook air superdrive mb397ga,99.0
475,kitchenaid proline series 16 cup food processor kpfp850ob,
476,sony silver cyber-shot digital camera dscs750,
