restaurant_id,restaurant_class,restaurant_nm,food_type,address,urban_center
212,210,` caffe roma ',` coffee bar ',' 385 broome st. at mulberry ',` new york '
213,211,` caffe vivaldi ',` coffee bar ','32 jones st. at bleecker st. ',` new york '
214,212,` caffe bondi ristorante ',italian,' 7 w. 20th st. ',` new york '
215,213,` capsouto freres ',french,' 451 washington st. near watts st. ',` new york '
216,214,` captain \ 's table ',seafood,' 860 2nd ave. at 46th st. ',` new york '
217,215,` casa la femme ',` middle eastern ',' 150 wooster st. between houston and prince sts . ',` new york '
218,216,` cendrillon asian grill & marimba bar ',asian,'45 mercer st. between broome and grand sts . ',` new york '
219,217,` chez jacqueline ',french,'72 macdougal st. between w. houston and bleecker sts . ',` new york '
220,218,chiam,asian,' 160 e. 48th st. ',` new york '
221,219,` china grill ',american,'60 w. 53rd st. ',` new york '
222,220,cite,french,' 120 w. 51st st. ',` new york '
223,221,` coco pazzo ',italian,'23 e. 74th st. ',` new york '
224,222,` columbus bakery ',` coffee bar ',' 53rd sts . ',` new york '
225,223,` corrado cafe ',` coffee bar ',' 1013 3rd ave. between 60th and 61st sts . ',` new york '
226,224,` cupcake cafe ',` coffee bar ',' 522 9th ave. at 39th st. ',` new york '
227,225,` da nico ',italian,' 164 mulberry st. between grand and broome sts . ',` new york '
228,226,` dean & deluca ',` coffee bar ',' 121 prince st. ',` new york '
229,227,diva,italian,' 341 w. broadway near grand st. ',` new york '
230,228,` dix et sept ',french,' 181 w. 10th st. ',` new york '
231,229,docks,seafood,' 633 3rd ave. at 40th st. ',` new york '
232,230,` duane park cafe ',american,' 157 duane st. between w. broadway and hudson st. ',` new york '
233,231,` el teddy \ 's ',mexican,' 219 w. broadway between franklin and white sts . ',` new york '
234,232,'em ily \ 's ',american,' 1325 5th ave. at 111th st. ',` new york '
235,233,'em pire korea ',asian,' 6 e. 32nd st. ',` new york '
236,234,` ernie \ 's ',american,' 2150 broadway between 75th and 76th sts . ',` new york '
237,235,` evergreen cafe ',asian,' 1288 1st ave. at 69th st. ',` new york '
238,236,` f. ille ponte ristorante ',italian,'39 desbrosses st. near west st. ',` new york '
239,237,felix,french,' 340 w. broadway at grand st. ',` new york '
240,238,ferrier,french,'29 e. 65th st. ',` new york '
241,239,` fifty seven fifty seven ',american,'57 e. 57th st. ',` new york '
242,240,` film center cafe ',american,' 635 9th ave. between 44th and 45th sts . ',` new york '
243,241,` fiorello \ 's roman cafe ',italian,' 1900 broadway between 63rd and 64th sts . ',` new york '
244,242,firehouse,american,' 522 columbus ave. between 85th and 86th sts . ',` new york '
245,243,first,american,'87 1st ave. between 5th and 6th sts . ',` new york '
246,244,` fishin eddie ',seafood,'73 w. 71st st. ',` new york '
247,245,` fleur de jour ',` coffee bar ',' 348 e. 62nd st. ',` new york '
248,246,flowers,american,'21 west 17th st. between 5th and 6th aves . ',` new york '
249,247,follonico,italian,' 6 w. 24th st. ',` new york '
250,248,` fraunces tavern ',american,'54 pearl st. at broad st. ',` new york '
251,249,` french roast ',french,' 458 6th ave. at 11th st. ',` new york '
252,250,` french roast cafe ',` coffee bar ',' 2340 broadway at 85th st. ',` new york '
253,251,` frico bar ',italian,' 402 w. 43rd st. off 9th ave. ',` new york '
254,252,` fujiyama mama ',asian,' 467 columbus ave. between 82nd and 83rd sts . ',` new york '
255,253,` gabriela \ 's ',mexican,' 685 amsterdam ave. at 93rd st. ',` new york '
256,254,` gallagher \ 's ',american,' 228 w. 52nd st. ',` new york '
257,255,` gianni \ 's ',seafood,'15 fulton st. ',` new york '
258,256,girafe,italian,' 208 e. 58th st. between 2nd and 3rd aves . ',` new york '
259,257,global,american,'33 93 2nd ave. between 5th and 6th sts . ',` new york '
260,258,` golden unicorn ',asian,'18 e. broadway at catherine st. ',` new york '
261,259,` grand ticino ',italian,' 228 thompson st. between w. 3rd and bleecker sts . ',` new york '
262,260,halcyon,american,' 151 w. 54th st. in the rihga royal hotel ',` new york '
263,261,` hard rock cafe ',american,' 221 w. 57th st. ',` new york '
264,262,` hi-life restaurant and lounge ',american,' 1340 1st ave. at 72nd st. ',` new york '
265,263,home,american,'20 cornelia st. between bleecker and w. 4th st. ',` new york '
266,264,` hudson river club ',american,' 4 world financial center ',` new york '
267,265,' i trulli ',italian,' 122 e. 27th st. between lexington and park aves . ',` new york '
268,266,` il cortile ',italian,' 125 mulberry st. between canal and hester sts . ',` new york '
269,268,` inca grill ',` latin american ',' 492 broome st. near w. broadway ',` new york '
270,269,indochine,asian,' 430 lafayette st. between 4th st. and astor pl . ',` new york '
271,270,` internet cafe ',` coffee bar ','82 e. 3rd st. between 1st and 2nd aves . ',` new york '
272,271,ipanema,` latin american ','13 w. 46th st. ',` new york '
273,272,` jean lafitte ',french,'68 w. 58th st. ',` new york '
274,273,` jewel of india ',asian,'15 w. 44th st. ',` new york '
275,274,` jimmy sung \ 's ',asian,' 219 e. 44th st. between 2nd and 3rd aves . ',` new york '
276,275,` joe allen ',american,' 326 w. 46th st. ',` new york '
277,276,` judson grill ',american,' 152 w. 52nd st. ',` new york '
278,277,` l \ ` absinthe ',french,' 227 e. 67th st. ',` new york '
279,278,` l \ ` auberge ',` middle eastern ',' 1191 1st ave. between 64th and 65th sts . ',` new york '
280,279,` l \ ` auberge du midi ',french,' 310 w. 4th st. between w. 12th and bank sts . ',` new york '
281,280,` l \ ` udo ',french,' 432 lafayette st. near astor pl . ',` new york '
282,281,` la reserve ',french,' 4 w. 49th st. ',` new york '
283,282,` lanza restaurant ',italian,' 168 1st ave. between 10th and 11th sts . ',` new york '
284,283,` lattanzi ristorante ',italian,' 361 w. 46th st. ',` new york '
285,284,layla,` middle eastern ',' 211 w. broadway at franklin st. ',` new york '
286,285,` le chantilly ',french,' 106 e. 57th st. ',` new york '
287,286,` le colonial ',asian,' 149 e. 57th st. ',` new york '
288,287,` le gamin ',` coffee bar ','50 macdougal st. between houston and prince sts . ',` new york '
289,288,` le jardin ',french,'25 cleveland pl . near spring st. ',` new york '
290,289,` le madri ',italian,' 168 w. 18th st. ',` new york '
291,290,` le marais ',american,' 150 w. 46th st. ',` new york '
292,291,` le perigord ',french,' 405 e. 52nd st. ',` new york '
293,292,` le select ',american,' 507 columbus ave. between 84th and 85th sts . ',` new york '
294,293,` les halles ',french,' 411 park ave. s between 28th and 29th sts . ',` new york '
295,294,` lincoln tavern ',american,'51 w. 64th st. ',` new york '
296,295,lola,american,'30 west 22nd st. between 5th and 6th ave. ',` new york '
297,296,` lucky strike ',` or 212/941 -0772 american ','59 grand st. between wooster st. and w. broadway ',` new york '
298,297,` mad fish ',seafood,' 2182 broadway between 77th and 78th sts . ',` new york '
299,298,` main street ',american,' 446 columbus ave. between 81st and 82nd sts . ',` new york '
300,299,` mangia e bevi ',italian,' 800 9th ave. at 53rd st. ',` new york '
301,300,` manhattan cafe ',american,' 1161 1st ave. between 63rd and 64th sts . ',` new york '
302,301,` manila garden ',asian,' 325 e. 14th st. between 1st and 2nd aves . ',` new york '
303,302,marichu,french,' 342 e. 46th st. between 1st and 2nd aves . ',` new york '
304,303,` marquet patisserie ',` coffee bar ','15 e. 12th st. between 5th ave. and university pl . ',` new york '
305,304,match,american,' 160 mercer st. between houston and prince sts . ',` new york '
306,305,` matthew \ 's ',american,' 1030 3rd ave. at 61st st. ',` new york '
307,306,` mavalli palace ',asian,'46 e. 29th st. ',` new york '
308,307,` milan cafe and coffee bar ',` coffee bar ',' 120 w. 23rd st. ',` new york '
309,308,` monkey bar ',american,'60 e. 54th st. ',` new york '
310,309,montien,asian,' 1134 1st ave. between 62nd and 63rd sts . ',` new york '
311,310,` morton \ 's ',american,' 551 5th ave. at 45th st. ',` new york '
312,311,` motown cafe ',american,' 104 w. 57th st. near 6th ave. ',` new york '
313,312,` new york kom tang soot bul house ',asian,'32 w. 32nd st. ',` new york '
314,313,` new york noodletown ',asian,'28 1/2 bowery at bayard st. ',` new york '
315,314,newsbar,` coffee bar ',' 2 w. 19th st. ',` new york '
316,315,odeon,american,' 145 w. broadway at thomas st. ',` new york '
317,316,orso,italian,' 322 w. 46th st. ',` new york '
