restaurant_id,city_name,location_address,business_phone,category,quality_score
318,` new york ',' 142 w. 44th st. ',212/944 -3643,italian,317
319,` new york ','68 e. 56th st. ',212/223 -7575,asian,318
320,` new york ',' 138 lafayette st. between canal and howard sts . ',212/941 -4168,asian,319
321,` new york ',' 151 w. 51st . st. ',212/245 -4850,italian,320
322,` new york ',' 1065 1st ave. at 58th st. ',212/644 -9258,` middle eastern ',321
323,` new york ','24 e. 81st st. ',212/288 -2391,italian,322
324,` new york ',' 250 park ave. s at 20th st. ',212/777 -6211,` latin american ',323
325,` new york ',' 301 park ave. between 49th and 50th sts . ',212/872 -4895,french,324
326,` new york ',' 205 e. 45th st. ',212/682 -8660,american,325
327,` new york ',' 109 spring st. between greene and mercer sts . ',212/274 -8883,asian,326
328,` new york ',' 1423 2nd ave. between 74th and 75th sts . ',212/535 -1100,` middle eastern ',327
329,` new york ',' 140 w. 57th st. ',212/333 -7827,american,328
330,` new york ',' 371 w. 46th st. off 9th ave. ',' 212 / 956-3055 ',` latin american ',329
331,` new york ',' 551 amsterdam ave. between 86th and 87th sts . ',212/595 -8555,american,330
332,` new york ','28 e. 63rd st. ',212/935 -2888,american,331
333,` new york ',' 100 w. 82nd st. ',212/501 -0776,asian,332
334,` new york ',' 439 e. 75th st. ',212/734 -4893,` eastern european ',333
335,` new york ',' 37a union sq. w between 16th and 17th sts . ',212/627 -7172,asian,335
336,` new york ',' 126 e. 7th st. between 1st ave. and ave. a ',212/674 -4140,continental,336
337,` new york ',' 1063 1st ave. at 58th st. ',212/753 -7407,mexican,337
338,` new york ',' 148 w. 51st st. ',212/245 -9600,american,338
339,` new york ',' 133 mulberry st. between hester and grand sts . ',212/925 -3120,italian,339
340,` new york ','55 irving pl . ',212/982 -9030,italian,340
341,` new york ',' 157 chrystie st. at delancey st. ',212/673 -0330,` east european ',341
342,` new york ','18 e. 54th st. ',212/753 -9015,italian,342
