p_id,tel,establishment_name,urban_center,address,grade
424,702/739 -4111,` bally \ 's big kitchen ',` las vegas ',' 3645 las vegas blvd. s ',424
425,702/871 -3262,` bamboo garden ',` las vegas ',' 4850 flamingo rd. ',425
426,702/732 -1424,` battista \ 's hole in the wall ',` las vegas ',' 4041 audrie st. at flamingo rd. ',426
427,702/735 -4663,` bertolini \ 's ',` las vegas ',' 3570 las vegas blvd. s ',427
428,702/382 -1600,` binion \ 's coffee shop ',` las vegas ',' 128 fremont st. ',428
429,702/791 -7111,bistro,` las vegas ',' 3400 las vegas blvd. s ',429
430,702/432 -7777,broiler,` las vegas ',' 4111 boulder hwy . ',430
431,702/733 -3111,` bugsy \ 's diner ',` las vegas ',' 3555 las vegas blvd. s ',431
432,702/735 -8686,` cafe michelle ',` las vegas ',' 1350 e. flamingo rd. ',432
433,702/731 -7547,` cafe roma ',` las vegas ',' 3570 las vegas blvd. s ',433
434,702/731 -5311,` capozzoli \ 's ',` las vegas ',' 3333 s. maryland pkwy . ',434
435,702/252 -7777,` carnival world ',` las vegas ',' 3700 w. flamingo rd. ',435
436,702/386 -2512,` center stage plaza hotel ',` las vegas ',' 1 main st. ',436
437,702/734 -0410,` circus circus ',` las vegas ',' 2880 las vegas blvd. s ',437
438,702/731 -7888,'em press court ',` las vegas ',' 3570 las vegas blvd. s ',438
439,702/367 -2411,feast,` las vegas ',' 2411 w. sahara ave. ',439
440,702/385 -7111,` golden nugget hotel ',` las vegas ',' 129 e. fremont st. ',440
441,702/384 -4470,` golden steer ',` las vegas ',' 308 w. sahara ave. ',441
442,702/385 -7111,` lillie langtry \ 's ',` las vegas ',' 129 e. fremont st. ',442
443,702/737 -1234,` mandarin court ',` las vegas ',' 1510 e. flamingo rd. ',443
444,702/794 -8200,` margarita \ 's mexican cantina ',` las vegas ',' 3120 las vegas blvd. s ',444
445,702/454 -8073,` mary \ 's diner ',` las vegas ',' 5111 w. boulder hwy . ',445
446,702/791 -7111,mikado,` las vegas ',' 3400 las vegas blvd. s ',446
447,702/733 -2066,pamplemousse,` las vegas ',' 400 e. sahara ave. ',447
448,702/732 -6330,` ralph \ 's diner ',` las vegas ',' 3000 las vegas blvd. s ',448
449,702/731 -7525,` the bacchanal ',` las vegas ',' 3570 las vegas blvd. s ',449
450,702/876 -4190,venetian,` las vegas ',' 3713 w. sahara ave. ',450
451,702/871 -8826,` viva mercado \ 's ',` las vegas ',' 6182 w. flamingo rd. ',451
452,702/794 -0700,` yolie \ 's ',` las vegas ',' 3900 paradise rd. ',452
453,415/431 -0692,2223,` san francisco ',' 2223 market st. ',453
454,415/567 -5432,acquarello,` san francisco ',' 1722 sacramento st. ',454
455,415/982 -0243,` bardelli \ 's ',` san francisco ',' 243 o \ ` farrell st. ',455
456,415/929 -8855,betelnut,` san francisco ',' 2030 union st. ',456
457,415/495 -6500,` bistro roti ',` san francisco ',' 155 steuart st. ',457
458,415/433 -6300,bix,` san francisco ','56 gold st. ',458
459,415/543 -2222,bizou,` san francisco ',' 598 fourth st. ',459
460,415/776 -7766,` buca giovanni ',` san francisco ',' 800 greenwich st. ',460
461,415/474 -4180,` cafe adriano ',` san francisco ',' 3347 fillmore st. ',461
462,415/776 -1506,` cafe marimba ',` san francisco ',' 2317 chestnut st. ',462
463,415/771 -3500,` california culinary academy ',` san francisco ',' 625 polk st. ',463
464,415/989 -2589,` capp \ 's corner ',` san francisco ',' 1600 powell st. ',464
465,415/863 -3516,carta,` san francisco ',' 1772 market st. ',465
466,415/543 -8060,chevys,` san francisco ',' 4th and howard sts . ',466
467,415/296 -8555,` cypress club ',` san francisco ',' 500 jackson st. ',467
468,415/788 -9900,` des alpes ',` san francisco ',' 732 broadway ',468
