location_id,place,address,contact_phone,restaurant_name,classification
0,` west la ',' 10801 w. pico blvd. ',310-475-3585,` apple pan the ',534
1,` west la ',' 2027 sawtelle blvd. ',310-479-2231,` asahi ramen ',535
2,` westlake village ',' 3345 kimber dr. ',805-498-4049,` baja fresh ',536
3,` beverly hills ',' 9882 little santa monica blvd. ',310-788-2306,` belvedere the ',537
4,` santa monica ',' 1433 third st. promenade ',310-458-2889,` benita \ 's frites ',538
5,` los angeles ',' 515 s. olive st. ',213-612-1580,` bernard \ 's ',539
6,pasadena,'45 s. mentor ave. ',818-795-2478,` bistro 45 ',540
7,northridge,' 19565 parthenia ave. ',818-886-5679,` brent \ 's deli ',541
8,` beverly hills ',' 9600 brighton way ',310-276-7732,` brighton coffee shop ',542
9,pasadena,' 1570 rosecrans ave. s. ',310-643-5229,` bristol farms market cafe ',543
10,` mar vista ',' 3838 centinela ave. ',310-397-5703,` bruno \ 's ',544
11,venice,' 838 lincoln blvd. ',310-399-1955,` cafe \ '50s ',545
12,` beverly hills ',' 9777 little santa monica blvd. ',310-888-0108,` cafe blanc ',546
13,la,' 3266 w. sixth st. ',213-480-8668,` cassell \ 's ',547
14,` redondo beach ',' 1716 pch ',310-540-1222,` chez melange ',548
15,` w. hollywood ',' 1020 n. san vicente blvd. ',310-854-1111,diaghilev,549
16,westwood,' 1136 westwood blvd. ',310-209-1422,` don antonio \ 's ',550
17,` w. hollywood ',' 8909 sunset blvd. ',310-652-3100,` duke \ 's ',551
18,westwood,' 1059 broxton ave. ',310-208-4444,` falafel king ',552
19,` west la ',' 1949 westwood blvd. ',310-475-0400,` feast from the east ',553
20,la,' 6333 w. third st. ',213-933-0358,` gumbo pot the ',554
21,hollywood,' 6145 franklin ave. ',213-467-7678,` hollywood hills coffee shop ',555
22,la,' 10428 1/2 national blvd. ',310-815-1290,` indo cafe ',556
23,la,' 8424 beverly blvd. ',213-651-2866,` jan \ 's family restaurant ',557
24,` santa monica ',' 502 santa monica blvd ',310-917-6671,jiraffe,558
25,venice,' 2011 ocean front walk ',310-306-1995,` jody maroni \ 's sausage kingdom ',559
26,venice,' 1023 abbot kinney blvd. ',310-399-5811,` joe \ 's ',560
27,` west la ',' 10516 w. pico blvd. ',310-204-0692,` john o \ ` groats ',561
28,` culver city ',' 4017 s. sepulveda blvd. ',310-397-6654,` johnnie \ 's pastrami ',562
29,` long beach ',' 4663 long beach blvd. ',310-423-7327,` johnny reb \ 's southern smokehouse ',563
30,la,' 7507 melrose ave. ',213-651-3361,` johnny rockets ( la ) ',564
31,` studio city ',' 4000 colfax ave. ',818-508-1570,` killer shrimp ',565
32,la,' 6333 w. third st. ',213-933-0773,` kokomo cafe ',566
33,la,' 8393 w. beverly blvd. ',213-655-9045,` koo koo roo ',567
34,` century city ',' 10506 little santa monica blvd. ',310-470-4992,` la cachette ',568
35,malibu,' 22800 pch ',310-456-6299,` la salsa ( la ) ',569
36,` st. boyle hts . ',' 1842 e. first ',213-265-2887,` la serenata de garibaldi ',570
37,la,' 704 s. alvarado st. ',213-483-8050,` langer \ 's ',571
38,` westlake village ',' 30869 thousand oaks blvd. ',818-706-7706,` local nochol ',572
