record_id,restaurant_type,score,phone_num,place_name,district
100,steakhouses,634,212-687-2953,palm,` new york city '
101,steakhouses,635,212-697-5198,` palm too ',` new york city '
102,pizza,636,718-858-4300,` patsy \ 's pizza ',brooklyn
103,steakhouses,637,718-387-7400,` peter luger steak house ',brooklyn
104,indian,638,212-533-5011,` rose of india ',` new york city '
105,chinese,639,212-213-2288,` sam \ 's noodle shop ',` new york city '
106,american,640,212-410-7335,` sarabeth \ 's ',` new york city '
107,steakhouses,641,212-687-4855,` sparks steak house ',` new york city '
108,bbq,642,718-937-3030,` stick to your ribs ',queens
109,japanese,643,212-755-1780,sushisay,` new york city '
110,southern/soul,644,212-996-0660,` sylvia \ 's ',` new york city '
111,chinese,645,212-535-5223,` szechuan hunan cottage ',` new york city '
112,chinese,646,212-249-4615,` szechuan kitchen ',` new york city '
113,polish,647,718-520-2910,` teresa \ 's ',queens
114,thai,648,212-334-1085,` thai house cafe ',` new york city '
115,thai,649,212-349-3132,` thailand restaurant ',` new york city '
116,ukrainian,650,212-228-9682,veselka,` new york city '
117,chinese,651,212-245-0800,` westside cottage ',` new york city '
118,eclectic,652,212-524-7000,` windows on the world ',` new york city '
119,steakhouses,653,212-753-0444,` wollensky \ 's grill ',` new york city '
120,japanese,654,212-475-0969,yama,` new york city '
121,mexican,655,212-644-6740,zarela,` new york city '
122,` french ( classic ) ',656,702-385-5016,` andre \ 's french restaurant ',` las vegas '
123,continental,657,702-894-7350,` buccaneer bay club ',` las vegas '
124,seafood,658,702-252-7697,` buzio \ 's in the rio ',` las vegas '
125,seafood,659,702-891-7374,'em eril \ 's new orleans fish house ',` las vegas '
126,italian,660,702-252-7702,` fiore rotisserie & grille ',` las vegas '
127,continental,661,702-385-4011,` hugo \ 's cellar ',` las vegas '
128,asian,662,702-894-7111,` madame ching \ 's ',` las vegas '
129,chinese,663,702-870-8432,` mayflower cuisinier ',` las vegas '
130,continental,664,702-737-7111,` michael \ 's ( las vegas ) ',` las vegas '
131,` french ( new ) ',665,702-733-4524,` monte carlo ',` las vegas '
132,chinese,666,702-791-7352,moongate,` las vegas '
133,steakhouses,667,702-893-0703,` morton \ 's of chicago ( las vegas ) ',` las vegas '
134,italian,668,702-792-9900,` nicky blair \ 's ',` las vegas '
135,italian,669,702-369-2305,` piero \ 's restaurant ',` las vegas '
136,californian,670,702-369-6300,` spago ( las vegas ) ',` las vegas '
137,steakhouses,671,702-382-1600,` steakhouse the ',` las vegas '
138,italian,672,702-385-7111,` stefano \ 's ',` las vegas '
139,eclectic,673,702-739-4651,` sterling brunch ',` las vegas '
140,italian,674,702-891-7331,` tre visi ',` las vegas '
141,continental,675,404-233-5993,' 103 west ',atlanta
142,sandwiches,676,404-724-0444,` alon \ 's at the terrace ',atlanta
143,cajun/creole,677,404-223-5039,` baker \ 's cajun cafe ',atlanta
144,bbq,678,404-766-9906,` barbecue kitchen ',atlanta
145,` french bistro ',679,404-231-5733,` bistro the ',atlanta
146,southern/soul,680,404-876-3872,` bobby & june \ 's kountry kitchen ',atlanta
