restaurant_id,physical_address,phone_number,restaurant_category,city_name,quality_score
200,' 288 noe st. ',415-431-7210,mediterranean,` san francisco ',735
201,' 2889 mission st. ',415-285-7117,mexican,` san francisco ',736
202,' 2209 polk st. ',415-776-8226,italian,` san francisco ',737
203,' 2225 irving st. ',415-665-9500,thai,` san francisco ',738
204,' 3355 geary st. ',415-387-2244,hamburgers,` san francisco ',739
205,' 1322 grant st. ',415-788-3779,hamburgers,` san francisco ',740
206,' 631 larkin st. ',415-775-5979,cambodian,` san francisco ',741
207,' 2817 24th st. ',415-550-9213,mexican,` san francisco ',742
208,' 300 de haro st. ',415-626-6006,american,` san francisco ',743
209,' 1328 18th st. ',415-431-8956,thai,` san francisco ',744
210,' 584 valencia st. ',415-861-8032,vietnamese,` san francisco ',745
211,' 1517 polk st. ',415-673-1101,seafood,` san francisco ',746
212,' 400 waller st. ',415-431-2526,thai,` san francisco ',747
213,' 3108 16th st. ',415-252-7373,french,` san francisco ',748
214,' 1870 fillmore st. ',415-563-2248,american,` san francisco ',749
215,' 8 sixth st. ',415-626-0927,vietnamese,` san francisco ',750
216,' 201 ivy st. ',415-863-2382,pizza,` san francisco ',751
217,' 2141 polk st. ',415-775-1055,mexican,` san francisco ',752
218,' 435 s. la cienega blvd. ',310-246-1501,steakhouses,` los angeles ',0
219,' 12224 ventura blvd. ',818-762-1221,delis,` studio city ',1
220,' 701 stone canyon rd. ',310-472-1211,californian,` bel air ',2
221,' 14016 ventura blvd. ',818-788-3536,` french bistro ',` sherman oaks ',3
222,' 624 s. la brea ave. ',213-938-1447,californian,` los angeles ',4
223,' 2709 main st. ',310-392-9025,` pacific new wave ',` santa monica ',5
224,' 6703 melrose ave. ',213-857-0034,californian,` los angeles ',6
225,' 8358 sunset blvd. ',213-848-6677,` french ( new ) ',` w. hollywood ',7
226,' 23725 w. malibu rd. ',310-456-0488,californian,malibu,8
227,' 9560 dayton way ',310-276-0615,` american ( traditional ) ',` beverly hills ',9
228,' 1972 hillhurst ave. ',213-665-1891,japanese,` los feliz ',10
229,' 903 n. la cienega blvd. ',310-652-9770,` french ( classic ) ',` w. hollywood ',11
230,' 8284 melrose ave. ',213-655-8880,` french bistro ',` los angeles ',12
231,' 8638 w. third st. ',310-274-1893,italian,` los angeles ',13
232,' 129 n. la cienega blvd. ',310-659-9639,seafood,` beverly hills ',14
233,' 9001 santa monica blvd. ',310-550-8811,steakhouses,` w. hollywood ',15
234,' 5955 melrose ave. ',213-467-1108,californian,` los angeles ',16
235,' 1001 n. alameda st. ',213-628-3781,cafeterias,chinatown,17
236,' 12969 ventura blvd. ',818-990-0500,` french bistro ',` studio city ',18
237,' 617 s. olive st. ',213-627-2300,` nuova cucina italian ',` los angeles ',19
238,' 8795 sunset blvd. ',310-652-4025,californian,` w. hollywood ',20
239,' 3115 pico blvd. ',310-829-4313,italian,` santa monica ',21
240,'67 n. raymond ave. ',818-585-0855,chinese,pasadena,22
241,'21 w. 52nd st. ',212-582-7200,` american ( new ) ',` new york city ',23
242,'13 w. 54th st. ',212-307-7311,scandinavian,` new york city ',24
243,'34 e. 61st st. ',212-319-1660,` american ( new ) ',` new york city ',25
244,' 201 w. 83rd st. ',212-496-6031,coffeehouses,` new york city ',26
