entry_id,track,duration_min,music_style,issue_date,album,artist_title,copyright_info,music_price
0,Runaway Train,3:01,"Country , Music , Contemporary Country , Honky Tonk",31-Mar-15,Welcome to Cam Country - EP,Cam,2015 Sony Music Entertainment,$ 0.99
1,Track 14,3:41,"Pop/Rock , Music , Pop , Dance , R&B / Soul",,Me 4 U,Omi,"2015 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment",Album Only
2,Lips Are Movin,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",9-Jan-15,Title,Meghan Trainor,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",$ 1.29
3,I Want a Hippopotamus for Christmas,2:20,"Holiday , Music",24-Nov-14,I 'll Be Home For Christmas,A Great Big World,"Compilation ( P ) 2014 Epic Records , a division of Sony Music Entertainment",$ 1.29
4,Credit,2:51,"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop",9-Jan-15,Title ( Deluxe ),Meghan Trainor,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",$ 1.29
5,Lips Are Movin,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",9-Jan-15,Title,Meghan Trainor,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",$ 1.29
6,Lips Are Movin,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",9-Jan-15,Title,Meghan Trainor,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",$ 1.29
7,Lips Are Movin,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",9-Jan-15,Title,Meghan Trainor,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",$ 1.29
8,Lips Are Movin,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",9-Jan-15,Title,Meghan Trainor,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",$ 1.29
9,Perfect,4:02,"Pop , Music , Rock",,Revival ( Deluxe ),Selena Gomez,2015 Interscope Records,Album Only
10,Wrapped Up ( Live ),3:01,"Pop , Music",21-Apr-15,Radio Disney Music Awards,Olly Murs,2015 Walt Disney Records,Album Only
11,Lips Are Movin,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",9-Jan-15,Title,Meghan Trainor,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",$ 1.29
12,Lips Are Movin,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",9-Jan-15,Title,Meghan Trainor,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",$ 1.29
13,On Trees and Birds and Fire ( CHS6 Edit ) [ Sam Feldt & Bloombox Remix ],3:33,"Dance , Music",1-Feb-15,Chilled House Session 2015 - Ministry of Sound,I Am Oak,2015 Ministry of Sound Recordings Ltd,Album Only
14,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ],3:34,"Dance , Music , Rock , Adult Alternative , Electronic",11-Jul-13,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] - Single,Lana Del Rey & Cedric Gervais,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
15,Thank You Baby,6:58,"Dance , Music",23-Nov-14,Defected Presents Most Rated 2015,Krankbrother,2014 Defected Records Limited,$ 1.29
16,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],8:13,"Alternative , Music , Rock",19-Nov-12,Ride ( Remixes ),Lana Del Rey,2012 Polydor Ltd. ( UK ),$ 1.29
17,West Coast ( MK Remix ),5:26,"Alternative , Music , Rock",13-Jul-14,West Coast ( Remix EP ),Lana Del Rey,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
18,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] [ Cedric Gervais Remix Radio Edit ],3:47,"Alternative , Music , Rock",29-Oct-13,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] ( Cedric Gervais Remix Radio Edit ) - Single,Lana Del Rey & Cedric Gervais,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,$ 1.29
