song_entry_id,song_label,album_title,time_length,purchase_price,record_label,singer,track_genre,launch_date
1381,Midnight Request Line ( Superstar DJs Edit ),Superstar DJs - Ministry of Sound,3:52,Album Only,2013 Ministry of Sound Recordings Ltd.,Skream,"Dance , Music",1-Jul-13
1382,Strange Days,The Mortal Instruments : City of Bones ( Original Motion Picture Soundtrack ),5:45,$ 1.29,"2013 Universal Republic Records , a division of UMG Recordings , Inc.",Bryan Ellis,"Soundtrack , Music",20-Aug-13
1383,DJ Mix,House Beats Made in Germany Vol . 2,58:48:00,Album Only,"2012 Bazooka , a division of zooland Music GmbH",Spencer & Hill,"Dance , Music , Electronic",30-Mar-12
1384,Human,Spectrum EP,4:17,$ 1.29,2012 Interscope Records,Zedd & Nicky Romero,"Dance , Music , Electronic , House",31-Jul-12
1385,Human,Spectrum EP,4:17,$ 1.29,2012 Interscope Records,Zedd & Nicky Romero,"Dance , Music , Electronic , House",31-Jul-12
1386,Human,Spectrum EP,4:17,$ 1.29,2012 Interscope Records,Zedd & Nicky Romero,"Dance , Music , Electronic , House",31-Jul-12
1387,Human,Spectrum EP,4:17,$ 1.29,2012 Interscope Records,Zedd & Nicky Romero,"Dance , Music , Electronic , House",31-Jul-12
1388,Human,Spectrum EP,4:17,$ 1.29,2012 Interscope Records,Zedd & Nicky Romero,"Dance , Music , Electronic , House",31-Jul-12
1389,Human,Spectrum EP,4:17,$ 1.29,2012 Interscope Records,Zedd & Nicky Romero,"Dance , Music , Electronic , House",31-Jul-12
1390,Human,Spectrum EP,4:17,$ 1.29,2012 Interscope Records,Zedd & Nicky Romero,"Dance , Music , Electronic , House",31-Jul-12
1391,Human,Spectrum EP,4:17,$ 1.29,2012 Interscope Records,Zedd & Nicky Romero,"Dance , Music , Electronic , House",31-Jul-12
1392,Human,Spectrum EP,4:17,$ 1.29,2012 Interscope Records,Zedd & Nicky Romero,"Dance , Music , Electronic , House",31-Jul-12
1393,LukeSkyTampa ( Original Mix ) [ Darth & Vader vs. FTampa ],Electro Tomorrowland,6:07,$ 0.99,"2012 Bazooka , a division of zooland Music GmbH",Darth & Vader & FTampa,"Dance , Music , Electronic",31-Aug-12
1394,Forest Fires ( RT Summer 2014 Edit ),Running Trax Summer 2014 - Ministry of Sound,3:25,$ 1.29,2014 Ministry of Sound Recordings Ltd,Fred V & Grafix,"Fitness & Workout , Music",22-Jun-14
1395,Red Lights,NOW That 's What I Call a Workout 4,3:21,Album Only,"2014 UMG Recordings , Inc. and Sony Music Entertainment",Ti ' âsto,"Fitness & Workout , Music",19-May-14
1396,Man With the Red Face ( Running Trax 2014 Edit ) [ feat . Funkagenda ] [ Hardwell Remix ],Running Trax 2014 - Ministry of Sound,4:47,$ 1.29,2013 Ministry of Sound Recordings Ltd,Mark Knight,"Fitness & Workout , Music",18-Dec-13
1397,Without You ( The Annual 2014 Us Edit ) [ feat . Totally Enormous Extinct Dinosaurs ],The Annual 2014 - Ministry of Sound,3:59,Album Only,2013 Ministry of Sound Recordings Ltd.,Dillon Francis,"Dance , Music",11-Nov-13
1398,Sexy and I Know It,NOW That 's What I Call a Workout,3:19,Album Only,"Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",LMFAO,"Fitness & Workout , Music , Pop",18-Dec-12
1399,Addicted 2 the Bass ( EDM Euphoria 2013 Edit ) [ Daahype 's Trap VIP ],EDM Euphoria 2013,3:11,$ 1.29,2013 Euphoria,Wideboys,"Dance , Music",16-Sep-13
1400,If I Lose Myself ( Alesso vs OneRepublic ),NOW That 's What I Call a Workout 2,3:33,Album Only,"2013 UMG Recordings , Inc. and Sony Music Entertainment",OneRepublic & Alesso,"Fitness & Workout , Music",18-Jun-13
1401,Now You See Me ( Spellbound Remix ),Now You See Me ( Original Motion Picture Soundtrack ),4:20,Album Only,2013 Glassnote Entertainment Group LLC,Brian Tyler,"Soundtrack , Music",18-Jun-13
1402,"Club Life , Vol . 3 - Stockholm - Digital Booklet","Club Life , Vol . 3 - Stockholm",--,Album Only,2013 Musical Freedom,Ti ' âsto,"Dance , Music , Trance , Electronic",18-Jun-13
1403,Autonomy ( Cold Blank Mix ),Autonomy - EP,4:59,$ 0.99,2011 Bugeyed Records,Zedd,"Dance , Music",28-Mar-11
