song_entry_id,rights_info,price_amount,music_title,genre_name,performer_name,release_day,album_title_name,track_time
2762,2011 3cg Records ( Fbo Red Cross ) . All Rights Reserved 11102 .,$ 0.99,The East Wood Fox,"Alternative , Music",Drawn from Bees,5-Apr-11,SXSW4Japan,4:10
2763,2012 S-Curve Records,$ 1.99,The Heavy and the Slow ( Live ),"Pop , Music , Rock",Andy Grammer,13-Mar-12,Live from L.A.,4:31
2764,2012 S-Curve Records,$ 1.99,The Heavy and the Slow ( Live ),"Pop , Music , Rock",Andy Grammer,13-Mar-12,Live from L.A.,4:31
2765,2012 S-Curve Records,$ 1.99,The Heavy and the Slow ( Live ),"Pop , Music , Rock",Andy Grammer,13-Mar-12,Live from L.A.,4:31
2766,"Compilation 2013 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",Album Only,Safe and Sound ( NOW What 's Next Bonus Track ),"Pop , Music",Capital Cities,5-Feb-13,Now 45,3:12
2767,"2012 RCA Records , a division of Sony Music Entertainment",$ 1.29,Anna Sun ( Live ),"Alternative , Music",WALK THE MOON,10-Sep-12,iTunes Festival : London 2012 - EP,6:11
2768,"2012 RCA Records , a division of Sony Music Entertainment",$ 1.29,Anna Sun ( Live ),"Alternative , Music",WALK THE MOON,10-Sep-12,iTunes Festival : London 2012 - EP,6:11
2769,"2012 RCA Records , a division of Sony Music Entertainment",$ 1.29,Anna Sun ( Live ),"Alternative , Music",WALK THE MOON,10-Sep-12,iTunes Festival : London 2012 - EP,6:11
2770,"2012 RCA Records , a division of Sony Music Entertainment",$ 1.29,Anna Sun ( Live ),"Alternative , Music",WALK THE MOON,10-Sep-12,iTunes Festival : London 2012 - EP,6:11
2771,"2012 RCA Records , a division of Sony Music Entertainment",$ 1.29,Anna Sun ( Live ),"Alternative , Music",WALK THE MOON,10-Sep-12,iTunes Festival : London 2012 - EP,6:11
2772,"2013 RCA Records , a division of Sony Music Entertainment",$ 1.29,Burning Down the House ( Live ),"Alternative , Music , Rock , Indie Rock",WALK THE MOON,18-Jan-13,Tightrope - EP,3:51
2773,"2013 RCA Records , a division of Sony Music Entertainment",$ 1.29,Burning Down the House ( Live ),"Alternative , Music , Rock , Indie Rock",WALK THE MOON,18-Jan-13,Tightrope - EP,3:51
2774,"2013 Hollywood Records , Inc.",$ 1.29,Let 's Go All the Way ( feat . Ashley Hamilton & Robbie Williams ),"Soundtrack , Music",The Wondergirls,22-Apr-13,Iron Man 3 : Heroes Fall ( Music Inspired By the Motion Picture ),4:28
2775,"2015 RCA Records , a division of Sony Music Entertainment",$ 1.29,Different Colors ( Acoustic ),"Alternative , Music , Indie Rock , Rock",WALK THE MOON,4-Sep-15,Shut Up and Dance ( Acoustic ) - Single,3:24
2776,"2015 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.99,Take Your Time,"Country , Music",Sam Hunt,4-Sep-15,Take Your Time ( Deluxe Single ),3:58
2777,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2778,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2779,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2780,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2781,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2782,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2783,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2784,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2785,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2786,"2014 MCA Nashville , a Division of UMG Recordings , Inc.",$ 1.29,Speakers,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Sam Hunt,27-Oct-14,Montevallo,3:46
2787,2012 S-Curve Records,$ 1.99,The Heavy and the Slow ( Live ),"Pop , Music , Rock",Andy Grammer,13-Mar-12,Live from L.A.,4:31
