song_id,paid_amount,copyright_text,publication_date,album,creator,genre_class,song_duration,song_label
4143,$ 1.29,"2015 The Weeknd XO , Inc. . Manufactured and Marketed by Republic Records , a Division of UMG Recordings , Inc.",28-Aug-15,Beauty Behind the Madness,The Weeknd,"R&B / Soul , Music",6:17,Angel
4144,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4145,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4146,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4147,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4148,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4149,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4150,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4151,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4152,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4153,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4154,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4155,$ 1.29,2015 Kemosabe Records,23-Mar-15,I 'm That ... ( Remix ) [ feat . Beenie Man & Azealia Banks ] - Single,R. City,"Hip-Hop/Rap , Music",3:30,I 'm That ... ( Remix ) [ feat . Beenie Man & Azealia Banks ]
4156,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4157,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4158,$ 1.29,2008 Geffen Records,22-Apr-08,Losin ' It - Single,R. City,"Hip-Hop/Rap , Music",3:56,Losin ' It
4159,$ 1.29,2014 Kemosabe Records,14-Oct-14,I 'm That ... ( feat . 2 Chainz ) - Single,R. City,"Hip-Hop/Rap , Music",3:19,I 'm That ... ( feat . 2 Chainz )
4160,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4161,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4162,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
4163,Album Only,2015 Kemosabe Records,,What Dreams Are Made Of,R. City,"Pop,Music,Hip-Hop / Rap , Rap , Rock",--,Track 14
