item_id,pricing,p_name
648,,contour design showcase premium protection case for 80 gb ipod classic shcls80b02
649,,samsung 46 ' series 7 lcd black flat panel hdtv ln46a750
650,,samsung 40 ' series 7 lcd black flat panel hdtv ln40a750
651,,mitsubishi 735 series 60 ' 1080p dlp rear projection black hdtv wd60735
652,,mitsubishi 735 series 65 ' 1080p dlp rear projection black hdtv wd65735
653,,mitsubishi 736 series 65 ' 1080p dlp rear projection black hdtv wd65736
654,,panasonic viera 50 ' plasma flat panel black hdtv th50pz800u
655,159.0,lacie 500gb d2 quadra external hard drive 301825u
656,,onkyo black cd receiver system cs325
657,48.0,panasonic dect 6.0 black expandable digital cordless phone kxtg9361b
658,19.0,sony 1gb memory stick pro duo mark 2 media card msmt1g
659,29.99,sony 2gb memory stick pro duo mark 2 media card msmt2g
660,,sony 4gb memory stick pro duo mark 2 media card msmt4g
661,,sony 8gb memory stick pro duo mark 2 media card msmt8g
662,,sony 16gb memory stick pro duo mark 2 media card msmt16g
663,,canon bci-6 multipack ink tanks 4705a018
664,,panasonic dect 6.0 black expandable digital cordless phone system kxtg9372b
665,,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t
666,,samsung 52 ' series 7 black flat panel lcd hdtv ln52a750
667,,canon pg-40 black ink cartridge twin pack pg40tbk
668,308.0,pioneer black premier single cd receiver dehp700bt
669,,sony dslr-a350 digital camera and 18-70mm zoom lens dslra350k
670,,speck seethru clear hard shell case for macbook air mbaclrsee
671,,speck seethru pink hard shell case for macbook air mbapnksee
672,,sony picture station digital photo printer dppfp95
673,,lg stainless steel freestanding electric range lre30453ss
674,,sony 19 ' bravia m-series silver lcd flat panel hdtv kdl19m4000s
675,,sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000
676,,lg ldc22720st 22 cu . ft. smooth white bottom freezer refrigerator ldc22720ss
677,,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100
678,246.95,tomtom one 130s car gps navigation system 1ee005202
679,246.95,tomtom one xl 330 car gps navigation system 1eg005200
680,,sony 32 ' bravia l-series black lcd flat panel hdtv kdl32l4000
681,296.95,tomtom one xl 330s car gps navigation system 1eg005201
682,,sony 46 ' bravia w-series black lcd flat panel hdtv kdl46w4100
683,,sony 52 ' bravia v-series black lcd flat panel hdtv kdl52v4100
684,,sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100
685,,sony black 9 megapixel cyber-shot digital camera dsch50b
686,,onkyo 7.1-channel home theater black receiver txsr606b
687,,sony black 13.6 megapixel cyber-shot digital camera dscw300
