item_id,music_album,play_time,release_date,copyright_details,song_title,singer_name,genre_class,item_price
5524,Caught In the Act ( Live ),3:49,5-Apr-13,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",Country Music Jesus ( Live ),Eric Church,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29
5525,Caught In the Act ( Live ),4:55,5-Apr-13,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",Pledge Allegiance to the Hag ( Live ),Eric Church,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29
5526,Caught In the Act ( Live ),4:31,5-Apr-13,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",Jack Daniels ( Live ),Eric Church,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29
5527,Caught In the Act ( Live ),4:42,5-Apr-13,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",Homeboy ( Live ),Eric Church,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29
5528,Caught In the Act ( Live ),4:21,5-Apr-13,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",Lotta Boot Left to Fill ( Live ),Eric Church,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29
5529,Caught In the Act ( Live ),4:58,5-Apr-13,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",Smoke a Little Smoke ( Live ),Eric Church,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29
5530,Caught In the Act ( Live ),4:01,5-Apr-13,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",These Boots ( Live ),Eric Church,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29
5531,Caught In the Act ( Live ),9:03,5-Apr-13,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",Springsteen ( Live ),Eric Church,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29
5532,Chief,3:52,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Creepin ',Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5533,Chief,3:11,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Drink In My Hand,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5534,Chief,2:38,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Keep On,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5535,Chief,3:18,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Like Jesus Does,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5536,Chief,2:53,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Hungover & Hard Up,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5537,Chief,3:47,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Homeboy,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5538,Chief,3:52,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Country Music Jesus,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5539,Chief,5:04,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Jack Daniels,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5540,Chief,4:23,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Springsteen,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5541,Chief,4:02,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",I 'm Gettin ' Stoned,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5542,Chief,2:39,22-Jul-11,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Over When It 's Over,Eric Church,"Country , Music , Rock , Contemporary Country , Urban Cowboy",$ 1.29
5543,Carolina,3:22,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Ai n't Killed Me Yet,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5544,Carolina,3:24,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Lotta Boot Left to Fill,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5545,Carolina,3:15,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Young and Wild,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5546,Carolina,4:48,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Where She Told Me to Go,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5547,Carolina,3:08,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Longer Gone,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5548,Carolina,2:50,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Love Your Love the Most,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5549,Carolina,3:11,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Smoke a Little Smoke,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5550,Carolina,2:42,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Without You Here,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5551,Carolina,4:15,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",You Make It Look So Easy,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5552,Carolina,4:39,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Carolina,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5553,Carolina,2:44,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Hell On the Heart,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5554,Carolina,5:03,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Those I 've Loved,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",$ 1.29
5555,Carolina,3:36,24-Mar-09,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",Leave My Willie Alone,Eric Church,"Country , Music , Contemporary Country , Rock , Southern Rock",Album Only
5556,NOW That 's What I Call ACM Awards 50 Years,3:13,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",The Only Way I know,"Jason Aldean , Luke Bryan & Eric Church","Country , Music",Album Only
5557,NOW That 's What I Call ACM Awards 50 Years,3:51,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",I Drive Your Truck,Lee Brice,"Country , Music",Album Only
5558,NOW That 's What I Call ACM Awards 50 Years,3:44,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Country Girl ( Shake It For Me ),Luke Bryan,"Country , Music",Album Only
5559,NOW That 's What I Call ACM Awards 50 Years,3:28,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Honey Bee,Blake Shelton,"Country , Music",Album Only
5560,NOW That 's What I Call ACM Awards 50 Years,3:56,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Mean,Taylor Swift,"Country , Music",Album Only
5561,NOW That 's What I Call ACM Awards 50 Years,3:54,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Need You Now,Lady Antebellum,"Country , Music",Album Only
5562,NOW That 's What I Call ACM Awards 50 Years,3:55,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",The House That Built Me,Miranda Lambert,"Country , Music",Album Only
5563,NOW That 's What I Call ACM Awards 50 Years,5:23,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Start a Band,Brad Paisley & Keith Urban,"Country , Music",Album Only
5564,NOW That 's What I Call ACM Awards 50 Years,3:42,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Because of You,Reba McEntire & Kelly Clarkson,"Country , Music",Album Only
5565,NOW That 's What I Call ACM Awards 50 Years,3:28,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Give It Away,George Strait,"Country , Music",Album Only
5566,NOW That 's What I Call ACM Awards 50 Years,3:45,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Jesus Take the Wheel,Carrie Underwood,"Country , Music",Album Only
5567,NOW That 's What I Call ACM Awards 50 Years,4:55,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Live Like You Were Dying,Tim McGraw,"Country , Music",Album Only
5568,NOW That 's What I Call ACM Awards 50 Years,3:19,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",The Good Stuff,Kenny Chesney,"Country , Music",Album Only
5569,NOW That 's What I Call ACM Awards 50 Years,4:00,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",I Hope You Dance,Lee Ann Womack,"Country , Music",Album Only
5570,NOW That 's What I Call ACM Awards 50 Years,3:14,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",This Kiss,Faith Hill,"Country , Music",Album Only
5571,NOW That 's What I Call ACM Awards 50 Years,2:26,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Chattahoochee,Alan Jackson,"Country , Music",Album Only
5572,NOW That 's What I Call ACM Awards 50 Years,3:17,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Boot Scootin ' Boogie,Brooks & Dunn,"Country , Music",Album Only
5573,NOW That 's What I Call ACM Awards 50 Years,3:04,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Better Man,Clint Black,"Country , Music",Album Only
5574,NOW That 's What I Call ACM Awards 50 Years,2:50,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",There 's a Tear In My Beer,Hank Williams,"Country , Music",Album Only
5575,NOW That 's What I Call ACM Awards 50 Years,3:32,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment","Forever and Ever , Amen",Randy Travis,"Country , Music",Album Only
5576,NOW That 's What I Call ACM Awards 50 Years,3:02,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Highwayman,The Highwayman,"Country , Music",Album Only
5577,NOW That 's What I Call ACM Awards 50 Years,3:26,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Why Not Me,The Judds,"Country , Music",Album Only
5578,NOW That 's What I Call ACM Awards 50 Years,4:09,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Islands in the Stream,Dolly Parton & Kenny Rogers,"Country , Music",Album Only
5579,NOW That 's What I Call ACM Awards 50 Years,3:30,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Always On My Mind,Willie Nelson,"Country , Music",Album Only
5580,NOW That 's What I Call ACM Awards 50 Years,3:18,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Love In the First Degree,Alabama,"Country , Music",Album Only
5581,NOW That 's What I Call ACM Awards 50 Years,2:38,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",Elvira,The Oak Ridge Boys,"Country , Music",Album Only
5582,NOW That 's What I Call ACM Awards 50 Years,3:21,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",You 're the Reason God Made Oklahoma,David Frizzell & Shelly West,"Country , Music",Album Only
5583,NOW That 's What I Call ACM Awards 50 Years,3:15,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",He Stopped Loving Her Today,George Jones,"Country , Music",Album Only
5584,NOW That 's What I Call ACM Awards 50 Years,2:35,31-Mar-15,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",All the Gold In California,Larry Gatlin & The Gatlin Brothers,"Country , Music",Album Only
