amazon_id,music_album,song_duration,rights_info,available_date,creator,genre_classification,song_title,tune_price
0,! ( Volume 2 ) [ Explicit ],3:20,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"September 16 , 2014",Rusko,"Dance & Electronic , Dubstep",Saxophone Stomp [ Explicit ],$ 1.29
1,! ( Volume 2 ) [ Explicit ],2:36,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"September 16 , 2014",Rusko,"Dance & Electronic , Dubstep",I Wan na Mingle [ feat . Pusher ],$ 1.29
2,! ( Volume 2 ) [ Explicit ],3:48,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"September 16 , 2014",Rusko,"Dance & Electronic , Dubstep",Lytah,$ 1.29
3,! ( Volume 2 ) [ Explicit ],3:55,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"September 16 , 2014",Rusko,"Dance & Electronic , Dubstep",Slappy Pappy,$ 1.29
4,! ( Volume 2 ) [ Explicit ],1:48,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"September 16 , 2014",Rusko,"Dance & Electronic , Dubstep",Fushion Jam,$ 1.29
5,! ( Volume 2 ) [ Explicit ],2:57,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"September 16 , 2014",Rusko,"Dance & Electronic , Dubstep",Vaminos,$ 1.29
6,! AKing of Pop Moon Walk Man,3:40,2010 ! Creekside,"November 11 , 2010",! Creekside,"Dance & Electronic , Pop",! AKing of Pop Moon Walk Man,$ 0.99
7,!,3:55,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"July 29 , 2014",Rusko,"Dance & Electronic , Dubstep",Like A Boss,$ 1.29
8,!,4:06,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"July 29 , 2014",Rusko,"Dance & Electronic , Dubstep",Sunshower,$ 1.29
9,!,3:41,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"July 29 , 2014",Rusko,"Dance & Electronic , Dubstep",My Style,$ 1.29
10,!,3:33,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"July 29 , 2014",Rusko,"Dance & Electronic , Dubstep",Happy Chords,$ 1.29
11,!,3:06,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,"July 29 , 2014",Rusko,"Dance & Electronic , Dubstep",Rusko Theme,$ 1.29
12,La Gorriona '' '',3:36,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",Cuando Salgo A Los Campos,$ 0.99
13,La Gorriona '' '',3:52,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",El Buke De Mas Potencia,$ 0.99
14,La Gorriona '' '',2:47,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",Te He Prometido,$ 0.99
15,La Gorriona '' '',3:21,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",Corazon Malo,$ 0.99
16,La Gorriona '' '',3:44,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",Corazon De Texas,$ 0.99
17,La Gorriona '' '',3:11,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",La Entalladita,$ 0.99
18,La Gorriona '' '',3:30,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",Toca El Saxo,$ 0.99
19,La Gorriona '' '',3:19,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",Cruz De Olvido,$ 0.99
20,La Gorriona '' '',3:29,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",El Borrachito,$ 0.99
21,La Gorriona '' '',3:05,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",Anabel,$ 0.99
22,La Gorriona '' '',3:57,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",Ya Te Vi,$ 0.99
23,La Gorriona '' '',3:20,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",El Farolito,$ 0.99
24,La Gorriona '' '',3:44,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",Tatuajes,$ 0.99
25,La Gorriona '' '',2:24,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",La Gorriona,$ 0.99
26,La Gorriona '' '',4:02,2013 Perico Records,"February 9 , 2011",Los Sabios del Norte,"International , Latin Music",El Jardinero,$ 0.99
27,Notice Me '' 2012 - Little Carlos Retro Mix '',8:49,2012 InHouse Records,"July 30 , 2012","Matthias Heilbronn , Sandee","Electronica , Dance & Electronic , House",Notice Me ( Little Carlos Retro Mix ),$ 0.99
28,# 1 in Heaven ( Azari & III Remix ),5:27,2012 InHouse Records,"July 23 , 2013",Mndr,Dance & Electronic,# 1 in Heaven ( Azari & III Remix ),$ 1.29
29,# 1 in Heaven ( Remixes ),6:06,2012 InHouse Records,"July 23 , 2013",Mndr,Dance & Electronic,# 1 in Heaven ( DJ Skeet Skeet Remix ),$ 1.29
30,# 1 in Heaven ( Remixes ),4:19,2012 InHouse Records,"July 23 , 2013",Mndr,Dance & Electronic,# 1 in Heaven ( Infuze Remix ),$ 1.29
31,# 1 in Heaven,3:56,2012 InHouse Records,"July 23 , 2013",Mndr,Dance & Electronic,# 1 in Heaven,$ 1.29
32,# 13 : It All Started When ...,22:04,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",167 : Dobson Comes to Town,$ 1.99
33,# 13 : It All Started When ...,1:48,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",167a : Bonus ! The Creation Of Dobson Comes To Town '' '',$ 1.99
34,# 13 : It All Started When ...,23:54,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",179 : You Got ta Be Wise,$ 1.99
35,# 13 : It All Started When ...,4:14,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",179a : Bonus ! The Creation Of The Adventures In Odyssey Theme Song,$ 1.99
36,# 13 : It All Started When ...,23:39,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",180 : Isaac the Pure,$ 1.99
37,# 13 : It All Started When ...,23:25,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",181 : It Takes Integrity,$ 1.99
38,# 13 : It All Started When ...,22:19,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",182 : The Scales of Justice,$ 1.99
39,# 13 : It All Started When ...,0:54,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",182a : Bonus ! Aio Time Filler Features,$ 1.99
40,# 13 : It All Started When ...,0:56,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",182b : Bonus ! Super Sleuth - Your Skin,$ 1.99
41,# 13 : It All Started When ...,2:08,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",182c : Bonus ! Mr. How-To - The House Built On Sand,$ 1.99
42,# 13 : It All Started When ...,1:55,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",182d : Bonus ! Ancient World Of Sports - Gideon 's Pitch,$ 1.99
43,# 13 : It All Started When ...,2:08,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","182e : Bonus ! Apostle Paul - Paul , Apostle Paul",$ 1.99
44,# 13 : It All Started When ...,2:04,2006 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",182f : Bonus ! Apostle Paul - Armed And Ready,$ 1.99
45,# 20 : A Journey of Choices,20:28,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","261 : Afraid , Not !",$ 0.99
46,# 20 : A Journey of Choices,24:48:00,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",263 : When Bad Is n't So Good,$ 0.99
47,# 20 : A Journey of Choices,24:37:00,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",264 : Making the Grade,$ 0.99
48,# 20 : A Journey of Choices,20:10,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",265 : War of the Words,$ 0.99
49,# 20 : A Journey of Choices,24:54:00,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",266 : It Began with a Rabbit 's Foot,$ 0.99
50,# 20 : A Journey of Choices,25:36:00,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",267 : It Ended with a Handshake,$ 0.99
51,# 20 : A Journey of Choices,23:16,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",268 : Pet Peeves,$ 0.99
52,# 20 : A Journey of Choices,20:45,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",269 : Fences,$ 0.99
53,# 20 : A Journey of Choices,24:59:00,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",270 : The War Hero,$ 0.99
54,# 20 : A Journey of Choices,24:14:00,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",271 : The Secret Keys of Discipline,$ 0.99
55,# 20 : A Journey of Choices,23:54,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","272 : Two Brothers and Bernard , Part 1 of 2",$ 0.99
56,# 20 : A Journey of Choices,22:53,1994 Focus on the Family,"April 9 , 1994",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","273 : Two Brothers and Bernard , Part 2 of 2",$ 0.99
57,# 24 : Risks and Rewards,22:12,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",307 : Poetry in Slow Motion,$ 1.99
58,# 24 : Risks and Rewards,26:12:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",308 : Subject Yourself,$ 1.99
59,# 24 : Risks and Rewards,24:03:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",312 : Rewards in Full,$ 1.99
60,# 24 : Risks and Rewards,24:33:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",313 : Top This !,$ 1.99
61,# 24 : Risks and Rewards,21:46,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","314 : The Underground Railroad , Part 1 of 3",$ 1.99
62,# 24 : Risks and Rewards,20:13,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","315 : The Underground Railroad , Part 2 of 3",$ 1.99
63,# 24 : Risks and Rewards,23:41,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","316 : The Underground Railroad , Part 3 of 3",$ 1.99
64,# 24 : Risks and Rewards,24:41:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",317 : B-TV : Envy,$ 1.99
65,# 24 : Risks and Rewards,22:31,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","318 : A Touch of Healing , Part 1 of 2",$ 1.99
66,# 24 : Risks and Rewards,26:04:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","319 : A Touch of Healing , Part 2 of 2",$ 1.99
67,# 24 : Risks and Rewards,28:50:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",320 : Where Is Thy Sting ?,$ 1.99
68,# 24 : Risks and Rewards,25:29:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",322 : The Turning Point,$ 1.99
69,# 26 : Back on the Air,24:33:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",321 : Hidden In My Heart,$ 1.99
70,# 26 : Back on the Air,24:38:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","335 : Love Is in the Air , Part 1 of 2",$ 1.99
71,# 26 : Back on the Air,26:28:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","336 : Love Is in the Air , Part 2 of 2",$ 1.99
72,# 26 : Back on the Air,23:22,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",337 : W-O-R-R-Y,$ 1.99
73,# 26 : Back on the Air,24:35:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",338 : Easy Money,$ 1.99
74,# 26 : Back on the Air,24:36:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","339 : Do , for a Change",$ 1.99
75,# 26 : Back on the Air,24:43:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","340 : Pokenberry Falls , R.F.D. , Part 1 of 2",$ 1.99
76,# 26 : Back on the Air,24:30:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","341 : Pokenberry Falls , R.F.D. , Part 2 of 2",$ 1.99
77,# 26 : Back on the Air,24:31:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","342 : Welcome Home , Mr. Blackgaard",$ 1.99
78,# 26 : Back on the Air,21:52,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",343 : The Pretty Good Samaritan,$ 1.99
79,# 26 : Back on the Air,24:37:00,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",346 : Saint Paul : Voyage to Rome,$ 1.99
80,# 26 : Back on the Air,23:07,1996 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",347 : Saint Paul : An Appointment with Caesar,$ 1.99
81,# 31 : Days to Remember,28:40:00,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",383 : B-TV : Thanks,$ 1.99
82,# 31 : Days to Remember,22:05,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","385 : It 's a Pokenberry Christmas , Part 1 of 2",$ 1.99
83,# 31 : Days to Remember,23:37,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","386 : It 's a Pokenberry Christmas , Part 2 of 2",$ 1.99
84,# 31 : Days to Remember,24:41:00,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",387 : New Years Eve Live !,$ 1.99
85,# 31 : Days to Remember,27:51:00,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",393 : Wrapped Around Your Finger,$ 1.99
86,# 31 : Days to Remember,24:27:00,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","394 : Saint Patrick : A Heart Afire , Part 1 of 2",$ 1.99
87,# 31 : Days to Remember,25:48:00,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","395 : Saint Patrick : A Heart Afire , Part 2 of 2",$ 1.99
88,# 31 : Days to Remember,26:30:00,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",403 : Faster Than a Speeding Ticket,$ 1.99
89,# 31 : Days to Remember,26:24:00,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",404 : Hide & Seek,$ 1.99
90,# 31 : Days to Remember,27:06:00,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",405 : The Graduate,$ 1.99
91,# 31 : Days to Remember,25:30:00,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",409 : Natural Born Leader,$ 1.99
92,# 31 : Days to Remember,21:51,1998 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",412 : A Lesson From Mike,$ 1.99
93,# 33 : Virtual Realities,24:27:00,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",418 : Opening Day,$ 1.99
94,# 33 : Virtual Realities,23:17,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",419 : Another Man 's Shoes,$ 1.99
95,# 33 : Virtual Realities,21:10,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","424 : Blackgaard 's Revenge , Part 1 of 2",$ 1.99
96,# 33 : Virtual Realities,18:40,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","425 : Blackgaard 's Revenge , Part 2 of 2",$ 1.99
97,# 33 : Virtual Realities,23:04,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",426 : The Buck Starts Here,$ 1.99
98,# 33 : Virtual Realities,22:05,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",427 : Something Cliqued Between Us,$ 1.99
99,# 33 : Virtual Realities,21:26,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",428 : The Eternal Birthday & Bethany 's Imaginary Friend,$ 1.99
100,# 33 : Virtual Realities,21:44,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",429 : The Y.A.K. Problem,$ 1.99
101,# 33 : Virtual Realities,22:03,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",430 : Blind Girl 's Bluff,$ 1.99
102,# 33 : Virtual Realities,20:48,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",431 : Where There 's Smoke & The Virtual Kid,$ 1.99
103,# 33 : Virtual Realities,22:01,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","432 : You Win Some , You Lose Some",$ 1.99
104,# 33 : Virtual Realities,22:39,2000 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",433 : The Treasure Room & Chain Reaction,$ 1.99
105,# 35 : The Big Picture,21:19,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","449 : The Big Deal , Part 1 of 2",$ 1.99
106,# 35 : The Big Picture,22:40,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","450 : The Big Deal , Part 2 of 2",$ 1.99
107,# 35 : The Big Picture,22:41,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",451 : Life Trials of the Rich & Famous,$ 1.99
108,# 35 : The Big Picture,22:53,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",452 : Missionary Impossible,$ 1.99
109,# 35 : The Big Picture,25:12:00,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","453 : The Great Wishy Woz , Part 1 of 2",$ 1.99
110,# 35 : The Big Picture,25:39:00,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","454 : The Great Wishy Woz , Part 2 of 2",$ 1.99
111,# 35 : The Big Picture,24:59:00,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",455 : Best Laid Plans,$ 1.99
112,# 35 : The Big Picture,22:58,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",456 : Worst Day Ever,$ 1.99
113,# 35 : The Big Picture,22:27,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",457 : Opportunity Knocks,$ 1.99
114,# 35 : The Big Picture,25:12:00,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",458 : Red Herring,$ 1.99
115,# 35 : The Big Picture,22:54,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",459 : Slumber Party,$ 1.99
116,# 35 : The Big Picture,24:32:00,2001 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",460 : Nova Rising,$ 1.99
117,# 38 : Battle Lines,22:09,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","488 : Under the Influence , Part 1 of 2",$ 1.99
118,# 38 : Battle Lines,28:27:00,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","489 : Under the Influence , Part 2 of 2",$ 1.99
119,# 38 : Battle Lines,19:44,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","490 : The Black Veil , Part 1 of 2",$ 1.99
120,# 38 : Battle Lines,22:47,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","491 : The Black Veil , Part 2 of 2",$ 1.99
121,# 38 : Battle Lines,23:11,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",492 : Twisting Pathway,$ 1.99
122,# 38 : Battle Lines,22:41,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",493 : Sheep 's Clothing,$ 1.99
123,# 38 : Battle Lines,22:29,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",494 : Box of Miracles,$ 1.99
124,# 38 : Battle Lines,24:27:00,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",495 : The Unraveling,$ 1.99
125,# 38 : Battle Lines,24:28:00,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",496 : Exceptional Circumstances,$ 1.99
126,# 38 : Battle Lines,22:45,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",497 : Expect the Worst,$ 1.99
