song_id,date_released,genre_desc,duration_min,song_name_text,collection_name,price_tag,performer,publisher_info
11184,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",4:14,Death ( Album Version ) [ Clean ],Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11185,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",4:01,Horse & Carriage ( Album Version ) [ Clean ],Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11186,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",3:56,"Me , My Moms & Jimmy ( featuring Kenny Greene ) ( Album Version )",Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11187,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",4:28,Prophecy ( featuring Kelly Price ) ( Album Version ),Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11188,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",3:42,We Got It ( featuring Mase ) ( Album Version ),Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11189,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",4:20,D Rugs ( featuring Brotha ) ( Album Version ),Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11190,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",3:52,Feels Good ( featuring Usher ) ( Album Version ),Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11191,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",1:07,Phone Interlude ( Album Version ) [ Clean ],Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11192,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",4:33,A Pimp 's A Pimp ( featuring Jermaine Dupri ) ( Album Version ) [ Explicit ],Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11193,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",5:53,Confessions ( Album Version ) [ Explicit ],Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11194,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",2:35,Fuck You ( Album Version ) [ Explicit ],Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11195,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",4:19,Me & My Boo,Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11196,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",4:21,Shanghai ( Album Version ) [ Clean ],Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11197,"July 21 , 1998","Gangsta & Hardcore , Rap & Hip-Hop , East Coast",4:19,Who 'S Nice ( Album Version ) [ Clean ],Confessions Of Fire [ Explicit ],$ 0.99,Cam ` Ron,( C ) 2015 Polydor Ltd. ( UK )
11198,,Pop,3:59,Confetti,Confetti,$ 0.99,Tori Kelly,2012 Toraay Records
11199,"October 16 , 2015",Pop,3:25,Confident [ Explicit ],Confident ( Deluxe Edition ) [ Explicit ],$ 1.29,Demi Lovato,"( C ) 2015 Hollywood Records , Inc. & Island Records , a division of UMG Recordings , Inc."
11200,"October 16 , 2015",Pop,3:34,Cool for the Summer [ Explicit ],Confident ( Deluxe Edition ) [ Explicit ],$ 1.29,Demi Lovato,"( C ) 2015 Hollywood Records , Inc. & Island Records , a division of UMG Recordings , Inc."
11201,"October 16 , 2015",Pop,3:34,Old Ways,Confident ( Deluxe Edition ) [ Explicit ],$ 1.29,Demi Lovato,"( C ) 2015 Hollywood Records , Inc. & Island Records , a division of UMG Recordings , Inc."
11202,"December 9 , 2013",Pop,4:08,Confident [ feat . Chance The Rapper ],Confident,$ 1.29,Justin Bieber,"( C ) 2015 Hollywood Records , Inc. & Island Records , a division of UMG Recordings , Inc."
11203,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",1:33,Anechoic Chamber,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11204,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",4:13,Jihad,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11205,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",4:28,Analytical,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11206,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",1:52,Wither,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11207,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",5:12,Regalos De Mota,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11208,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",4:50,Extreme of Paranoia,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11209,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",0:47,A.Z.T.,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11210,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",3:20,Waiting For the Milennium,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11211,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",0:30,Live at Your Mom 's House,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11212,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",1:45,Exhumed Remains,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11213,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",0:22,Britches,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11214,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",2:29,The Struggle,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11215,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",1:02,Trailer Park Meth Queen,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11216,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",1:20,Phantom Pharter,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11217,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",1:15,Strung Out on Viagra,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11218,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",3:51,Perversions and the Guild After,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11219,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",0:32,Stepped in Cow Shit Blues,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11220,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",0:08,Father Pederast,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
11221,"April 29 , 2008","Thrash & Speed Metal , Hard Rock & Metal , Rock",0:04,Once More With Feeling,Conforming to Abnormality,$ 0.99,Cephalic Carnage,( c ) 2008 Relapse Records Inc.
