music_entry_id,artist_name_str,track_genre,release_time,purchase_price,album_title,record_label,music_title,run_time
22368,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,I Do n't Fuck With You [ feat . E-40 ] [ Explicit ],4:44
22369,Remix Radio DJ,Country,,$ 0.89,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Trouble On My Mind ( Album ) [ Explicit ],3:33
22370,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Work Out [ Explicit ],3:54
22371,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Or Nah ( feat . Wiz Khalifa and DJ Mustard ) [ Explicit ],4:11
22372,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Freek-A-Leek ( Dirty Version ) [ Explicit ],3:55
22373,Remix Radio DJ,Country,,$ 0.99,House Party Hip-Hop [ Explicit ],2015 Real Sounds,MC Hammer ( feat . Mouse On da Track ) [ Explicit ],3:45
22374,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Whatever You Like [ Explicit ],4:09
22375,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Made Me [ Explicit ],3:14
22376,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Handsome And Wealthy [ Explicit ],3:30
22377,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Bounce It ( Explicit Version ) [ Explicit ],4:20
22378,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Clappers ( feat . Nicki Minaj & Juicy J ) [ Explicit ],5:17
22379,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Thinking With My D ** k ( feat . Juicy J ) [ Explicit ],2:45
22380,Remix Radio DJ,Country,,$ 0.89,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Get Low [ Explicit ],5:34
22381,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Main Chick [ Explicit ],3:17
22382,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Too Much [ Explicit ],3:17
22383,Remix Radio DJ,Country,,$ 0.99,House Party Hip-Hop [ Explicit ],2015 Real Sounds,No Way [ Explicit ],3:51
22384,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,I 'm Different ( Album Version ( Explicit ) ) [ Explicit ],3:27
22385,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Ass Drop [ Explicit ],2:46
22386,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Hell Of A Night [ Explicit ],4:32
22387,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,No Flex Zone [ Explicit ],3:51
22388,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,F-U feat . Meek Mill [ Explicit ],3:05
22389,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Wild for the Night [ Explicit ],3:32
22390,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Walk Thru ( feat . Problem ),3:04
22391,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,I Just Wan na Party [ feat . Jay Rock ] [ Explicit ],3:32
22392,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Loyal [ Explicit ],4:24
22393,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,HeadBand ( feat . 2 Chainz ) [ Explicit ],3:40
22394,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Benz Friendz ( Whatchutola ) [ Explicit ],4:41
22395,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Only That Real ( feat . 2 Chainz & Sage The Gemini ) [ Explicit ],3:40
22396,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,I Do n't Fuck With You [ feat . E-40 ] [ Explicit ],4:44
22397,Remix Radio DJ,Country,,$ 0.89,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Trouble On My Mind ( Album ) [ Explicit ],3:33
22398,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Work Out [ Explicit ],3:54
22399,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Or Nah ( feat . Wiz Khalifa and DJ Mustard ) [ Explicit ],4:11
22400,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Freek-A-Leek ( Dirty Version ) [ Explicit ],3:55
22401,Remix Radio DJ,Country,,$ 0.99,House Party Hip-Hop [ Explicit ],2015 Real Sounds,MC Hammer ( feat . Mouse On da Track ) [ Explicit ],3:45
22402,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Whatever You Like [ Explicit ],4:09
22403,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Made Me [ Explicit ],3:14
22404,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Handsome And Wealthy [ Explicit ],3:30
22405,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Bounce It ( Explicit Version ) [ Explicit ],4:20
22406,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Clappers ( feat . Nicki Minaj & Juicy J ) [ Explicit ],5:17
22407,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Thinking With My D ** k ( feat . Juicy J ) [ Explicit ],2:45
22408,Remix Radio DJ,Country,,$ 0.89,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Get Low [ Explicit ],5:34
22409,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Main Chick [ Explicit ],3:17
22410,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Too Much [ Explicit ],3:17
22411,Remix Radio DJ,Country,,$ 0.99,House Party Hip-Hop [ Explicit ],2015 Real Sounds,No Way [ Explicit ],3:51
22412,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,I 'm Different ( Album Version ( Explicit ) ) [ Explicit ],3:27
22413,Remix Radio DJ,Country,,$ 1.29,House Party Hip-Hop [ Explicit ],2015 Real Sounds,Ass Drop [ Explicit ],2:46
