music_entry_id,total_time,release_time,item_price,album_name,label_info,song,style,musician
33552,3:35,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,Radio Ladio,Dance & Electronic,Metronomy
33553,4:11,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,My Heart Rate Rapid,Dance & Electronic,Metronomy
33554,4:14,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,Heartbreaker,Dance & Electronic,Metronomy
33555,2:36,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,On The Motorway,Dance & Electronic,Metronomy
33556,3:31,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,Side 2,Dance & Electronic,Metronomy
33557,4:16,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,Holiday,Dance & Electronic,Metronomy
33558,3:30,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,A Thing For Me,Dance & Electronic,Metronomy
33559,3:56,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,Back On The Motorway,Dance & Electronic,Metronomy
33560,4:45,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,On Dancefloors,Dance & Electronic,Metronomy
33561,3:12,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,Nights Outro,Dance & Electronic,Metronomy
33562,2:39,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,Please Me ( Bonus Track ),Dance & Electronic,Metronomy
33563,2:31,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,The Chase,Dance & Electronic,Metronomy
33564,5:15,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,Heartbreaker ( Discodeine Remix ),Dance & Electronic,Metronomy
33565,5:39,"September 8 , 2008",$ 0.89,Nights Out,2008 Because Music,Heartbreaker ( Kris Menace Remix ),Dance & Electronic,Metronomy
33566,3:12,"January 22 , 2016",$ 1.29,Nine Track Mind,2008 Because Music,One Call Away,Pop,Charlie Puth
33567,3:12,"January 22 , 2016",$ 1.29,Nine Track Mind,2008 Because Music,As You Are ( feat . Shy Carter ),Pop,Charlie Puth
33568,3:07,"January 22 , 2016",$ 1.29,Nine Track Mind,2008 Because Music,Marvin Gaye ( feat . Meghan Trainor ),Pop,Charlie Puth
33569,3:07,"January 22 , 2016",$ 1.29,Nine Track Mind,2008 Because Music,My Gospel,Pop,Charlie Puth
33570,4:20,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,Second Song,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33571,5:42,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,Keep Your Heart,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33572,4:04,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,You,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33573,4:03,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,No Future Shock,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33574,6:15,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,Killer Crane,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33575,3:45,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,Will Do,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33576,4:32,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,New Cannonball Blues,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33577,3:43,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,Repetition,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33578,3:37,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,Forgotten,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33579,3:19,"April 12 , 2011",$ 1.29,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,Caffeinated Consciousness,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33580,4:55,"April 12 , 2011",$ 0.99,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,All Falls Down,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33581,5:20,"April 12 , 2011",$ 0.99,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,Will Do ( Switch Remix ),"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33582,3:44,"April 12 , 2011",$ 0.99,Nine Types Of Light ( Deluxe Version ),( C ) 2011 DGC Records,Will Do ( XXXchange Dancehall Mix ),"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33583,4:20,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,Second Song,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33584,5:42,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,Keep Your Heart,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33585,4:04,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,You,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33586,4:03,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,No Future Shock,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33587,6:15,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,Killer Crane,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33588,3:45,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,Will Do,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
33589,4:32,"April 12 , 2011",$ 1.29,Nine Types Of Light [ + Digital Booklet ],( C ) 2011 DGC Records,New Cannonball Blues,"Alternative Rock , Indie & Lo-Fi",TV On The Radio
