media_id,copyright_text,music_release_date,track,album_title_nm,musical_length,style,performer
0,2015 Sony Music Entertainment,31-Mar-15,Runaway Train,Welcome to Cam Country - EP,3:01,"Country , Music , Contemporary Country , Honky Tonk",Cam
1,"2015 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment",,Track 14,Me 4 U,3:41,"Pop/Rock , Music , Pop , Dance , R&B / Soul",Omi
2,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",9-Jan-15,Lips Are Movin,Title,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",Meghan Trainor
3,"Compilation ( P ) 2014 Epic Records , a division of Sony Music Entertainment",24-Nov-14,I Want a Hippopotamus for Christmas,I 'll Be Home For Christmas,2:20,"Holiday , Music",A Great Big World
4,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",9-Jan-15,Credit,Title ( Deluxe ),2:51,"Pop , Music , Rock , Pop/Rock , Dance , Teen Pop",Meghan Trainor
5,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",9-Jan-15,Lips Are Movin,Title,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",Meghan Trainor
6,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",9-Jan-15,Lips Are Movin,Title,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",Meghan Trainor
7,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",9-Jan-15,Lips Are Movin,Title,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",Meghan Trainor
8,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",9-Jan-15,Lips Are Movin,Title,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",Meghan Trainor
9,2015 Interscope Records,,Perfect,Revival ( Deluxe ),4:02,"Pop , Music , Rock",Selena Gomez
10,2015 Walt Disney Records,21-Apr-15,Wrapped Up ( Live ),Radio Disney Music Awards,3:01,"Pop , Music",Olly Murs
11,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",9-Jan-15,Lips Are Movin,Title,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",Meghan Trainor
12,"2014 , 2015 Epic Records , a division of Sony Music Entertainment",9-Jan-15,Lips Are Movin,Title,3:01,"Pop , Music , Pop/Rock , Dance , Rock , Teen Pop",Meghan Trainor
13,2015 Ministry of Sound Recordings Ltd,1-Feb-15,On Trees and Birds and Fire ( CHS6 Edit ) [ Sam Feldt & Bloombox Remix ],Chilled House Session 2015 - Ministry of Sound,3:33,"Dance , Music",I Am Oak
14,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,11-Jul-13,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ],Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Remix ] - Single,3:34,"Dance , Music , Rock , Adult Alternative , Electronic",Lana Del Rey & Cedric Gervais
15,2014 Defected Records Limited,23-Nov-14,Thank You Baby,Defected Presents Most Rated 2015,6:58,"Dance , Music",Krankbrother
16,2012 Polydor Ltd. ( UK ),19-Nov-12,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Ride ( Remixes ),8:13,"Alternative , Music , Rock",Lana Del Rey
17,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,13-Jul-14,West Coast ( MK Remix ),West Coast ( Remix EP ),5:26,"Alternative , Music , Rock",Lana Del Rey
18,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,29-Oct-13,Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] [ Cedric Gervais Remix Radio Edit ],Young and Beautiful [ Lana Del Rey vs. Cedric Gervais ] ( Cedric Gervais Remix Radio Edit ) - Single,3:47,"Alternative , Music , Rock",Lana Del Rey & Cedric Gervais
19,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Dec-13,Tropico,Tropico - Single,27:07:00,"Alternative , Music",Lana Del Rey
20,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,1-May-12,Blue Jeans ( Penguin Prison Remix ),Blue Jeans ( Remixes ) - EP,5:36,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
21,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,1-May-12,Blue Jeans ( Penguin Prison Remix ),Blue Jeans ( Remixes ) - EP,5:36,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
22,2013 Hed Kandi Records,15-Jul-13,I Need Somebody Tonight ( feat . Thelma Houston ) [ Audiowhores Remix ],Hed Kandi Ibiza 2013,3:08,"Dance , Music",Joey Negro
23,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
24,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
25,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,25-Feb-14,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ],Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ] - Single,6:52,"Alternative , Music , Dance , Rock , Adult Alternative , Electronic",Lana Del Rey & Cedric Gervais
26,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,1-May-12,Blue Jeans ( Penguin Prison Remix ),Blue Jeans ( Remixes ) - EP,5:36,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
27,2015 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,15-Feb-15,Ultraviolence ( Hook N Sling Remix ),Ultraviolence ( Hook N Sling Remix ) - Single,5:29,"Alternative , Music",Lana Del Rey
28,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,1-May-12,Blue Jeans ( Penguin Prison Remix ),Blue Jeans ( Remixes ) - EP,5:36,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,13-Jul-14,West Coast ( MK Remix ),West Coast ( Remix EP ),5:26,"Alternative , Music , Rock",Lana Del Rey
30,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,3-May-15,Face Down Earth ( HK Tropical House Edit ) [ Urban Contact Remix ],Hed Kandi Tropical House,3:26,"Dance , Music",Olympique
31,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,28-Feb-12,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Video Games Remixes - EP,5:19,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
32,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,28-Feb-12,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Video Games Remixes - EP,5:19,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
33,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
34,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
35,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
36,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,13-Jul-14,West Coast ( MK Remix ),West Coast ( Remix EP ),5:26,"Alternative , Music , Rock",Lana Del Rey
37,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
38,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6-Aug-13,This Is What Makes Us Girls,Born To Die,4:00,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
39,2014 Hed Kandi Records/Ministry of Sound Recordings Ltd,25-Jan-15,Wasting Time ( HK Deep Disco Edit ),Hed Kandi : Deep Disco,4:04,"Dance , Music",Lucas Nord
40,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,22-Feb-15,Bring Me Joy ( HK Miami 2015 Edit ),Hed Kandi Miami 2015,4:44,"Dance , Music",DJ Eibhlin
41,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,1-May-12,Blue Jeans ( Penguin Prison Remix ),Blue Jeans ( Remixes ) - EP,5:36,"Alternative , Music , Rock , Adult Alternative",Lana Del Rey
