item_id,copyright_notice,track_release_date,music_style,duration_sec,track_price,track_title,performer_name
1381,2013 Ministry of Sound Recordings Ltd.,1-Jul-13,"Dance , Music",3:52,Album Only,Midnight Request Line ( Superstar DJs Edit ),Skream
1382,"2013 Universal Republic Records , a division of UMG Recordings , Inc.",20-Aug-13,"Soundtrack , Music",5:45,$ 1.29,Strange Days,Bryan Ellis
1383,"2012 Bazooka , a division of zooland Music GmbH",30-Mar-12,"Dance , Music , Electronic",58:48:00,Album Only,DJ Mix,Spencer & Hill
1384,2012 Interscope Records,31-Jul-12,"Dance , Music , Electronic , House",4:17,$ 1.29,Human,Zedd & Nicky Romero
1385,2012 Interscope Records,31-Jul-12,"Dance , Music , Electronic , House",4:17,$ 1.29,Human,Zedd & Nicky Romero
1386,2012 Interscope Records,31-Jul-12,"Dance , Music , Electronic , House",4:17,$ 1.29,Human,Zedd & Nicky Romero
1387,2012 Interscope Records,31-Jul-12,"Dance , Music , Electronic , House",4:17,$ 1.29,Human,Zedd & Nicky Romero
1388,2012 Interscope Records,31-Jul-12,"Dance , Music , Electronic , House",4:17,$ 1.29,Human,Zedd & Nicky Romero
1389,2012 Interscope Records,31-Jul-12,"Dance , Music , Electronic , House",4:17,$ 1.29,Human,Zedd & Nicky Romero
1390,2012 Interscope Records,31-Jul-12,"Dance , Music , Electronic , House",4:17,$ 1.29,Human,Zedd & Nicky Romero
1391,2012 Interscope Records,31-Jul-12,"Dance , Music , Electronic , House",4:17,$ 1.29,Human,Zedd & Nicky Romero
1392,2012 Interscope Records,31-Jul-12,"Dance , Music , Electronic , House",4:17,$ 1.29,Human,Zedd & Nicky Romero
1393,"2012 Bazooka , a division of zooland Music GmbH",31-Aug-12,"Dance , Music , Electronic",6:07,$ 0.99,LukeSkyTampa ( Original Mix ) [ Darth & Vader vs. FTampa ],Darth & Vader & FTampa
1394,2014 Ministry of Sound Recordings Ltd,22-Jun-14,"Fitness & Workout , Music",3:25,$ 1.29,Forest Fires ( RT Summer 2014 Edit ),Fred V & Grafix
1395,"2014 UMG Recordings , Inc. and Sony Music Entertainment",19-May-14,"Fitness & Workout , Music",3:21,Album Only,Red Lights,Ti ' âsto
1396,2013 Ministry of Sound Recordings Ltd,18-Dec-13,"Fitness & Workout , Music",4:47,$ 1.29,Man With the Red Face ( Running Trax 2014 Edit ) [ feat . Funkagenda ] [ Hardwell Remix ],Mark Knight
1397,2013 Ministry of Sound Recordings Ltd.,11-Nov-13,"Dance , Music",3:59,Album Only,Without You ( The Annual 2014 Us Edit ) [ feat . Totally Enormous Extinct Dinosaurs ],Dillon Francis
1398,"Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",18-Dec-12,"Fitness & Workout , Music , Pop",3:19,Album Only,Sexy and I Know It,LMFAO
1399,2013 Euphoria,16-Sep-13,"Dance , Music",3:11,$ 1.29,Addicted 2 the Bass ( EDM Euphoria 2013 Edit ) [ Daahype 's Trap VIP ],Wideboys
1400,"2013 UMG Recordings , Inc. and Sony Music Entertainment",18-Jun-13,"Fitness & Workout , Music",3:33,Album Only,If I Lose Myself ( Alesso vs OneRepublic ),OneRepublic & Alesso
1401,2013 Glassnote Entertainment Group LLC,18-Jun-13,"Soundtrack , Music",4:20,Album Only,Now You See Me ( Spellbound Remix ),Brian Tyler
1402,2013 Musical Freedom,18-Jun-13,"Dance , Music , Trance , Electronic",--,Album Only,"Club Life , Vol . 3 - Stockholm - Digital Booklet",Ti ' âsto
1403,2011 Bugeyed Records,28-Mar-11,"Dance , Music",4:59,$ 0.99,Autonomy ( Cold Blank Mix ),Zedd
1404,2011 Bugeyed Records,28-Mar-11,"Dance , Music",4:59,$ 0.99,Autonomy ( Cold Blank Mix ),Zedd
1405,2011 Bugeyed Records,28-Mar-11,"Dance , Music",4:59,$ 0.99,Autonomy ( Cold Blank Mix ),Zedd
1406,"2011 Bazooka , a division of zooland Music GmbH",27-May-11,"Dance , Music",6:09,$ 0.99,The Legend Of Zelda ( Electrixx Remix ),Zedd
1407,2015 Interscope Records,18-May-15,"Dance , Music , Electronic",6:30,$ 1.29,Illusion ( feat . Echosmith ),Zedd
1408,2015 Interscope Records,10-Jul-15,"Dance , Music",4:15,$ 1.29,Beautiful Now ( feat . Jon Bellion ) [ Charlie Darker Remix ],Zedd
1409,2015 Interscope Records,18-May-15,"Dance , Music , Electronic",6:30,$ 1.29,Illusion ( feat . Echosmith ),Zedd
1410,2015 Interscope Records,18-May-15,"Dance , Music , Electronic",6:30,$ 1.29,Illusion ( feat . Echosmith ),Zedd
1411,2015 Interscope Records,16-Jun-15,"Dance , Music",3:18,$ 1.29,Beautiful Now ( feat . Jon Bellion ) [ Dirty South Remix ],Zedd
1412,2015 Interscope Records,18-May-15,"Dance , Music , Electronic",6:30,$ 1.29,Illusion ( feat . Echosmith ),Zedd
1413,2015 Interscope Records,18-May-15,"Dance , Music , Electronic",6:30,$ 1.29,Illusion ( feat . Echosmith ),Zedd
1414,2015 Interscope Records,18-May-15,"Dance , Music , Electronic",6:30,$ 1.29,Illusion ( feat . Echosmith ),Zedd
1415,2014 Interscope Records,26-Jan-14,"Dance , Music",3:24,$ 1.29,Find You ( feat . Matthew Koma & Miriam Bryant ),Zedd
1416,2015 Interscope Records,18-May-15,"Dance , Music , Electronic",6:30,$ 1.29,Illusion ( feat . Echosmith ),Zedd
1417,2015 Interscope Records,18-May-15,"Dance , Music , Electronic",6:30,$ 1.29,Illusion ( feat . Echosmith ),Zedd
1418,"2015 Ultra Records , LLC",29-Jun-15,"House , Music , Dance",3:00,$ 1.29,Riva ( Restart the Game ) [ feat . Broken Back ] [ Radio Edit ],Klingande
1419,2013 Kyrre Grvell-Dahll,15-May-13,"House , Music , Dance",6:04,$ 1.29,Epsilon,Kygo
1420,"2015 Ultra Records , LLC",24-Feb-15,"Dance , Music , Electronic",4:23,$ 1.29,Bricks ( feat . Migos ),Carnage
1421,"2015 Ultra Records , LLC",10-Mar-15,"Dance , Music , Electronic",4:33,$ 1.29,Firestone ( feat . Conrad Sewell ),Kygo
1422,"2015 Kygo under exclusive license to Sony Music Enterntainment Ltd / Ultra Records , LLC",30-Jul-15,"Dance , Music , Electronic",4:49,$ 1.29,ID ( Ultra Music Festival Anthem ),Kygo
1423,"2015 Kygo under exclusive license to Sony Music Entertainment International Ltd / Ultra Records , LLC",31-Jul-15,"R&B / Soul , Music , Electronic",3:56,$ 1.29,Nothing Left ( feat . Will Heard ),Kygo
1424,"2015 Columbia Records , a Division of Sony Music Entertainment",14-Aug-15,"Dance , Music , Electronic",4:01,$ 1.29,I Ca n't Take It ( Party Favor Remix ),Dillon Francis
1425,"2015 Kygo under exclusive license to Sony Music Entertainment International Ltd / Ultra Records , LLC",4-Sep-15,"Dance , Music , Electronic",4:04,$ 1.29,Here for You ( feat . Ella Henderson ),Kygo
1426,"2015 Kygo under exclusive license to Sony Music Entertainment International Ltd / Ultra Records , LLC",23-Mar-15,"Dance , Music , Electronic",3:42,$ 1.29,Stole the Show ( feat . Parson James ),Kygo
1427,"2014 Kygo under exclusive license to Sony Music Entertainment International Ltd / Ultra Records , LLC",2-Dec-14,"Dance , Music , Electronic",4:33,$ 1.29,Firestone ( feat . Conrad Sewell ),Kygo
1428,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,23-Jun-08,"Rock , Music , Metal , Alternative , Grunge , Hard Rock",3:37,Album Only,Son of Sam ( Bonus Track ),Shinedown
1429,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,24-Jun-08,"Rock , Music , Alternative , Grunge , Metal , Hard Rock",3:47,$ 1.29,Breaking Inside ( feat . Lzzy Hale of Halestorm ) [ Bonus Track ],Shinedown
1430,2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States .,4-Oct-05,"Rock , Music , Metal , Alternative , Hard Rock",3:14,$ 1.29,Some Day,Shinedown
1431,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,23-Mar-12,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",4:01,$ 1.29,Through the Ghost,Shinedown
1432,2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States .,18-Sep-15,"Rock , Music , Alternative , Hard Rock",4:05,$ 1.29,Misfits,Shinedown
1433,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,23-Jun-08,"Rock , Music , Metal , Alternative , Grunge , Hard Rock",3:37,Album Only,Son of Sam ( Bonus Track ),Shinedown
1434,2015 Atlanic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States .,18-Sep-15,"Rock , Music , Alternative , Hard Rock",4:05,$ 1.29,Misfits,Shinedown
1435,2003 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,27-May-03,"Rock , Music , Hard Rock , Alternative",4:09,$ 1.29,45,Shinedown
1436,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,23-Jun-08,"Rock , Music , Metal , Alternative , Grunge , Hard Rock",3:37,Album Only,Son of Sam ( Bonus Track ),Shinedown
1437,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,4-Oct-05,"Rock , Music , Metal , Hard Rock , Alternative",5:05,$ 1.29,Fake ( Demo ),Shinedown
1438,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,6-Apr-10,"Rock , Music",3:25,$ 1.29,Devour ( iTunes Session ),Shinedown
1439,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,18-Apr-11,"Rock , Music , Metal , Alternative , Hard Rock",5:06,$ 1.29,Second Chance ( Live Acoustic from Kansas City ),Shinedown
1440,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,18-Apr-11,"Rock , Music , Metal , Alternative , Hard Rock",5:06,$ 1.29,Second Chance ( Live Acoustic from Kansas City ),Shinedown
1441,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,8-Nov-13,"Rock , Music",4:01,$ 1.29,Through the Ghost,Shinedown
1442,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,8-Nov-13,"Rock , Music",4:01,$ 1.29,Through the Ghost,Shinedown
1443,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,23-Jun-08,"Rock , Music , Metal , Alternative , Grunge , Hard Rock",3:37,Album Only,Son of Sam ( Bonus Track ),Shinedown
1444,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,23-Jun-08,"Rock , Music , Metal , Alternative , Grunge , Hard Rock",3:37,Album Only,Son of Sam ( Bonus Track ),Shinedown
1445,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,27-May-03,"Rock , Music , Hard Rock , Alternative",3:59,$ 1.29,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown
1446,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,27-May-03,"Rock , Music , Hard Rock , Alternative",3:59,$ 1.29,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown
1447,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,18-Apr-11,"Rock , Music , Metal , Alternative , Hard Rock",5:06,$ 1.29,Second Chance ( Live Acoustic from Kansas City ),Shinedown
1448,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,23-Mar-12,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",4:01,$ 1.29,Through the Ghost,Shinedown
1449,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,23-Mar-12,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",4:01,$ 1.29,Through the Ghost,Shinedown
1450,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,23-Mar-12,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",4:01,$ 1.29,Through the Ghost,Shinedown
1451,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,24-Jun-08,"Rock , Music , Metal , Alternative , Grunge , Hard Rock",3:42,$ 1.29,Call Me,Shinedown
