itunes_track_id,music_name,price_amount,length,artist_label,music_album,copyright_text,music_style
5524,Country Music Jesus ( Live ),$ 1.29,3:49,Eric Church,Caught In the Act ( Live ),"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219","Country , Music , Contemporary Country , Urban Cowboy"
5525,Pledge Allegiance to the Hag ( Live ),$ 1.29,4:55,Eric Church,Caught In the Act ( Live ),"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219","Country , Music , Contemporary Country , Urban Cowboy"
5526,Jack Daniels ( Live ),$ 1.29,4:31,Eric Church,Caught In the Act ( Live ),"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219","Country , Music , Contemporary Country , Urban Cowboy"
5527,Homeboy ( Live ),$ 1.29,4:42,Eric Church,Caught In the Act ( Live ),"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219","Country , Music , Contemporary Country , Urban Cowboy"
5528,Lotta Boot Left to Fill ( Live ),$ 1.29,4:21,Eric Church,Caught In the Act ( Live ),"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219","Country , Music , Contemporary Country , Urban Cowboy"
5529,Smoke a Little Smoke ( Live ),$ 1.29,4:58,Eric Church,Caught In the Act ( Live ),"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219","Country , Music , Contemporary Country , Urban Cowboy"
5530,These Boots ( Live ),$ 1.29,4:01,Eric Church,Caught In the Act ( Live ),"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219","Country , Music , Contemporary Country , Urban Cowboy"
5531,Springsteen ( Live ),$ 1.29,9:03,Eric Church,Caught In the Act ( Live ),"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219","Country , Music , Contemporary Country , Urban Cowboy"
5532,Creepin ',$ 1.29,3:52,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
5533,Drink In My Hand,$ 1.29,3:11,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
5534,Keep On,$ 1.29,2:38,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
5535,Like Jesus Does,$ 1.29,3:18,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
5536,Hungover & Hard Up,$ 1.29,2:53,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
5537,Homeboy,$ 1.29,3:47,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
5538,Country Music Jesus,$ 1.29,3:52,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
5539,Jack Daniels,$ 1.29,5:04,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
5540,Springsteen,$ 1.29,4:23,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
5541,I 'm Gettin ' Stoned,$ 1.29,4:02,Eric Church,Chief,"‰ ãÑ 2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","Country , Music , Rock , Contemporary Country , Urban Cowboy"
