media_id,download_price,alb_nm,rights_details,artist_label,duration,publication_date,track
0,$ 1.29,! ( Volume 2 ) [ Explicit ],( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,3:20,"September 16 , 2014",Saxophone Stomp [ Explicit ]
1,$ 1.29,! ( Volume 2 ) [ Explicit ],( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,2:36,"September 16 , 2014",I Wan na Mingle [ feat . Pusher ]
2,$ 1.29,! ( Volume 2 ) [ Explicit ],( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,3:48,"September 16 , 2014",Lytah
3,$ 1.29,! ( Volume 2 ) [ Explicit ],( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,3:55,"September 16 , 2014",Slappy Pappy
4,$ 1.29,! ( Volume 2 ) [ Explicit ],( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,1:48,"September 16 , 2014",Fushion Jam
5,$ 1.29,! ( Volume 2 ) [ Explicit ],( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,2:57,"September 16 , 2014",Vaminos
6,$ 0.99,! AKing of Pop Moon Walk Man,2010 ! Creekside,! Creekside,3:40,"November 11 , 2010",! AKing of Pop Moon Walk Man
7,$ 1.29,!,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,3:55,"July 29 , 2014",Like A Boss
8,$ 1.29,!,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,4:06,"July 29 , 2014",Sunshower
9,$ 1.29,!,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,3:41,"July 29 , 2014",My Style
10,$ 1.29,!,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,3:33,"July 29 , 2014",Happy Chords
11,$ 1.29,!,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,Rusko,3:06,"July 29 , 2014",Rusko Theme
12,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:36,"February 9 , 2011",Cuando Salgo A Los Campos
13,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:52,"February 9 , 2011",El Buke De Mas Potencia
14,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,2:47,"February 9 , 2011",Te He Prometido
15,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:21,"February 9 , 2011",Corazon Malo
16,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:44,"February 9 , 2011",Corazon De Texas
17,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:11,"February 9 , 2011",La Entalladita
18,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:30,"February 9 , 2011",Toca El Saxo
19,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:19,"February 9 , 2011",Cruz De Olvido
20,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:29,"February 9 , 2011",El Borrachito
21,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:05,"February 9 , 2011",Anabel
22,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:57,"February 9 , 2011",Ya Te Vi
23,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:20,"February 9 , 2011",El Farolito
24,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,3:44,"February 9 , 2011",Tatuajes
25,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,2:24,"February 9 , 2011",La Gorriona
26,$ 0.99,La Gorriona '' '',2013 Perico Records,Los Sabios del Norte,4:02,"February 9 , 2011",El Jardinero
27,$ 0.99,Notice Me '' 2012 - Little Carlos Retro Mix '',2012 InHouse Records,"Matthias Heilbronn , Sandee",8:49,"July 30 , 2012",Notice Me ( Little Carlos Retro Mix )
28,$ 1.29,# 1 in Heaven ( Azari & III Remix ),2012 InHouse Records,Mndr,5:27,"July 23 , 2013",# 1 in Heaven ( Azari & III Remix )
29,$ 1.29,# 1 in Heaven ( Remixes ),2012 InHouse Records,Mndr,6:06,"July 23 , 2013",# 1 in Heaven ( DJ Skeet Skeet Remix )
30,$ 1.29,# 1 in Heaven ( Remixes ),2012 InHouse Records,Mndr,4:19,"July 23 , 2013",# 1 in Heaven ( Infuze Remix )
31,$ 1.29,# 1 in Heaven,2012 InHouse Records,Mndr,3:56,"July 23 , 2013",# 1 in Heaven
32,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,22:04,"December 9 , 2001",167 : Dobson Comes to Town
33,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,1:48,"December 9 , 2001",167a : Bonus ! The Creation Of Dobson Comes To Town '' ''
34,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,23:54,"December 9 , 2001",179 : You Got ta Be Wise
35,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,4:14,"December 9 , 2001",179a : Bonus ! The Creation Of The Adventures In Odyssey Theme Song
36,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,23:39,"December 9 , 2001",180 : Isaac the Pure
37,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,23:25,"December 9 , 2001",181 : It Takes Integrity
38,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,22:19,"December 9 , 2001",182 : The Scales of Justice
39,$ 1.99,# 13 : It All Started When ...,2006 Focus on the Family,Adventures in Odyssey,0:54,"December 9 , 2001",182a : Bonus ! Aio Time Filler Features
