digital_track_id,singer_name,genre_classification,track_label,time_min,album,song_release_date,music_price
11184,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Death ( Album Version ) [ Clean ],4:14,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11185,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Horse & Carriage ( Album Version ) [ Clean ],4:01,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11186,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast","Me , My Moms & Jimmy ( featuring Kenny Greene ) ( Album Version )",3:56,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11187,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Prophecy ( featuring Kelly Price ) ( Album Version ),4:28,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11188,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",We Got It ( featuring Mase ) ( Album Version ),3:42,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11189,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",D Rugs ( featuring Brotha ) ( Album Version ),4:20,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11190,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Feels Good ( featuring Usher ) ( Album Version ),3:52,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11191,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Phone Interlude ( Album Version ) [ Clean ],1:07,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11192,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",A Pimp 's A Pimp ( featuring Jermaine Dupri ) ( Album Version ) [ Explicit ],4:33,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11193,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Confessions ( Album Version ) [ Explicit ],5:53,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11194,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Fuck You ( Album Version ) [ Explicit ],2:35,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11195,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Me & My Boo,4:19,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11196,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Shanghai ( Album Version ) [ Clean ],4:21,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11197,Cam ` Ron,"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",Who 'S Nice ( Album Version ) [ Clean ],4:19,Confessions Of Fire [ Explicit ],"July 21 , 1998",$ 0.99
11198,Tori Kelly,Pop,Confetti,3:59,Confetti,,$ 0.99
11199,Demi Lovato,Pop,Confident [ Explicit ],3:25,Confident ( Deluxe Edition ) [ Explicit ],"October 16 , 2015",$ 1.29
11200,Demi Lovato,Pop,Cool for the Summer [ Explicit ],3:34,Confident ( Deluxe Edition ) [ Explicit ],"October 16 , 2015",$ 1.29
11201,Demi Lovato,Pop,Old Ways,3:34,Confident ( Deluxe Edition ) [ Explicit ],"October 16 , 2015",$ 1.29
11202,Justin Bieber,Pop,Confident [ feat . Chance The Rapper ],4:08,Confident,"December 9 , 2013",$ 1.29
11203,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Anechoic Chamber,1:33,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11204,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Jihad,4:13,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11205,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Analytical,4:28,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11206,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Wither,1:52,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11207,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Regalos De Mota,5:12,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11208,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Extreme of Paranoia,4:50,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11209,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",A.Z.T.,0:47,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11210,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Waiting For the Milennium,3:20,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11211,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Live at Your Mom 's House,0:30,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11212,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Exhumed Remains,1:45,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11213,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Britches,0:22,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11214,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",The Struggle,2:29,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11215,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Trailer Park Meth Queen,1:02,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11216,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Phantom Pharter,1:20,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11217,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Strung Out on Viagra,1:15,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11218,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Perversions and the Guild After,3:51,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11219,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Stepped in Cow Shit Blues,0:32,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11220,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Father Pederast,0:08,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11221,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Once More With Feeling,0:04,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11222,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Untitled 1,0:04,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11223,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Untitled 2,0:10,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11224,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Shut Up,0:04,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11225,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Novacaine ( Re-Installing Teeth ),0:14,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11226,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Shrimp Po ' Boy,0:50,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11227,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Celebrate,0:08,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11228,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Occular Penile Recepticle,2:20,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11229,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Dave 's Lunch,1:51,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11230,Cephalic Carnage,"Thrash & Speed Metal , Hard Rock & Metal , Rock",Untitled 3,2:17,Conforming to Abnormality,"April 29 , 2008",$ 0.99
11231,Cas Haley,"International , Pop , Caribbean & Cuba , Reggae",Release Me ( The Fear ),4:12,Connection,"September 14 , 2010",$ 0.99
11232,Cas Haley,"International , Pop , Caribbean & Cuba , Reggae",Better,3:20,Connection,"September 14 , 2010",$ 0.99
11233,Cas Haley,"International , Pop , Caribbean & Cuba , Reggae",Take A Chance,4:14,Connection,"September 14 , 2010",$ 0.99
11234,Cas Haley,"International , Pop , Caribbean & Cuba , Reggae",Will I Find,3:22,Connection,"September 14 , 2010",$ 0.99
