amazon_id,legal_info,alb_name,dollar_price,song_label,publication_date,genre_classification,musician
33552,2008 Because Music,Nights Out,$ 0.89,Radio Ladio,"September 8 , 2008",Dance & Electronic,Metronomy
33553,2008 Because Music,Nights Out,$ 0.89,My Heart Rate Rapid,"September 8 , 2008",Dance & Electronic,Metronomy
33554,2008 Because Music,Nights Out,$ 0.89,Heartbreaker,"September 8 , 2008",Dance & Electronic,Metronomy
33555,2008 Because Music,Nights Out,$ 0.89,On The Motorway,"September 8 , 2008",Dance & Electronic,Metronomy
33556,2008 Because Music,Nights Out,$ 0.89,Side 2,"September 8 , 2008",Dance & Electronic,Metronomy
33557,2008 Because Music,Nights Out,$ 0.89,Holiday,"September 8 , 2008",Dance & Electronic,Metronomy
33558,2008 Because Music,Nights Out,$ 0.89,A Thing For Me,"September 8 , 2008",Dance & Electronic,Metronomy
33559,2008 Because Music,Nights Out,$ 0.89,Back On The Motorway,"September 8 , 2008",Dance & Electronic,Metronomy
33560,2008 Because Music,Nights Out,$ 0.89,On Dancefloors,"September 8 , 2008",Dance & Electronic,Metronomy
33561,2008 Because Music,Nights Out,$ 0.89,Nights Outro,"September 8 , 2008",Dance & Electronic,Metronomy
33562,2008 Because Music,Nights Out,$ 0.89,Please Me ( Bonus Track ),"September 8 , 2008",Dance & Electronic,Metronomy
33563,2008 Because Music,Nights Out,$ 0.89,The Chase,"September 8 , 2008",Dance & Electronic,Metronomy
33564,2008 Because Music,Nights Out,$ 0.89,Heartbreaker ( Discodeine Remix ),"September 8 , 2008",Dance & Electronic,Metronomy
33565,2008 Because Music,Nights Out,$ 0.89,Heartbreaker ( Kris Menace Remix ),"September 8 , 2008",Dance & Electronic,Metronomy
33566,2008 Because Music,Nine Track Mind,$ 1.29,One Call Away,"January 22 , 2016",Pop,Charlie Puth
33567,2008 Because Music,Nine Track Mind,$ 1.29,As You Are ( feat . Shy Carter ),"January 22 , 2016",Pop,Charlie Puth
33568,2008 Because Music,Nine Track Mind,$ 1.29,Marvin Gaye ( feat . Meghan Trainor ),"January 22 , 2016",Pop,Charlie Puth
33569,2008 Because Music,Nine Track Mind,$ 1.29,My Gospel,"January 22 , 2016",Pop,Charlie Puth
33570,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,Second Song,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33571,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,Keep Your Heart,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
33572,( C ) 2011 DGC Records,Nine Types Of Light ( Deluxe Version ),$ 1.29,You,"April 12 , 2011","Alternative Rock , Indie & Lo-Fi",TV On The Radio
