sku_id,vendor,sku_model,product_name,cat_name,item_price
0,draper,121066,draper infrared remote transmitter,electronics - general,58.45
1,epson,elplp12,epson 1500 hours 200w uhe projector lamp elplp12,monitors,438.84
2,comprehensive,bj-2c7559,comprehensive two-piece 75 precision bnc jack for rg-59 set of 25,tv accessories,59.25
3,d-link,dcs-1100,d-link dcs-1100 network camera,garden - general,99.82
4,startech,rkpw247015,startech.com rkpw247015 24 outlet power strip,electronics - general,59.0
5,3m,fr530cb,3m fr530cb ergonomic adjustable footrest,furniture,67.88
6,hp,c6020b,hp c6020b coated paper 1 roll 36-inches x 150 ft,stationery & office machinery,49.88
7,visioneer,rw120-wu,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,199.98
8,brother,dk2113,brother dk2113 ql label printers continuous length tape,stationery & office machinery,64.88
9,3m,mw310le,3m mw310le gel mouse pad,electronics - general,17.88
10,lacie,130935,lacie formoa 15 macbook carrying case black,electronics - general,15.0
11,draper,116263,draper high contrast grey targa electric screen - widescreen 182 diagonal,electronics - general,1730.95
12,draper,106018,draper at1200 access multiview series e acoustically transparent screen - 106 diagonal hdtv to ntsc format,electronics - general,4375.95
13,stanley,pc509,stanley 500 watt power inverter,electronics - general,34.88
14,gear head,wc1200red,gear head quick 1.3 mp webcam with night vision red black,electronics - general,15.98
15,avery,5029,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,21.47
16,xfx,hd685xzndc,xfx radeon hd6850 pcie 1gb ddr5 graphics card,electronics - general,195.0
17,skb cases,3skb-1914mr,skb cases ph series pull handle case 11 1 2 h x 21 5 8 w x 16 3 8 d outside,electronics - general,214.99
18,innovera,39701,innovera cd dvd pocket with built-in label tab clear 25 pack,storage,5.28
19,hp,c4890a,hp 80 ink printhead printhead cleaner black c4890a,stationery & office machinery,268.79
20,mead,6622,mead spiral bound notebook college rule,stationery & office machinery,3.88
21,iogear,gcs632uw6,iogear 2-port miniview micro usb plus kvm switch,networking,37.57
22,quartet,2305,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,stationery & office machinery,91.44
23,avery,,avery shipping labels for color laser copier 3-3 4 x 4-3 4 matte white 100 pack,stationery & office machinery,16.67
24,aluratek,2782753,aluratek deluxe leather travel case for the libre ebook reader pro,mp3 accessories,23.1
25,hp,hp ce278a,hp ce278a black laserjet print cartridge,printers,69.84
26,cyberpower,cp1000pfclcd,cyber power pfc 1000va lcd sinewave adaptive intelligent ups,electronics - general,151.0
27,tribeca,fva2868,tribeca dallas cowboys 15 sleeve for macbook pros,electronics - general,31.88
28,,6644wh,tablemate plastic dinnerware 6 inch plates 125pk,house wares,18.97
29,vantec,nst-400mx-s2,vantec nexstar mx dual 3.5 sata hard drive enclosure,electronics - general,49.71
30,fuji,mini film 2pk,fujifilm instax mini twin pack film,film cameras,20.28
31,tribeca,fva2782,chicago bears camera case,electronics - general,19.99
32,da-lite,88604,da-lite da-mat deluxe fast fold complete front projection screen - 68 x 68,electronics - general,829.99
33,sunpak,72-in-1-cr,sunpak 72-in-one card reader with sim slot,photography - general,0.0
34,hp,51645a,hp 45 black inkjet cartridge 51645a,printers,35.78
35,tomtom,1ep001901,tomtom xxl 550,gps,169.95
36,iluv,imm153pnk,iluv desktop alarm clock with bed shaker for your iphone ipod - pink,portable audio,54.88
37,roocase,222043,roocase multi-angle folio leather case stylus for acer iconia tab a500,electronics - general,47.99
38,peerless,st660-s,peerless smartmount universal tilt mount 32 - 60 screens,computers,112.99
39,iomega,34508,iomega 34508 dvr expander hard drive,hard drives,99.98
40,da-lite,93163,da-lite 93163 model b manual wall and ceiling projection screen,electronics - general,149.88
41,kingston,ktd-dm8400a / 1g,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module,memory,22.92
42,sony,mdrex35lp/vb,sony mdrex35lp vb colorful headphone with case - violet blue,mp3 accessories,13.54
43,siig,ic-510012-s2,siig soundwave 5.1 channel pci sound card,electronics - general,19.84
44,draper,102300,draper m1300 access series v electric screen - hdtv 119 diagonal,electronics - general,2107.95
45,draper,218033,draper flexible matte white cinefold replacement surface portable screen - 10 6 x 14 ntsc format,electronics - general,615.0
46,read right,,read right keyboardkleen kit 2.5 oz . pump spray,electronics - general,12.88
47,quartet,101el,quartet ultima presentation dry erase easel melamine 27 x 34 white black frame,stationery & office machinery,233.05
48,dp video,dbd805,dp video 7 touchscreen double din in-dash multimedia receiver dbd805,car stereos,199.99
49,targus,tss28802us,targus impax sleeve for 15 macbook pro red,electronics - general,35.0
50,avery,5706,avery economy vinyl round ring view binder,stationery & office machinery,7.91
51,wilson jones,38544b,wilson jones d-ring vinyl view binder,stationery & office machinery,16.4
52,link depot,c6m-3-gyb,link depot 3 ethernet enhanced cat6 networking cable gray,networking,2.98
53,da-lite,27528,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format,electronics - general,2608.99
54,canon,dr-2010c,canon imageformula dr-2010c compact color scanner,electronics - general,479.98
55,dreamgear,dgipad-4541,dreamgear i.sound stand for ipad,mp3 accessories,56.09
56,edge tech,pe209780,edge tech proshot 4gb sdhc class 6 memory card,usb drives,10.88
57,vantec,mrk-515st,vantec nexstar se 2.5 sata hard drive rack,electronics - general,10.74
58,sennheiser,sh350ip,sennheiser sh 350 ip binaural headset with noise canceling microphone,electronics - general,150.0
59,samsung,rbtl205,samsung tl205 refurbished 12.2 mp black digital camera 6.3-18 .9 mm f 3.2 3x zoom lens 2.7 dual lcd vga movie recording w 50 bonus prints,digital cameras,79.0
60,draper,252031,draper m2500 clarion fixed frame screen - 124 x 124 diagonal av format,electronics - general,1883.99
61,kensington,82024,kensington 82024 memory foam seat backrests,furniture,29.88
62,blackberry,acc-39311-301,blackberry leather sleeve for playbook tablet black,electronics - general,29.88
63,arclyte,arclyte era02142,arclyte mobilestyle mini usb car charger jet black electric blue,mp3 accessories,25.0
64,tribeca,fva4005,los angeles lakers iphone 3g duo case,electronics - general,24.99
65,epson,t020201,epson t020201 color ink cartridge,printers,27.0
66,q-see,qsd360,q-see professional indoor dome camera qsd360,garden - general,99.82
67,microsoft,rka00014,microsoft vx-5000 lifecam webcam red,electronics - general,27.82
