record_id,retail_price,model_num,segment,display_name,b_name
510,6.88,u050-010,electronics - general,tripp lite 10 usb 2.0 a to micro-usb b device cable,tripp lite
511,36.88,tl-ps110p,networking,tp-link tl-ps110p print server,tp link
512,34.97,51629a,printers,hp 29 black inkjet cartridge 51629a,hp
513,49.88,ioc-7707,electronics - general,cables unlimited 2 port e-sata controller pci express card,cables unlimited
514,49.73,ih16g,electronics - general,ihome portable stereo alarm clock with ipod dock gunmetal,ihome
515,16.88,4250300,electronics - general,micro innovations 4250300 comfort keyboard,digital innovations
516,379.0,,television,rca 32 class lcd 720p 60hz hdtv 32la30rq rca home theater system with 6ft hdmi cable bundle,
517,79.99,146417,electronics - general,targus 15.4 corporate traveler laptop case,targus
518,30.84,ssk107,computers,seal shield ssk107 medical grade keyboard - dishwasher safe black usb,seal shield
519,45.94,4030,stationery & office machinery,avery dot matrix printer address labels 2 across 3-1 2 x 15 16 10000 box,avery
520,340.99,137020,electronics - general,draper glass beaded salara series m manual screen - 7 diagonal ntsc format,draper
521,3380.95,125130,electronics - general,draper irus rear projection screen with no frame - 100 diagonal ntsc format,draper
522,29.98,vcca002wpc,camera and camcorder accessories,veho vcca002wpc waterproof case for muvi muviturin,veho
523,55.99,222057,electronics - general,roocase executive portfolio leather case stylus for asus eee pad transformer tf101 10.1-inch,roocase
524,0.0,,stationery & office machinery,disney fairies notebook,disney
525,149.99,cz301,car stereos,clarion cz301 cd mp3 wma aac receiver with usb port,clarion
526,318.0,pro2012prrt,software,sage peachtree pro accounting with payroll 2012 pc,sage
527,45.88,98-0440-5155-9,electronics - general,3m natural view screen protector for ipad,3m
528,7.84,3fmusb4gwb-r,usb drives,wintec filemate 4gb swivel usb flash drive black,wintec
529,19.94,96600ros,stationery & office machinery,rubbermaid 6-tier jumbo incline sorter plastic clear,rubbermaid
530,18.88,75101,stationery & office machinery,tops american pride writing pad jr. legal rule 5x8 white 12 50-sheet pads pack,tops business forms
531,29.88,mhc-00019,mice,wireless mobile mouse 6000 bluetrack red,microsoft
532,23.0,nst-260su-bl,electronics - general,vantec nexstar3 2.5 sata to usb 2.0 and esata external hard drive enclosure midnight blue,vantec
533,4.99,43108,electronics - general,grip 43108 30 piece heat shrink tube set,grip
534,74.0,irisphoto4,electronics - general,iris inc. irisphoto 4 scanner,iris
535,24.98,u05502,electronics - general,usb night vision webcam 640 x 480,
536,338.0,nkf-00001,software,microsoft expression studio v 4.0 ultimate upgrade version,microsoft
537,228.0,985-000172,electronics - general,logitech ultimate ears 700 earphones,logitech
538,59.99,dct6s,tv accessories,srs labs analog rca volume leveler,srs labs
539,20.88,ce-mt0b12-s1,furniture,siig ce-mt0b12-s1 satellite speaker mounts in pair,siig
540,32.88,tl-wa500g,networking,tp-link tl-wa500g 54mbps extended range wireless access point,tp link
541,36.16,bn00281-0002,mp3 accessories,igo bn00281-0002 dual usb wall auto charger,igo
542,16.84,t078320,printers,epson t078320 claria hi-definition magenta ink cartridge for epson stylus photo printers,epson
543,45.0,,electronics - general,targus 15.4 notepac plus case onp1,targus
544,6.98,p-sd2gb-fs,usb drives,pny 2gb sd memory card,pny
545,35.99,222052,electronics - general,roocase multi-angle leather case for lg g-slate 8.9-inch 4g tablet,roocase
546,59.82,,electronics - general,microsoft sidewinder x6 keyboard,microsoft
547,14.84,96438,usb drives,verbatim 96438 2gb store n go usb 2.0 flash drive,verbatim
548,10.92,dcfc01,photography - general,targus dcfc01 expedition camera case,targus
549,57.82,peibm30r5149,memory,edge 2gb 2x1gb ecc pc2-4200 cl4 ddr2 kt intelliserver 30r5149,edge
550,87.84,ccm636,garden - general,clover ccm636 ultra-mini color camera,clover electronics
551,28.82,mdlsc10,software,sony creative software download loops standard collection,sony
552,1544.95,112028,electronics - general,draper matte white envoy electric screen - widescreen 162 diagonal,draper
553,700.99,252034,electronics - general,draper m2500 clarion fixed frame screen - 7 diagonal ntsc format,draper
554,2730.99,252129,electronics - general,draper at grey clarion acoustically transparent screen - 120 diagonal widescreen format,draper
555,629.99,85566,electronics - general,da-lite radio frequency wireless remote for horizon,da-lite
556,27.47,lp34992,photography - general,lowepro apex 100 aw all-weather digital slr camera bag,lowepro
557,59.88,mp727-8gblk,mp3,coby 8gb video mp3 player black,coby
558,37.54,mdv3000/f7,dvd players,magnavox mdv3000 f7 dvd player w hdmi,magnavox
559,31.99,89518,electronics - general,da-lite deluxe hinged screen joining clamp for fast fold screens,da-lite
560,9.97,45783,stationery & office machinery,mead medium leatherette journal with bungee closure,mead
561,7799.99,27903,electronics - general,da-lite da-plex self trimming rear projection screen - 96 x 120 av format,da-lite
562,75.0,ps00132-2007,electronics - general,igo universal green ac laptop wall charger,igo
563,8.39,wosqpp418-whi,stationery & office machinery,bic wite-out shake n squeeze correction pen white 4-pack,bic
564,5.88,bl11-pnk,stationery & office machinery,bic brite liner highlighter chisel tip pink 1-dozen,bic
565,199.88,15706,stationery & office machinery,victor 1570-6 desktop two-color printing calculator,victor
566,21.94,b8rcfc,stationery & office machinery,stanley bostitch b8 flat clinch stapler,stanley bostitch
567,123.0,deh-3300ub,car stereos,pioneer cd player with mp3 wma playback,pioneer
568,358.0,1015pn-pu27-wt,laptop computers,asus white 10.1 eee seashell 1015pn-pu27-wt netbook pc with intel atom dual-core n570 processor and windows 7 starter,asus
569,38.73,sl1024wp,electronics - general,sakar soundtilt headphones white and purple,sakar
570,49.0,mxt101mmhq70,electronics - general,startech 70 coaxial high resolution monitor vga cable,startech
571,3.88,v7n3c5e-14f-red,electronics - general,v7 14 cat5e network patch cable red,v7
572,29.82,nud-00001,electronics - general,microsoft wireless laser desktop 3000 keyboard and mouse combo,microsoft
573,6.94,686f50wh,stationery & office machinery,post-it durable file tabs 2 x 1 1 2 striped 50 pack,post-it
574,198.0,mhs-ts20 / b,camcorders,sony bloggie touch mhs-ts20 mp4 pocket hd video camera with 3 lcd and 4 hour record time black,sony
575,174.88,010-00777-00,fish finder,garmin foretrex 401 portable gps system,garmin
576,1919.99,27647,electronics - general,da-lite da-glas deluxe rear projection screen - 50 x 50 av format,da-lite
577,66.19,40964,electronics - general,da-lite tilt lock single pair or container of 12 pairs,da-lite
578,30.44,pa248u2,electronics - general,targus chill mat laptop cooling stand,targus
579,40.18,rt-spipad01,mp3 accessories,green onion supply rt-spipad01 glossy screen protector for apple ipad,green onions supply
580,60.0,dlche37hfw,tv accessories,sony 12 hdmi flat cable with ethernet,sony
581,409.0,r85wh1-wide,electronics - general,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,elite screens
582,25.56,ih-m821wb,mice,ihome wireless optical mouse black,ihome
583,39.99,,furniture,chief manufacturing 1 1 2 npt coupler with cable access feature,chief manufacturing
584,41.88,gbhfk331,electronics - general,iogear solar bluetooth caller announce hands-free car kit,iogear
585,11.88,icc1113clr,mp3 accessories,iluv ipod nano 6g clear glare-free screen film,iluv
586,18.9,fva3738,mp3 accessories,tribeca varsity jacket silicone case for ipod touch miami heat,tribeca
587,24.87,cxt175,walkie-talkie/frs,cobra 16-mile cxt125 2-way radios 2-pk,cobra
588,89.96,000mio5000m,electronics - general,mionix naos 5000 laser gaming mouse,mionix
589,84.0,sh230,electronics - general,sennheiser sh 230 monaural headset,sennheiser
590,1239.5,101274,electronics - general,draper hidef grey premier electric screen - ntsc 7 diagonal,draper
591,9.88,usb-db25f,printers,sabrent usb 2.0 to db25f parallel printer cable,sabrent
592,99.82,cmz6gx3m3a1600c,memory,corsair vengeance 6gb 3 x 2gb ddr3 1600mhz pc3-12800 dimm memory module cmz6gx3m3a1600c8,corsair
593,12.98,g985,photography - general,golla summer spring collection digital camera bags assosted colors,golla
594,79.93,d2998,electronics - general,uniden d2998 dect 6.0 loud and clear digital answering system with cordless handset,uniden
595,38.88,06-ce-mak1,mp3 accessories,hoffco 06-ce-mak1 mobile accessory kit,amp energy
596,17.0,pcm-2240-15,electronics - general,cables unlimited - 15 svga male - male monitor cable with audio connections,cables unlimited
597,16.47,8692,printers,avery matte white cd dvd labels for inkjet printers 40 face labels 80 spine labels,avery personal creations
598,43.99,222056,electronics - general,roocase executive portfolio leather case for asus eee pad transformer tf101 10.1-inch,roocase
599,40.82,cm2x2048-6400c5,memory,corsair cm2x2048-6400c5 xms2 2gb pc2-6400 800mhz 240-pin ddr2 cl5 dual channel desktop memory kit,corsair
600,32.88,k72334us,mice,kensington k72334us slimblade mouse with nano receiver - laser,kensington
601,384.88,,electronics - general,plantronics wo100 savi office wireless earset,plantronics
602,68.59,730300,stationery & office machinery,elmer s corrugated display board 48 white 25-carton,
603,10.88,v7-dv4141-06,electronics - general,v7 v7-dv4141-06 6 replacement m m dvi cable by belkin,v7
604,47.82,31100058100,computers,genius easypen i405 graphics tablet - 4 - 2540 lpi - pen - usb,genius
605,165.25,sc-t8411,electronics - general,mustang 84 x 84 tripod screen in matte white,mustang
606,11.84,pe214487,usb drives,edge 2gb micro sd memory card plus adapter,edge tech
607,3518.45,111554,electronics - general,draper high contrast grey signature series e electric screen - widescreen 190 diagonal,draper
608,653.45,206043,electronics - general,draper glass beaded luma 2 manual screen - 15 diagonal ntsc format,draper
609,10.98,usb2habm1,electronics - general,startech 1 ft. mini usb 2.0 cable a to mini b,startech
610,499.0,p6533w-b,desktop computers,hp black pavilion p6533w-b desktop pc with amd athlon ii 250 processor 21.5 windows 7 home premium,hp
611,22.88,b116c-007b-40,tv accessories,accell proultra 2m hdmi ethernet cable,accell
612,888.99,34716,electronics - general,da-lite video spectra 1.5 advantage manual with csr - wide format 113 diagonal,da-lite
613,69.94,8414,stationery & office machinery,buddy products 4-pocket wall file with supplies organizer black,buddy products
614,56.88,a361-12cp,car stereos,atrend-bbox a361-12cp b box series speaker,atrend
615,116.0,tl-sg1024d,networking,tp-link network tl-sg1024d 24 port gigabit desktop switch,global marketing
616,0.0,815-4tupcf,electronics - general,rayovac alkaline aa batteries 4pk,rayovac
617,89.99,cz101,car stereos,clarion cz101 single cd mp3 wma aac receiver,clarion
618,10.84,lost-surfflb/4g,usb drives,lost 4gb flashback surfdrive usb flash drive,ep memory
619,74.0,gb-711p-b,camera and camcorder accessories,giinii 7 digital picture frame white stardust,giinii
620,46.88,lc-ipad2-std,electronics - general,premiertek flip leather case with stand for ipad 2,premiertek
621,88.88,zt-40604-10l,electronics - general,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,zotac
