product_code,type,maker,product_code,unit_price,product_label
1020,electronics - general,dicota,n25858p,25.0,dicota 10 dee slimcase gray
1021,electronics - general,samsill,36031samsill,34.99,samsill altego 15 neoprene laptop sleeve platinum
1022,electronics - general,siig,ju-sa0912-s1,20.39,siig 2.5 sata superspeed usb 3.0 hard drive enclosure
1023,electronics - general,link depot,ld-hds-slv,7.45,link depot stereo handsfree headphones silver
1024,laptop computers,motorola,89453n,26.99,motorola xoom vehicle power adapter
1025,camcorders,kodak,mini video red,49.0,kodak mini red video camera 1.8 lcd display
1026,monitors,viewsonic,va2248m-led,155.0,viewsonic 22 widescreen led-lcd monitor black va2248m-led
1027,electronics - general,nugiant,nss03,16.88,nugiant galaxy nss03 surge suppressor
1028,software,adobe,65045677,149.99,adobe software photoshop premiere element bd version 8
1029,storage,sparco,,84.99,sparco products storage file box ltr string button cls 12 x24 x10-1 4 white
1030,printers,canon,8489a001aa,79.53,canon x25 toner cartridge 8489a001aa
1031,camera and camcorder accessories,sony,vctr100,24.54,sony 39 lightweight camera and camcorder tripod vct-r100
1032,electronics - general,belkin,f3u133-10-gld,9.54,belkin 10 gold-plated usb printer cable
1033,electronics - general,siig,nn-830012-s2,61.92,siig firewire 800 3-port pci
1034,electronics - general,ergotron,31-017-182,59.84,ergotron 31-017-182 wall track - aluminum
1035,computers,i/omagic corporation,idvd22dle,79.88,i omagic idvd22dle 22x dvd
1036,mp3 accessories,maxell,,20.87,maxell 635128 8x dvd-r media
1037,monitors,planar,997-2797-00,179.0,planar 997-2797-00 pl series pl1910m lcd monitor
1038,mp3 accessories,hp,c7973w,29.42,hp c7973w ultrium 800 gb worm data cartridge
1039,electronics - general,roocase,220225,43.99,roocase 2-in-1 kit - easy-view leather easel cover for b n nook color
1040,electronics - general,thermaltake,,109.82,thermaltake tr2 750w atx12v eps12v power supply - 110 v ac 220 v ac
1041,electronics - general,draper,115019,2969.2,draper matte white rolleramic electric screen - av format 8 x 20
1042,electronics - general,draper,118212,3602.0,draper m2500 ultimate access series v electric screen - av format 9 x 9
1043,electronics - general,draper,118204,3961.5,draper m1300 ultimate access series v electric screen - widescreen 162 diagonal
1044,mp3 accessories,ifrogz,it4lo-blu/blk,29.99,ifrogz ipod touch 4 luxe original case blue black
1045,electronics - general,startech,st121utpep,129.0,startech vga video extender over cat5 point to point
1046,software,topics ent,81050,34.98,instant play piano deluxe v3 .0
1047,electronics - general,pc treasures,07186,57.74,pc treasures external dvd-rw drive pink
1048,electronics - general,jvc,haebx85p,14.54,jvc haebx85p sports ear-clip headphones - pink
1049,electronics - general,iluv,ibg2030blk,19.0,iluv 17 macbook pro sleeve black
1050,stationery & office machinery,hammermill,163110,8.94,hammermill color laser gloss paper 8-1 2 pack of 300 sheets
1051,electronics - general,,,7.76,bic triumph 537 0.5 mm needle point roller pen black 4 ct. 2-pack
1052,electronics - general,da-lite,5721,222.99,da-lite pixmate height adjustable 22 x 20 shelf cart with projector well
1053,computers,,,89.0,back to school hard drive value bundle 1tb-2tb
1054,desktop computers,msi,ae2240037us,799.0,msi black wind top ae2240-037us all-in-one desktop pc with intel core i3-380m processor 1tb hard drive 21.5 widescreen monitor and windows 7 home premium
1055,car stereos,scosche,abs1212,9.88,scosche 12 x 12 pre scored abs sheet
1056,monitors,benq,9h . l4mln.iba,119.0,benq 20 widescreen led monitor gl2030 black
1057,stationery & office machinery,s j paper,,45.69,s j paper file jackets with 1 1 2 expansion letter 11 pt . manila 50 ctn
1058,furniture,us brown bear,,39.99,us brown bear super slim series medium ultra low profile led tv mount for 23 - 37 displays
1059,electronics : flat panel tv,vizio,rbm220va,169.99,vizio 22 ultra slim design rbm220va refurbished
1060,electronics - general,da-lite,27590,4635.99,da-lite da-plex self trimming rear projection screen - 58 x 104 hdtv format
1061,electronics - general,da-lite,83210,935.99,da-lite high power model c manual screen - 9 x 12 av format
1062,electronics - general,da-lite,34718,1060.99,da-lite matte white advantage manual with csr - wide format 130 diagonal
