item_code,p_name,base_price
0,linksys etherfast ezxs88w ethernet switch ezxs88w,
1,linksys etherfast ezxs55w ethernet switch,
2,netgear prosafe fs105 ethernet switch fs105na,
3,belkin pro series high integrity vga/svga monitor extension cable f3h982-10,
4,netgear prosafe jfs516 ethernet switch,
5,lacie pocket floppy disk drive 706018,
6,canon kp 36ip print cartridge paper kit 7737a001,9.99
7,kensington orbit optical trackball usb w/ps2 adapter 64327,
8,linksys etherfast ef4116 ethernet switch,
9,linksys etherfast ef4124 ethernet switch,64.99
10,linksys instant gigabit eg005w ethernet switch,
11,linksys g wireless-g wet54g wireless bridge,
12,tripp lite powerverter 375-watt ultra-compact inverter pv375,
13,netgear prosafe gs105 ethernet switch gs105na,
14,belkin monitor cable f3h982-25,15.98
15,logitech driving force pro for playstation 2 963293-0403,
16,belkin ac anywhere 300w power inverter f5c400-300w,
17,linksys wireless-g range expander wireless bridge wre54g,
18,sony vaio notebook and ac adapter case vgpamc2,
19,d-link express ethernetwork high-speed docsis 2.0 cable modem dcm-202,
20,sony notebook and ac adapter cases vgpamc3,12.99
21,panasonic black toner cartridge kx-fa83,
22,logitech z-2300 multimedia speaker system 970118-0403,
23,sony high definition mini dv cassette dsl-190-b,
24,netgear prosafe wg102 wireless access point 802.11 g wg102na,
25,netgear rangemax wpn802 wireless access point wpn802na,
26,netgear prosafe fs726tp 24 port 10/100 smart switch fs726tpna,
27,playstation 2 memory card 8mb,
28,sony 7-11719-70670-0 ps2 8 mb memory card 2-pk 97067,
29,playstation 2 dualshock analog controller green,
30,playstation 2 dvd remote 97076,
31,sennheiser nickel metal hydride battery for headsets ba-151,14.34
32,sony minidv head cleaner dvm12cld,7.95
33,sony sb-v40s a/v selector sbv40s,
34,panasonic kx-ts108w corded phone,
35,panasonic kx-ts208w corded phone,
36,garmin canvas deluxe carry case 010-10231-01,17.45
37,sony h.ear stereo earphones mdrj10/blue,12.38
38,belkin pro series usb device cable 16 f3u133-16,12.21
39,omnimount universal wall speaker mounting kit 20.0 wall-b,24.34
40,omnimount stainless steel speaker mount 20.0 wall-w,
41,sanus euro foundation series iii speaker stand efsatsiii,
42,peerless adjustable tv wall mount pm1327,
43,sanus euro foundation series iii speaker stand efsatbkiii,
44,panasonic kx-tca86 headset,11.03
45,sony vct-r640 tripod vctr640,
46,sanus flat panel tv wall mount vmf,
47,sanus speaker mount wms3b black,
48,sanus wall/ceiling speaker mount wms3s silver,
49,sony mini dvd-r media 3dmr30l1h,6.99
50,panasonic kx-ts3282b corded phone,
51,sennheiser rs 120 wireless hi-fi headphone rs120,
52,sanus flat panel tv wall mount vmpl50-b,
53,sony ps-lx350h belt-drive turntable,
54,sony str-de197 av receiver 100 watts per channel,122.43
55,sanus television turntable tv/lcds,
56,panasonic kx-tca92 headset,18.42
57,panasonic kx-tsc14b corded telephone,
58,sony cdp-cx355 300 disc megastorage cd changer,169.13
59,sanus flat panel tv wall mount vm1b,69.99
60,canon nb-2lh battery pack 9612a001,
61,olympus b-90su aa/aaa size battery charger 200899,
62,sony cdx-565mxrf 10-disc cd/mp3 changer,134.12
63,omnimount tv top shelf mount,21.49
64,canon nb-4l rechargeable camera battery 9763a001,36.89
65,panasonic 3x dvd-ram media,
66,canon cb-2lv battery charger 9764a001,
67,canon ef-s 17-85mm f/4 -5.6 is usm standard zoom lens,515.0
68,sennheiser rs 140 wireless rf headphone rs-140,144.97
69,sennheiser rs 130 wireless headphone rs130,144.95
70,sony fontopia earbuds mdrex81lpb,34.88
71,sanus visionmount flat panel tv wall mount vmpl3b,144.05
72,sanus flat panel tv wall mount vm400s,
73,sanus under cabinet lcd tv mount vmuc1s,
74,sanus flat panel tv wall mount vm400b,
75,sanus universal projector ceiling mount vmpr1b,
76,weber 848001 performer 22.5 ' charcoal grill in dark blue,
77,weber 841001 performer 22.5 ' charcoal grill in black,
78,plantronics voyager 510 bluetooth earset,
79,omnimount tv top shelf mount cch1p,
80,sony lcs soft carrying case lcscst,9.95
81,linksys wrv54g wireless-g vpn broadband router,
82,kingdom hearts ii,19.99
83,canon cli-8m ink cartridge 0622b002,10.35
84,"canon ink cartridge for pixma ip1600 , ip6210d and ip6220d printers 0617b002",19.11
85,"canon ink cartridge for pixma ip4200 , ip5200 , ip5200r and ip6600d printers 0620b002",13.99
86,canon cli-8c ink cartridge 0621b002,13.99
87,canon cli-8y ink cartridge 0623b002,13.99
88,canon black ink cartridge 0615b002,
89,canon pgi-5bk black ink cartridge 0628b002,14.99
90,peerless universal flat wall mount sf640p,
91,netgear prosafe fs116p ethernet switch fs116pna,
92,peerless universal tilt wall mount,
93,netgear prosafe jgs524f 24-port gigabit ethernet switch jgs524fna,
94,tripp lite video cable p502-025,
95,logitech dinovo media desktop laser 967562-0403,
96,logitech cordless desktop mx 5000 laser 967562-0403,
97,canon cli-8pc photo cyan ink cartridge 0624b002,13.99
98,canon cli-8pm photo magenta ink cartridge 0625b002,13.99
