item_id,product_detail,item_category,model_number,item_price,company
2040,skooba design skooba skin 1617 large laptop sleeve in blue microsuede with blue lining,electronics - general,725-303,33.99,skooba design
2041,draper glass beaded rolleramic electric screen - av format 8 x 10,electronics - general,115041,1551.95,draper
2042,draper truss-style dress kit black velour,electronics - general,222045,1584.0,draper
2043,philips 6 hdmi ethernet cable,tv accessories,swv3481s/17,27.0,philips
2044,jwin bluetooth keyboard for ipad iphone,electronics - general,ibtkb20blk,63.88,jwin
2045,dell piano black inspiron 560 i560-2191nbk desktop pc bundle with intel pentium dual-core e6700 processor 500gb hard drive 20 widescreen monitor and windows 7 home premium,desktop computers,dell inspiron 560,498.0,dell
2046,x-acto prox electric pencil sharpener silver,stationery & office machinery,1612,59.97,x-acto
2047,corsair value select cmv4gx3m1a1333c9 4gb ddr3 1333mhz sdram desktop memory module,memory,cmv4gx3m1a1333c9,49.82,corsair
2048,da-lite matte white deluxe model b manual screen - 60 x 60 av format,electronics - general,40223,118.99,da-lite
2049,adobe creative suite v. 5.0 design premium upgrade version windows,software,65065612,578.54,adobe
2050,cp technologies clearlinks 6.6 premium gold hdmi cable,electronics - general,cl-hdmi-pg-6 .6 ft,11.4,cp tech
2051,iogear 2.4 ghz multimedia keyboard black,electronics - general,gkm561rw4,62.95,iogear
2052,georgetown hoyas iphone 4 case black shell,electronics - general,fva3162,29.99,tribeca
2053,samsung 1gb ddr2 sdram desktop memory module,memory,mv-2v1g4 / us,22.88,samsung
2054,samsung ht-d5300 3d wi-fi ready home theater system,home theater,ht-d5300,298.0,samsung
2055,energizer 9v nimh 150mah rechargeable battery,electronics - general,nh22nbp,12.97,energizer
2056,hp 45 black inkjet cartridge 51645a,printers,hp 51645a # 140,34.97,hp
2057,belkin 14-foot cat6 ethernet cable,networking,a3l980v14-blk-s,7.88,belkin
2058,sony 1gb memory stick pro duo mark 2 2-pack,camera and camcorder accessories,,29.0,sony
2059,panasonic kx-tg6445t 5-handset dect talking caller id with dual keypad telephone,phones,kx-tg6445t,108.84,panasonic
2060,kimberly-clark professional scott jumbo two-ply bathroom tissue 4 ct,personal care,03148,41.97,kimberly-clark professional
2061,brenthaven prolite iii shoulder case black,electronics - general,114717,79.99,brenthaven
2062,brother lc51c cyan inkjet cartridge for mfc-240c multi-function printer,printers,lc51c,13.49,brother
2063,gear head mp2300blk 3 button wireless optical wheel mouse - black silver,mice,mp2300blk,13.82,gear head
2064,maccase 15 premium leather macbook pro powerbook sleeve,electronics - general,93714,111.96,maccase
2065,siig usb premium aluminum keyboard with hub,electronics - general,jk-us0412-s1,69.84,siig
2066,draper m1300 signature series v electric screen - ntsc 230 diagonal,electronics - general,100327,5382.7,draper
2067,draper high contrast grey ultimate access series e electric screen - av format 72 x 96,electronics - general,119175,2282.45,draper
2068,draper diamondscreen rear projection screen with system 400 black frame - 160 diagonal ntsc format,electronics - general,127149,30515.5,draper
2069,kodak 10c color ink cartridge,printers,10c,19.97,kodak
2070,case logic kindle dx case,electronics - general,153344,23.99,case logic
2071,lexar media ljdff8gbasbna 4gb jumpdrive firefly usb 2.0 flash drive,usb drives,ljdff8gbasbna,16.57,lexar media
2072,pioneer 6.5 4-way speakers 350w,car stereos,ts-a1684r,113.0,pioneer
2073,outdoor bag for ipad white,mp3 accessories,tr-odbipad-wt/en,39.99,simplism
2074,basyx return shell 48-1 4 x24 x29 medium cherry,furniture,,252.0,basyx
2075,ifrogz ipod iphone lux car charger red,mp3 accessories,chargerluxred,11.0,ifrogz
2076,ampad spiral steno book gregg rule 6 canary 70 sheets,stationery & office machinery,25473,5.15,ampad
2077,wintec filemate 16gb color mini usb flash drive aqua,usb drives,3fmsp01u2aq-16g-r,24.84,wintec
2078,dymo d1 standard tape cartridge for dymo label makers 1 4in x 23ft black on clear,stationery & office machinery,43610,17.27,dymo
2079,acme smart 15 laptop sleeve wet black antik,electronics - general,am00778-ceu,29.88,acme
2080,alera valencia series reversible return bridge shell,furniture,va354824my,109.0,alera
2081,da-lite silver matte model c manual screen - 8 x 8 av format,electronics - general,90544,441.95,da-lite
2082,da-lite cherry veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format,electronics - general,73179,167.99,da-lite
2083,cables unlimited sata ii 3gbps to esata cable with straight connectors,electronics - general,flt-6600-39,9.82,cables unlimited
2084,hp webcam hd 3110,electronics - general,hp bk357aa,33.88,hp
2085,pc treasures slipit 17.3 neoprene laptop case titan,electronics - general,07627,19.99,pc treasures
2086,sony cyber-shot dsc-w560 14mp compact camera blue w 4x optical zoom 720p movie 3.0 lcd w 50 bonus prints,digital cameras,dsc-w560 / l,149.0,sony
