ref_id,model_code,product_name,product_category,maker,item_price
0,152132,koss eq50 3-band stereo equalizer,headphone accessories,koss,12.65
1,1163641,kodak black ink cartridge 10b 1163641,inkjet printer ink,kodak,10.28
2,ktc-d320 / 1g,kingston 128mx64 pc2700 compaq evo d320 ktc-d320 1g,computers accessories,kingston,33.75
3,ms-ues2,kinamax ms-ues2 mini high precision usb 3-button 3d optical scroll wheel mouse with retractable cable black,mice,kinamax,6.99
4,k72349us,kensington k72349us wireless mouse for netbooks,mice,kensington,24.0
5,k39324us,kensington blackbelt protection band for ipad 2 k39324us,cases sleeves,kensington,23.92
6,j509black,just5 j509 easy to use unlocked cell phone with big buttons amplified sound personal emergency response system black,unlocked phones,just5,64.11
7,17301,imation corp 50pk cdr 700mb 80min 52x-spindle 17301,cd-r discs,imation,10.29
8,17340,16x dvd-r media,dvd-r discs,imation,6.99
9,ac05065-0001,igo arctic laptop cooling pad ac05065-0001,cleaning repair,igo,29.99
10,fb343aa #ac3,hp touchpad custom fit case,laptop netbook computer accessories,hp,25.04
11,ce749a #bgj,hp laserjet pro p1606dn printer ce749a bgj,laser printers,hp,142.99
12,ce285a,hp 85a laserjet black toner print cartridge - retail packaging ce285a,laser printer toner,hp,
13,cb524a,hp - envelope feeder - 75 sheets,printers,hp,267.24
14,how2r1,hawking hi-gain outdoor wireless-300n dual radio smart repeater,wireless access points,hawking technology,270.99
15,gc23090,griffin technology powerjolt se 2 amp power charger for ipad iphone and ipod black,chargers adapters,griffin technology,14.26
16,gtc-0033,goldtouch usb numeric keypad hub - keypad - usb - 22 keys - white,access-control keypads,goldtouch,37.92
17,010-00697-41,garmin oregon 450t handheld gps navigator,handheld gps,garmin,399.86
18,pa03586-b105,fujitsu scansnap s1500m instant pdf sheet-fed scanner for the macintosh,scanners,fujitsu,418.99
19,,slim folding multi-position tablet stand for galaxy tab motorola xoom asus eee pad transformer and many other tablets includes micro usb cable,touch screen tablet accessories,accessory genie,14.99
20,e95fp-8,energizer max alkaline batteries,d,energizer,14.43
21,etipodusb,emerge tech retractable usb cable for ipod white,mp3 player accessories,emerge tech,4.99
22,ei026gp,ematic 10 in 1 premium accessory kit for ipod touch 3rd gen newest model,mp3 player accessories,xo vision,19.99
23,sd gaming cards,edge sd gaming cards - flash memory card - 1 gb - 130x - sd,computer components,edge,9.0
24,x5290a-z-pe,edge - memory - 16 gb 2 x 8 gb - dimm 240-pin - ddr2 - 667 mhz pc2-5300 - registered - ecc,audio video accessories,edge,594.83
25,d1240-211646-pe,edge - memory - 4 gb - dimm 240-pin - ddr2 - 667 mhz pc2-5300 - registered - ecc,memory,edge,119.24
26,,dry erase board cleaning wet wipes 6 x 9 50,printer accessories,expo,
27,dkvm-cb,d-link dkvm-cb 6 ft kvm cable male to male connectors,networking products,d-link,14.82
28,ze-cbg7d,zeikos ze-cbg7d battery power grip for canon 7d camera,digital camera accessories,zeikos,66.44
29,1129,wintv-hvr-1850 pcie for vista white box pcie atsc hd,computers accessories,hauppauge,91.24
30,wdbacw0010hbk-nesn,western digital my book essential 1 tb usb 3.0 2.0 desktop external hard drive,external hard drives,western digital,79.99
31,94583,verbatim 25pk cd-rw 74min 650mb 16x-24x 94583,,verbatim,17.88
32,95145,verbatim 95145 4.7 gb up to16x white inkjet printable recordable disc dvd r 100 disc spindle,blank media,verbatim,34.98
33,tu2-et100,trendnet usb to 10 100mbps adapter tu2-et100,computer cable adapters,trendnet,17.84
34,tl-ant2412d,tp-link nt tl-ant2412d 2.4 g 12dbi,networking products,tp-link,39.75
35,,teknmotion tm-rcd48ws1 48-disc wallet round black white star,plug play satellite radios,teknmotion,13.0
36,amu59us,targus amu59us kaleidoscope optical mouse,computers accessories,targus,9.99
37,,talkabout mc220r two way radio,microphones accessories,motorola,34.74
38,sd-u1irda-nm,syba sd-u1irda-nm usb fast infra-red adapter,usb network adapters,syba,11.7
39,620-flexprogr,sunpak flexpod digital slr tripod gray,complete tripod units,sunpak,12.95
40,usb21000s,startech.com compact black usb 2.0 to gigabit ethernet nic network adapter usb21000s,network cards,startech,35.23
41,cla110-4,solo sterling collection ipad or e-reader or netbook sleeve holds tablet device up to 10.2 inch netbook black cla110-4,bags cases,solo,14.99
42,sch1,sirius connect sch1 home tuner,,sirius satellite radio,53.99
43,sup-100,sima usb multi cable sup-100,usb cables,sima,25.91
44,ju-000051-s1,parallel printer port,,siig,18.99
45,ic-510111-s1,siig ic-510111-s1 dp soundwave 5.1 channels sound board - tremor 16xx series audio codec processor - pci express - 20 bit - internal,internal sound cards,siig,39.82
46,,sheaffer 93129 - gift collection 300 series ballpoint pen and pencil set black barrel,laminating supplies,sheaffer,
47,loc80,scosche loc80 2-channel adjustable lineout converter,dash mounting kits,scosche,
48,th1702,rca th1702 2gb thumbdrive style mp3 player,mp3 players,audiovox,
49,62903,quality park cd dvd envelopes white pack of 100 62903,media storage organization,quality park,10.89
50,vcg85512gxpb,pny verto geforce 8500gt 512mb video card,computers accessories,pny,
51,deh-p5200hd,pioneer deh-p5200hd cd receiver with hd radio and ipod direct control,accessories supplies,pioneer,134.95
52,sdv2210/27,philips sdv2210 27 hdtv uhf vhf fm indoor tv antenna,,philips,13.0
53,st630,peerless st630 tilt wall mount for 10 to 24 displays black,computer monitor mounts,peerless,22.99
54,pm47,peerless pm47 vcr bracket black,,peerless,15.68
55,,pacon 54611 - six-ply poster board 28 x 22 white 25 carton,,pacon,
56,bl-fu220b,optoma bl-fu220b - projector lamp,lamps,optoma,
57,,nuance pdf converter professional v6,computers accessories,nuance,55.99
58,s1100pj violet,nikon coolpix s1100pj 14 mp digital camera with 5x wide angle optical vibration reduction vr zoom and 3-inch lcd and built-in projector violet,point shoot digital cameras,nikon,
59,af-s 35mm,nikon 35mm f 1.4 g af-s fx swm nikkor lens for nikon digital slr cameras,camera lenses,nikon,
60,jellybee-bl,nextware jellybean case for ipod touch 4g blue,cases,nextware,18.54
61,50pj350,lg 50pj350 50-inch 720p plasma hdtv,tvs,lg,
62,,lapgear 46017 chill case 17,cables interconnects,lapgear,
63,8398513,kodak mini video camera with sd card red,camcorders,kodak,62.5
64,02252,inland proht eva 7-inch tablet case 02252,cases sleeves,inland,10.88
65,ed495aa #aba,hp ed495aa 90 watt smart ac adapter,chargers adapters,hp,18.99
66,010-00897-01,garmin dezl 560lmt 5-inch widescreen bluetooth portable trucking gps navigator with lifetime map traffic updates,portable vehicle gps,garmin,440.0
67,010-00782-20,garmin n vi 1350 series 4.3-inch widescreen portable gps navigator,portable vehicle gps,garmin,132.57
68,,dymo d1 tape cartridge for electronic label makers 1 2w blue on clear,labeling tapes,dymo,19.21
69,22-204-5338,digital camera neck and wrist strap combo,,quantaray,8.99
70,,crystal clear - htc mytouch 4g tpu protector t-mobile,covers skins,avant products,
71,1686b031,canon photo paper plus semi-gloss 13 x 19 inches 20 sheets 1686b031,photo paper,canon,24.49
72,01c,brother lc01c - print cartridge - 1 x cyan - 300 pages,inkjet printer ink,brother,9.99
73,sk422,boss audio sk422 phantom speaker,coaxial speakers,boss,20.0
74,73601,avery self-adhesive laminating sheets 9 x 12 inches box of 50 73601,laminating supplies,avery,16.8
75,as5750-9851,acer as5750-9851 15.6-inch laptop mesh black,laptops,acer,699.0
76,,wintec filemate 4gb swivel usb 2.0 flash drive,computer accessories,wintec,9.99
77,pl2100 laminator,royal laminator pl2100,laminators,royal,30.99
78,,record account book black red cover 144 pages,printer accessories,boorum pease,
79,81906-a,clear front back body protector shield guard with cleaning cloth for apple iphone 4 4g 16gb 32gb 4th generation,screen protector foils,ccm,0.75
80,aza-08011b,polaroid zink media 80 pack photo paper for polaroid pogo cameras and printers,photo paper,polaroid,19.4
81,plmrw65,pyle plmrw65 6.5-inch 200 watt two-way white wake board speakers,coaxial speakers,pyle,94.34
82,ts-g4641r,pioneer ts-g4641r 4-inch x 6-inch 2-way speakers,coaxial speakers,pioneer,31.99
83,40pfl7505d/f7,philips 40pfl7505d f7 40-inch 1080p 120 hz led lcd hdtv black,tvs,philips,628.95
84,sf680-s,peerless sf680s universal fixed low-profile wall mount for 61 to 102 displays silver,audio video accessories,peerless,
85,,s j paper 3in expansion file pockets straight cut mla redrope lgl red 50 box,,s j paper,65.97
86,,new-ampad 45289r - pastel steno book gregg rule 6 x 9 dusty rose 80 sheets 4 pack - amp45289r,storage presentation materials,ampad,24.0
87,r5450-md1g,msi radeon hd 5450 1024 mb ddr3 pci-express 2.0 graphics card md1g,computers accessories,msi,83.56
88,fps-1032,mini printer server with 1 usb 2.0 port,print servers,cp technology,28.47
89,648261,maxell cd-r 700 design series ii 48x 30-spindle,,maxell,11.96
90,lr41,maxell watch battery button cell lr41 ag3 192 pack of 10 batteries,coin button cell,maxell,2.15
91,lh324501c4,lorex edge lh324501c4 4-channel video security dvr with internet 3g mobile viewing and 4 security cameras black,digital security recorders,lorex,429.3
92,pm6-48e,da-lite pixmate pm6-48e - cart for tv - black powder coat - screen size up to 29,accessories supplies,da-lite,
93,tn-115c,brother tn-115c high yield cyan toner cartridge compatible with brother hl-4040cn hl-4070cdw series,laser printer toner,brother,89.45
94,dk-1202,brother dk-1202 paper shipping label roll,shipping labels,brother,16.26
95,,the board dudes 18020ua1 - combination magnetic dry erase foam board 36 x 24 gray,office electronics,the board dudes,
96,f5l017-usb-pbp,belkin usb wireless mobile mouse plum berry,mice,belkin,5.99
97,f3l900-07-ice-s,belkin 7ft rj11m rj11m 100mbps snagless hi-speed internet modem snagless cable ice,modem cables,belkin,7.98
98,b230-m,b230-m voyager pro uc v2 moc bt 38884-01,computers accessories,plantronics,124.99
99,8691,avery cd labels - 100 disc labels 200 spine labels 8691,printer labels laser inkjet,avery,27.54
100,,atlantic inc 25204231 72 disc set album,disc storage wallets,atlantic,19.96
101,ha0435-m005,agf ha0435-m005 case for blackberry torch 9800 and 9810 endo grt - 1 pack - retail packaging - black,cases,agf,23.93
102,a25-pl256-v500,500gb padlock secure usb 2.0 5400 rpm 8mb 256bit aes,external hard drives,apricorn,147.25
103,,column mount notebook-monitor dual arm w smartfit system,office electronics,acco,250.3
104,mp41dhii,canon mp41dhii 14-digit gloview lcd two-color printing desktop calculator black red,printing,canon,58.08
105,ac-cn0412-s1,camera cleaning pen for camera lens viewfinder and display,remote controls,siig,9.25
106,3068a-v,califone switchable stereo mono headphones wired,headphones,acp,10.82
107,pcm-2240-99,cables unlimited pcm-2240-99 svga video cable hdb15 male to male with 3.5 mm audio 100 feet,video cables,cables unlimited,39.63
108,13042,cables to go - 13042 - 25ft velocity rca audio extension cable,rca cables,cables to go,16.4
109,c540a1yg,c54x x543 x544 return prog yellow toner cartridge,laser printer toner,lexmark,48.5
110,,national brand 31364 - 3-subject notebook college margin rule 6-3 8 x 9-1 2 we 120 sheets,printers,national,16.17
111,,mmf industries 201300006 - slotted rack key tags plastic 1-1 2 x 1-1 2 white 20 pack,,mmf,
112,,mivizu ciph4mvzwrpdb00 darke blue endulge iphone 4 skin,cases,mivizu,7.6
113,qva-00001,microsoft wireless laser mouse 6000 v2 .0 mac windows usb,mice,microsoft,19.55
114,t3h-00001,microsoft lifecam hd-3000 t3h-00001,webcams,microsoft,30.24
115,h5d-00003,microsoft lifecam cinema,webcams,microsoft,58.04
116,,merkury m-ips120 ipad r silicone case pink,cases sleeves,merkury,22.0
117,mb sb390-5bb,manfrotto mb sb390-5bb veloce v backpack black,cases bags,manfrotto,44.99
118,910-002081,logitech wireless mouse m305 dark vine 910-002081,mice,logitech,23.65
119,,da-lite perm-wall - projection screen - 110 in 279 cm - 16 9 - high contrast da-mat,projection screens,da-lite,535.0
120,,new-3-in-1netbook netpack white - ihb935nw,computers accessories,lifeworks,
121,,lexmark t654x11a - t654x11a extra high-yield toner 36000 page-yield black,hard drive enclosures,lexmark,558.59
122,e360h11a,lexmark e360h11a high yield return program toner cartridge,printer ink toner,lexmark,170.78
123,wan-2140,levelone wan-2140 panel antenna - directional - 14 dbi - n-type,two-way radios accessories,cp technology,71.55
124,301848u,lacie rugged xl 1 tb usb 2.0 desktop external hard drive 301848u,external hard drives,lacie,114.99
125,18307red,kodak smile g150 red digital photo key chain,storage presentation materials,kodak,17.95
126,1924059,kodak li-ion rechargeable battery klic 7004,camera batteries,kodak,16.29
127,8891467,kodak 10 ink cartridge black,inkjet printer ink,kodak,8.5
128,kta-mb1066k2 / 4gr,kingston apple 4gb kit 2x2gb modules 1066mhz ddr3 sodimm imac and macbook memory kta-mb1066k2 4gr,computers accessories,kingston,24.99
129,ktm5780lp/4g,kingston low power kit - memory - 4 gb 2 x 2 gb - fb-dimm 240-pin - ddr2 - 667 mhz - fully buffered - ecc,computers accessories,kingston,108.54
