ident,prod_title,item_cat,model_no,maker,final_price
4414,creative live cam socialize hd af 720p 10mp webcam,webcams,73vf069000000,creative labs,48.99
4415,creative labs 70gh011000000 sound blaster world of warcraft usb headset,headsets microphones,70gh011000000,creative labs,84.99
4416,roocase dual station leather pink case cover with stand for samsung galaxy tab tablet p1000 wi-fi 3g,cases sleeves,,roocase,18.95
4417,creative d100 wireless bluetooth speakers - blue 51mf8090aa007,computer speakers,51mf8090aa007,creative labs,79.99
4418,ge crdles batry uniden 3.6 v 800mah,accessories supplies,,general electric,2.99
4419,lexa s crafted series black steel mid tower chassis cs-nt-lexa-s,computer cases,cs-nt-lexa-s,nzxt,64.82
4420,cradlepoint mbr1000,modems,cradle-mbr1000,cradlepoint,128.98
4421,corsair vengeance low profile 8 gb pc3-12800 1600mhz 240-pin ddr3 dual channel memory kit sdram cml8gx3m2a1600c9,memory,cml8gx3m2a1600c9,corsair,52.99
4422,corsair xms3 8 gb 1333 mhz pc3-10666 240-pin ddr3 memory kit cmx8gx3m2a1333c9,memory,cmx8gx3m2a1333c9,corsair,47.99
4423,roocase 2 case set for camera and 4.3 gps portable external hard drive,laptop netbook computer accessories,,roocase,23.62
4424,corsair force series 115 gb sata 3.0 gb-s 2.5-inch high performance sata ii solid state drive f115gb2-brkt-a,computer components,cssd-f115gb2-brkt-a,corsair,178.12
4425,corsair flash voyager mini 4 gb usb 2.0 flash drive cmfusbmini-4gb,usb flash drives,cmfusbmini-4gb,corsair,9.99
4426,rolodex 67060 - petite open tray card file holds 125 2 1 4 x 4 cards black,accessories supplies,,rolodex,
4427,corsair cooling hydro-series all-in-one high-performance liquid cpu cooler cwch60,computers accessories,cwch60,corsair,59.99
4428,corsair cc600twm-wht special edition graphite series 600t mid tower gaming computer case - white,computer cases,cc600twm-wht,corsair,169.99
4429,cooler master rr-910-htx3-g1 130-watt 92mm hyper tx3 cpu cooler for 775 1156 amd am2 am3,computers accessories,rr-910-htx3-g1,cooler master,19.97
4430,cooler master notepal lapair notebook cooler r9 nbc lpar gp,computers accessories,r9-nbc-lpar-gp,cooler master,25.35
4431,cooler master choiix comforter notebook lap desk white gray c-hs02-wa,docking stations,c-hs02-wa,cooler master,19.99
4432,cooler master centurion 534 plus atx mid tower case black - rc-534-kkn2-gp,computer cases,rc-534-kkn2-gp,cooler master,54.99
