entry_id,category_name,name,company,sku_model,list_price
8828,aaa,eveready gold alkaline batteries aaa in family pack 16-count,eveready,a92,9.31
8829,headphones,koss ke29e isolating earbud ebony,koss,ke29e,16.02
8830,disposable cameras,kodak 35mm single use camera w flash packaging may vary,kodak,kmf135,6.91
8831,camera batteries,kodak fun saver 35 camera with flash one time use camera,kodak,8617763,5.29
8832,video projectors,epson vs200 multimedia 3lcd projector v11h391020,epson,v11h391020,354.33
8833,scanners,kodak 4x6 personal photo slide and negative scanner p461,kodak,p461,117.18
8834,scanners,kodak 4x6 personal photo and negative scanner p460,kodak,p460,89.64
8835,point shoot digital cameras,kodak easyshare touch m577 14 mp digital camera with 5x optical zoom and 3-inch lcd touchscreen in purple 8gb accessory kit,kodak,touch m577,139.95
8836,inkjet printer ink,epson stylus color 880 880i color ink cartridge double pack,epson,t020201-d1,38.31
8837,point shoot digital cameras,kodak easyshare sport c123 12mp waterproof digital camera in grey 4gb accessory kit,kodak,sport c123,79.95
8838,point shoot digital cameras,kodak easyshare m575 14 mp digital camera with 5x wide angle optical zoom and 3.0-inch lcd forest green,kodak,easyshare m575 forest green,
8839,point shoot digital cameras,kodak easyshare m530 12mp digital camera with 3x wide angle optical zoom and 2.7 inch lcd carbon,kodak,easyshare m530 carbon,109.0
8840,point shoot digital cameras,kodak easyshare touch m577 14 mp digital camera with 5x optical zoom and 3-inch lcd touchscreen - redorange new model,kodak,1400894,
8841,point shoot digital cameras,kodak easyshare m532 14 mp digital camera with 4x optical zoom and 2.7-inch lcd - blue new model,kodak,8909186,89.99
8842,point shoot digital cameras,kodak easyshare c190 digital camera blue,kodak,8009581,99.0
8843,point shoot digital cameras,kodak easyshare c142 10 mp digital camera with 3xoptical zoom and 2.5-inch lcd blue,kodak,easyshare c142 blue,64.95
8844,dvd-r discs,kodak 50300 4.7 gb dvd-r 100 pack spindle,kodak,50300,19.5
8845,computers accessories,kodak esp 3250 all-in-one printer for us,kodak,1758895,
