ref_id,model_key,sector,brand_id,product_display_name,item_price
13242,,amplifier installation,xantech,xantech 283d10p designer blink emitter 10 pk,99.3
13243,3fmnk2010ubk-r,keyboards,wintec,wintec filemate imagine series k2010 usb standard keyboard - jet black 3fmnk2010ubk-r,15.99
13244,3fmnk2010ugn-r,keyboards,wintec,wintec filemate imagine series k2010 usb standard keyboard - light green 3fmnk2010ugn-r,15.99
13245,3fmnm2810ubl-r,mice,wintec,wintec filemate imagine series m2810 usb standard mouse - white with light blue 3fmnm2810ubl-r,11.99
13246,xtr-695,radar detectors,whistler,whistler xtr-695 radar laser detector with real voice alerts and external audio jack,109.06
13247,xtr-140,radar detectors,whistler radar,whistler xtr-140 laser radar detector with exclusive twin alert periscopes,49.99
13248,wi-2c,security surveillance,westinghouse,westinghouse 2 channel home office intercom plug in and talk,33.99
13249,wdbacg0020hch-nesn,external hard drives,western digital,western digital my book live 2 tb personal cloud storage drive,146.15
13250,wdbaab5000ach-nesn,external hard drives,western digital,western digital my passport for mac 500 gb usb 2.0 portable external hard drive charcoal,69.0
13251,wdbacx7500asl-nesn,external hard drives,western digital,western digital my passport essential se 750 gb usb 3.0 2.0 ultra portable external hard drive silver,79.0
13252,wdbacx0010bsl-nesn,external hard drives,western digital,western digital my passport essential se 1 tb usb 3.0 2.0 ultra portable external hard drive silver,89.99
13253,wdbacy5000abl-nesn,external hard drives,western digital,western digital my passport essential 500 gb usb 3.0 2.0 portable external hard drive pacific blue,75.98
13254,wdbabm0010bbk-nesn,,western digital,western digital my passport essential se 1 tb usb 2.0 portable external hard drive midnight black,119.0
13255,wdbacw0030hbk-nesn,external hard drives,western digital,western digital my book essential 3 tb usb 3.0 2.0 desktop external hard drive,129.99
13256,wdbaag0020hch-nesn,external hard drives,western digital,western digital my book for mac 2 tb usb 2.0 desktop external hard drive,104.0
13257,wd3200budt,computers accessories,western digital,western digital 320 gb av-25 sata 3 gb s 5400 32 mb cache bulk oem av hard drive - wd3200budt,48.02
13258,ptk640,graphics tablets,wacom,wacom intuos4 medium pen tablet,
13259,201602,accessories supplies,vxi,passport 10g headset,44.87
13260,c102g,bullet cameras,vonnic,vonnic c102g 1 3-inch sony ccd 480 tv lines 48 ir led night vision 120-feet 6mm fixed varifocal bullet camera black,44.99
13261,,desktops,acer,new acer vl4610g-ui5240w intel core i5-2400s pro windows7 professional 320g sata hard drive,796.69
13262,xpg202,video glasses,vizio,vizio xpg202 theater 3d eyewear pack of 2,39.88
13263,xcp200,cleaning kits,vizio,vizio xcp200 high performance screen cleaning kit,9.99
13264,v49452,webcams,vivitar,vivitar v49452 1.3 mp web cam with privacy shutter,21.85
13265,df383,flashes,vivitar,vivitar df383 digital ttl shoe mount power zoom swivel bounce auto-focus flash for nikon ttl guide number 45m 147,120.09
13266,,flashes,vivitar,vivitar df-283 digital ttl bounce zoom swivel flash sony,83.24
13267,viv-cl-58,filters,vivitar,vivitar 1 2 4 10 close-up macro filter set with pouch 58mm,10.42
13268,sxp2205d-wu,printer accessories,visioneer,visioneer strobe xp 220 600 dpi portable scanner with one touch pdf and vrs image enhancement sxp2205d-wu,107.99
13269,pgd-150,video glasses,viewsonic,viewsonic pgd-150 active stereographic 3d shutter glasses for viewsonic dlp link 120 hz 3d ready projectors black,
13270,jt-battery grip for sony a550 @@ 1,digital camera accessories,neewer,vg-b50am compatible battery grip for sony dslr-a500 a550 alpha 500 550 digital cameras,30.51
13271,95236,usb flash drives,verbatim,verbatim store n go 4 gb usb 2.0 flash drive 95236 red,7.99
