item_code,brand_name,cost,sector,name,model_identifier
17656,deflect-o,29.0,shredders,new-deflect-o 63904 - docutray multi-directional stacking tray set two tier polystyrene black - def63904,
17657,columbian,24.0,storage presentation materials,new-columbian co468 - greeting card envelope grip-seal contemporary a9 white 100 box - wevco468,
17658,chenille kraft,64.49,blank media,new-chenille kraft 988310 - combination dry-erase chalkboard 10 set - ckc988310,
17659,chartpak,33.77,blank media,new-chartpak dec001 - deco bright decorative tape 1 8 x 324 red black blue green yellow 6 box - chadec001,
17660,caremail,107.0,storage presentation materials,new-caremail 1119265 - 100 recycled mailing storage box letter legal brown 12 pack - cml1119265,
17661,oki,257.99,laser printer toner,oki c710 series cyan toner 11500 yield - genuine oem toner,
17662,cardinal,25.0,projection screens,new-cardinal 26331 - clearvue xtralife slant-d presentation binder 3 capacity black - crd26331,
17663,cardinal,16.4,projection screens,new-cardinal 17201 - vinyl clearvue xtravalue slant d-ring presentation binder 1 capacity black - crd17201,
17664,cardinal,27.0,projection screens,new-cardinal 09261 - vertical easel ring binder 11 x 8-1 2 1 capacity black - crd09261,
17665,boise,97.19,storage presentation materials,new-boise 054901p - aspen 30 recycled office paper 3-hole 92 bright 20lb ltr white 5000 ctn - cas054901p,
17666,basyx,369.0,laminating supplies,new-basyx 1623ml - 1600 series mobile box box file pedestal file w m pull drawers 20d putty - bsx1623ml,
17667,avery,33.0,other office equipment,new-avery 5027 - extra-large 1 3-cut filing labels 15 16 x 3-7 16 white 450 pack - ave5027,
17668,advantus,52.0,label makers,new-advantus 75421 - deluxe safety lanyards lobster claw hook style 36 long black 24 box - avt75421,
17669,brother,9.37,labeling tapes,brother m131 black on clear 0.47 in x 26.2 ft 12mm x 8 mm compatible with 1 2 inch,m131
17670,bond street,,storage presentation materials,bond street ltd. 545107blk - organizer portfolio pad holder leather zipper gusset files pockets slots blk,
17671,boise,,connectors adapters,boise bpl0111 - hd p presentation laser paper 96 brightness 24lb 8-1 2x11 white 500 ream,
17672,bic,23.02,printers,bic wofqd324 - wite-out quick dry correction fluid 20 ml bottle white 3 pack,
17673,bic,32.14,computers accessories,bic b411yw - brite liner highlighter chisel tip fluorescent yellow ink,
17674,avery dennison,16.82,audio video accessories,avery dennison 16177 translucent multicolor write-on dividers with pocket 8-tab letter 1 set,
17675,audio-technica,174.0,headphones,new-hybrid-metal in-ear headphones - dq3122,
17676,ampad,,printer accessories,ampad 25159 - multi-subject notebook college medium rule ltr white 240 sheets,
17677,ampad,,laminating supplies,ampad 20004 - gold fibre writing pads jr. legal rule 5 x 8 canary 50-sheet pads pack dozen,
17678,allsop,6.98,cables interconnects,allsop 30377 3d mouse pad marine,
17679,back door,155.96,computer accessories,pov action video cameras mac-10 ultra small multi-use video action camera,
17680,acco,,hard drive bags,acco 55261 - 3-hole laser printer hanging expandable binder 8-1 2 x 11 red-acc55261,
17681,vtech,22.41,,vtech accessory handset with caller id and handset speaker phone for ds6421 ds6422 series,
17682,3m,,,3m 59222 - nomad carpet matting 5000 dual fiber vinyl 47 x 72 black gray,
17683,bic,20.01,storage presentation materials,bic woc12we - cover-it correction fluid 20 ml bottle white,
17684,3m,,,3m 3100a - permanent adhesive white laser mailing labels 1 x 2-5 8 750 pack,
17685,dixon,21.28,binding machine supplies,dixon 13885 - ticonderoga woodcase pencil f 2.5 yellow barrel dozen,
17686,smith micro inc,,computers accessories,digital tv for pc 2 consign software,
17687,da-lite,132.99,projection screens,deluxe anti-sway brace for fast fold deluxe screens,
17688,day-timer,,headphones,day-timer 44413 - croc embossed bonded leather organizer starter set 5-1 2 x 8-1 2 red,
17689,vtech,,storage presentation materials,cs6114 dect6 .0 call waiting caller id phone with backlit keypad and display,
17690,crown,,antitheft,crown wc3125sw - clean step dirt grabber mat 31-1 2 x 25-1 2 white,
17691,crown,,antitheft,crown ecr310ch - ecoplus mat 3 x 10 charcoal,
