item_id,final_price,item_cat,product_detail,producer
0,58.45,electronics - general,draper infrared remote transmitter,draper
1,438.84,monitors,epson 1500 hours 200w uhe projector lamp elplp12,epson
2,59.25,tv accessories,comprehensive two-piece 75 precision bnc jack for rg-59 set of 25,comprehensive
3,99.82,garden - general,d-link dcs-1100 network camera,d-link
4,59.0,electronics - general,startech.com rkpw247015 24 outlet power strip,startech
5,67.88,furniture,3m fr530cb ergonomic adjustable footrest,3m
6,49.88,stationery & office machinery,hp c6020b coated paper 1 roll 36-inches x 150 ft,hp
7,199.98,electronics - general,visioneer rw120-wu roadwarrior sheetfed scanner,visioneer
8,64.88,stationery & office machinery,brother dk2113 ql label printers continuous length tape,brother
9,17.88,electronics - general,3m mw310le gel mouse pad,3m
10,15.0,electronics - general,lacie formoa 15 macbook carrying case black,lacie
11,1730.95,electronics - general,draper high contrast grey targa electric screen - widescreen 182 diagonal,draper
12,4375.95,electronics - general,draper at1200 access multiview series e acoustically transparent screen - 106 diagonal hdtv to ntsc format,draper
13,34.88,electronics - general,stanley 500 watt power inverter,stanley
14,15.98,electronics - general,gear head quick 1.3 mp webcam with night vision red black,gear head
15,21.47,stationery & office machinery,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,avery
16,195.0,electronics - general,xfx radeon hd6850 pcie 1gb ddr5 graphics card,xfx
17,214.99,electronics - general,skb cases ph series pull handle case 11 1 2 h x 21 5 8 w x 16 3 8 d outside,skb cases
18,5.28,storage,innovera cd dvd pocket with built-in label tab clear 25 pack,innovera
19,268.79,stationery & office machinery,hp 80 ink printhead printhead cleaner black c4890a,hp
20,3.88,stationery & office machinery,mead spiral bound notebook college rule,mead
21,37.57,networking,iogear 2-port miniview micro usb plus kvm switch,iogear
22,91.44,stationery & office machinery,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,quartet
23,16.67,stationery & office machinery,avery shipping labels for color laser copier 3-3 4 x 4-3 4 matte white 100 pack,avery
24,23.1,mp3 accessories,aluratek deluxe leather travel case for the libre ebook reader pro,aluratek
25,69.84,printers,hp ce278a black laserjet print cartridge,hp
26,151.0,electronics - general,cyber power pfc 1000va lcd sinewave adaptive intelligent ups,cyberpower
27,31.88,electronics - general,tribeca dallas cowboys 15 sleeve for macbook pros,tribeca
28,18.97,house wares,tablemate plastic dinnerware 6 inch plates 125pk,
29,49.71,electronics - general,vantec nexstar mx dual 3.5 sata hard drive enclosure,vantec
30,20.28,film cameras,fujifilm instax mini twin pack film,fuji
31,19.99,electronics - general,chicago bears camera case,tribeca
32,829.99,electronics - general,da-lite da-mat deluxe fast fold complete front projection screen - 68 x 68,da-lite
33,0.0,photography - general,sunpak 72-in-one card reader with sim slot,sunpak
34,35.78,printers,hp 45 black inkjet cartridge 51645a,hp
35,169.95,gps,tomtom xxl 550,tomtom
36,54.88,portable audio,iluv desktop alarm clock with bed shaker for your iphone ipod - pink,iluv
37,47.99,electronics - general,roocase multi-angle folio leather case stylus for acer iconia tab a500,roocase
38,112.99,computers,peerless smartmount universal tilt mount 32 - 60 screens,peerless
39,99.98,hard drives,iomega 34508 dvr expander hard drive,iomega
