sku_id,sale_price,product_category,label,product_ref
1020,25.0,electronics - general,dicota,n25858p
1021,34.99,electronics - general,samsill,36031samsill
1022,20.39,electronics - general,siig,ju-sa0912-s1
1023,7.45,electronics - general,link depot,ld-hds-slv
1024,26.99,laptop computers,motorola,89453n
1025,49.0,camcorders,kodak,mini video red
1026,155.0,monitors,viewsonic,va2248m-led
1027,16.88,electronics - general,nugiant,nss03
1028,149.99,software,adobe,65045677
1029,84.99,storage,sparco,
1030,79.53,printers,canon,8489a001aa
1031,24.54,camera and camcorder accessories,sony,vctr100
1032,9.54,electronics - general,belkin,f3u133-10-gld
1033,61.92,electronics - general,siig,nn-830012-s2
1034,59.84,electronics - general,ergotron,31-017-182
1035,79.88,computers,i/omagic corporation,idvd22dle
1036,20.87,mp3 accessories,maxell,
1037,179.0,monitors,planar,997-2797-00
1038,29.42,mp3 accessories,hp,c7973w
1039,43.99,electronics - general,roocase,220225
1040,109.82,electronics - general,thermaltake,
1041,2969.2,electronics - general,draper,115019
1042,3602.0,electronics - general,draper,118212
1043,3961.5,electronics - general,draper,118204
1044,29.99,mp3 accessories,ifrogz,it4lo-blu/blk
1045,129.0,electronics - general,startech,st121utpep
1046,34.98,software,topics ent,81050
1047,57.74,electronics - general,pc treasures,07186
1048,14.54,electronics - general,jvc,haebx85p
1049,19.0,electronics - general,iluv,ibg2030blk
1050,8.94,stationery & office machinery,hammermill,163110
1051,7.76,electronics - general,,
1052,222.99,electronics - general,da-lite,5721
1053,89.0,computers,,
1054,799.0,desktop computers,msi,ae2240037us
1055,9.88,car stereos,scosche,abs1212
1056,119.0,monitors,benq,9h . l4mln.iba
1057,45.69,stationery & office machinery,s j paper,
1058,39.99,furniture,us brown bear,
1059,169.99,electronics : flat panel tv,vizio,rbm220va
1060,4635.99,electronics - general,da-lite,27590
1061,935.99,electronics - general,da-lite,83210
1062,1060.99,electronics - general,da-lite,34718
1063,500.6,electronics - general,fujitsu,pa03586-b015
1064,208.8,stationery & office machinery,chief manufacturing,
1065,79.82,hard drives,buffalo technology,hdpxt500u2b
1066,4.87,electronics - general,belkin,f8v235-12
1067,2532.99,electronics - general,da-lite,84381
1068,61.94,stationery & office machinery,,24559
1069,0.0,electronics - general,writeright,9227801
1070,29.99,electronics - general,tribeca,fva4424
1071,9.88,electronics - general,panasonic,rp-ht21
1072,119.88,computers,d-link,dwl-2100ap
1073,163.82,memory,corsair,hx3x12g1333c9
1074,29.88,mice,hp,gw405at
1075,39.88,electronics - general,cables to go,29109
1076,8.88,electronics - general,3m,mp114yl
1077,32.88,electronics - general,green onions supply,
1078,1907.95,electronics - general,draper,101213
1079,1363.5,electronics - general,draper,115035
1080,14.0,portable audio,coby,csp14
1081,399.88,handheld gps,garmin,gpsmap 78s
1082,10.99,stationery & office machinery,bic,gre11-blu
1083,37.88,electronics - general,discgear,4310-01
1084,0.0,stationery & office machinery,generic,wpp-70
1085,15.97,home care,rubbermaid commercial,q760
1086,133.99,furniture,peerless,
1087,5.94,stationery & office machinery,adams,sc1153ws
1088,35.94,stationery & office machinery,oxford,53434
1089,15.99,electronics - general,case logic,154709
1090,44.82,software,serif,wpeusdvdrt
1091,449.94,stationery & office machinery,hon,682lp
1092,119.98,hard drives,ocz technologies,oczssd22vtxe60g
1093,269.97,home care,crown,wcrplpdw
1094,51.95,stationery & office machinery,,p240p
1095,14.88,laptop computers,motorola,89452n
1096,12.88,electronics - general,siig,ju-sa0c12-s1
1097,18.98,photography - general,bower,bower scb950
1098,18.0,electronics - general,pc treasures,07485
1099,78.88,mp3,philips,sa3ara08k/37
1100,8.88,electronics - general,rca,ah746r
1101,549.0,desktop computers,lenovo,0806e2u
1102,25.88,networking,iogear,gcs62
1103,34.97,printers,lexmark,10n0026
1104,19.96,gps,tomtom,9n00 .181
1105,89.88,electronics - general,penpower,swtab0001
1106,15.82,electronics - general,eveready,a91bp-24ht
1107,27.88,usb drives,micronet,fdb16u2
1108,57.88,mice,microsoft,rvf-00001
1109,179.95,gps,tomtom,1en501902
1110,6.54,mp3 accessories,pyle,plipg1
1111,66.82,memory,corsair,vs4gbkit667d2
1112,20.92,memory,kingston,kvr800d2n5/1g
1113,18.98,stationery & office machinery,avery,5376
1114,34.82,electronics - general,ifrogz,epwbmicwalnut
1115,2421.45,electronics - general,draper,111332
1116,1470.99,electronics - general,draper,253048
1117,199.09,stationery & office machinery,quartet,
1118,20.88,electronics - general,v7,ctp1-9n
1119,97.52,networking,startech,pci100mmsc
1120,199.99,electronics - general,da-lite,7020
1121,58.88,digital cameras,polaroid,cim-1237r
1122,164.99,electronics - general,gator cases,gx-20
1123,19.99,electronics - general,platt,208
1124,59.99,electronics - general,pny,vcggt5201xpb
1125,29.88,electronics - general,bracketron,org-332-bx
1126,29.99,electronics - general,cocoon innovations,cpg51bk
1127,7.7,stationery & office machinery,wilson jones,43336
1128,39.88,stationery & office machinery,wausau paper,22058
1129,101.82,hard drives,buffalo technology,hd-lb1 .5 tu2
1130,28.0,software,channel sources,080534
1131,31.8,stationery & office machinery,post-it,635yw
1132,2680.99,electronics - general,da-lite,27575
1133,563.99,electronics - general,da-lite,33403
1134,1267.99,electronics - general,da-lite,85742
